rxn,rxnNames,subSystem
ESTRADIOLt,"estradiol transport","Transport, extracellular"
ESTRADIOLtr,"estradiol intracellular transport","Transport, endoplasmic reticular"
ESTRONEGLCt,"ABC transporter","Transport, extracellular"
ESTRONEGLCtr,"glucuronidated compound transport","Transport, endoplasmic reticular"
ESTRONESt,"estrone 3-sulfate transport via bicarbonate countertransport","Transport, extracellular"
ESTRONESt2,"estrone-3-sulfate transport via sodium cotransport","Transport, extracellular"
ESTRONEtr,"estrone intracellular transport","Transport, endoplasmic reticular"
ESTSULT,"Estrogen sulfotransferase","Steroid metabolism"
ETF,"electron transfer flavoprotein","Fatty acid oxidation"
ETFQO,"Electron transfer flavoprotein-ubiquinone oxidoreductase","Fatty acid oxidation"
ETHAK,"Ethanolamine kinase","Glycerophospholipid metabolism"
ETHP,"ethanolamine phosphate phosphatase","Glycerophospholipid metabolism"
ETOHMO,"ethanol monooxygenase","Glycolysis/gluconeogenesis"
ETOHt,"ethanol reversible transport","Transport, extracellular"
ETOHtx,"ethanol reversible peroxisomal transport","Transport, peroxisomal"
EX_10fthf(e),"10-Formyltetrahydrofolate exchange","Exchange/demand reaction"
EX_10fthf5glu(e),"10-formyltetrahydrofolate-[Glu](5) exchange","Exchange/demand reaction"
EX_10fthf6glu(e),"10-formyltetrahydrofolate-[Glu](6) exchange","Exchange/demand reaction"
EX_10fthf7glu(e),"10-formyltetrahydrofolate-[Glu](7) exchange","Exchange/demand reaction"
EX_11_cis_retfa(e),"fatty acid 11-cis-retinol exchange","Exchange/demand reaction"
EX_13_cis_retnglc(e),"13-cis-retinoyl glucuronide exchange","Exchange/demand reaction"
EX_1glyc_hs(e),"1 acyl phosphoglycerol exchange","Exchange/demand reaction"
EX_1mncam(e),"1-Methylnicotinamide exchange","Exchange/demand reaction"
EX_2425dhvitd2(e),"24R,25-Dihyoxyvitamin D2 exchange","Exchange/demand reaction"
EX_2425dhvitd3(e),"24R,25-Dihydroxyvitamin D3 exchange","Exchange/demand reaction"
EX_24nph(e),"2,4 dihydroxy nitrophenol exchange","Exchange/demand reaction"
EX_25hvitd2(e),"25-Hydroxyvitamin D2 exchange","Exchange/demand reaction"
EX_25hvitd3(e),"25-Hydroxyvitamin D3 exchange","Exchange/demand reaction"
EX_2hb(e),"2-Hydroxybutyrate exchange","Exchange/demand reaction"
EX_2mcit(e),"2-Methylcitrate exchange","Exchange/demand reaction"
EX_34dhoxpeg(e),"3,4-Dihydroxyphenylethyleneglycol exchange","Exchange/demand reaction"
EX_34dhphe(e),"3,4-Dihydroxy-L-phenylalanine exchange","Exchange/demand reaction"
EX_35cgmp(e),"3',5'-Cyclic GMP exchange","Exchange/demand reaction"
EX_3aib(e),"L-3-Amino-isobutanoate exchange","Exchange/demand reaction"
EX_3aib_D(e),"D-3-Amino-isobutanoate exchange","Exchange/demand reaction"
EX_3mlda(e),"3-Methylimidazoleacetic acid exchange","Exchange/demand reaction"
EX_4abut(e),"4-Aminobutanoate exchange","Exchange/demand reaction"
EX_4hdebrisoquine(e),"4 hydroxy debrisoquine exchange","Exchange/demand reaction"
EX_4hphac(e),"4-Hydroxyphenylacetate exchange","Exchange/demand reaction"
EX_4mptnl(e),"4-methylpentanal Exchange","Exchange/demand reaction"
EX_4mtolbutamide(e),"4 hydroxy tolbutamide exchange","Exchange/demand reaction"
EX_4nph(e),"4-Nitrophenol exchange","Exchange/demand reaction"
EX_4nphsf(e),"4-Nitrophenyl sulfate exchange","Exchange/demand reaction"
EX_4pyrdx(e),"4-Pyridoxate exchange","Exchange/demand reaction"
EX_5adtststerone(e),"5alpha-Dihydrotestosterone exchange","Exchange/demand reaction"
EX_5adtststeroneglc(e),"5alpha-Dihydrotestosterone glucuronide exchange","Exchange/demand reaction"
EX_5adtststerones(e),"5alpha-Dihydrotestosterone sulfate exchange","Exchange/demand reaction"
EX_5dhf(e),"pentaglutamyl folate (DHF) exchange","Exchange/demand reaction"
EX_5fthf(e),"5-Formyltetrahydrofolate exchange","Exchange/demand reaction"
EX_5homeprazole(e),"5 hydroxy omeprazole exchange","Exchange/demand reaction"
EX_5htrp(e),"5-Hydroxy-L-tryptophan exchange","Exchange/demand reaction"
EX_5mthf(e),"exchange reaction for 5-Methyltetrahydrofolate","Exchange/demand reaction"
EX_5thf(e),"pentaglutamyl folate (THF) exchange","Exchange/demand reaction"
EX_6dhf(e),"haxglutamyl folate (DHF) exchange","Exchange/demand reaction"
EX_6htststerone(e),"6 beta hydroxy testosterone exchange","Exchange/demand reaction"
EX_6thf(e),"hexaglutamyl folate  (THF) exchange","Exchange/demand reaction"
EX_7dhf(e),"heptaglutamyl folate (DHF) exchange","Exchange/demand reaction"
EX_7thf(e),"heptaglutamyl folate (THF) exchange","Exchange/demand reaction"
EX_9_cis_retfa(e),"fatty acid 9-cis-retinol exchange","Exchange/demand reaction"
EX_abt(e),"L-Arabinitol exchange","Exchange/demand reaction"
EX_ac(e),"Acetate exchange","Exchange/demand reaction"
EX_acac(e),"Acetoacetate exchange","Exchange/demand reaction"
EX_acald(e),"Acetaldehyde exchange","Exchange/demand reaction"
EX_acetone(e),"Acetone exchange","Exchange/demand reaction"
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs(e),"Type IIIA glycolipid exchange","Exchange/demand reaction"
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs(e),"Type IIIAb exchange","Exchange/demand reaction"
EX_acgam(e),"N-Acetyl-D-glucosamine exchange","Exchange/demand reaction"
EX_ach(e),"Acetylcholine exchange","Exchange/demand reaction"
EX_acn13acngalgbside_hs(e),"sialyl (1,3) sialyl (2,6) galactosylgloboside (homo sapiens) exchange","Exchange/demand reaction"
EX_acn23acngalgbside_hs(e),"sialyl (2,3) sialyl (2,6) galactosylgloboside (homo sapiens) exchange","Exchange/demand reaction"
EX_acnacngal14acglcgalgluside_hs(e),"3',8'-LD1 exchange","Exchange/demand reaction"
EX_acnacngalgbside_hs(e),"disialyl galactosylgloboside (homo sapiens) exchange","Exchange/demand reaction"
EX_acngalacglcgal14acglcgalgluside_hs(e),"VI3NeuAc-nLc6Cer exchange","Exchange/demand reaction"
EX_ade(e),"Adenine exchange","Exchange/demand reaction"
EX_adn(e),"exchange reaction for Adenosine","Exchange/demand reaction"
EX_adp,"adp exchange","Exchange/demand reaction"
EX_adprbp(e),"ADPribose 2'-phosphate exchange","Exchange/demand reaction"
EX_adprib(e),"ADPribose exchange","Exchange/demand reaction"
EX_adrn(e),"adrenic acid exchange","Exchange/demand reaction"
EX_adrnl(e),"Adrenaline exchange","Exchange/demand reaction"
EX_aflatoxin(e),"aflatoxin B1 exchange","Exchange/demand reaction"
EX_ak2lgchol_hs(e),"1-alkyl 2-lysoglycerol 3-phosphocholine exchange","Exchange/demand reaction"
EX_akg(e),"2-Oxoglutarate exchange","Exchange/demand reaction"
EX_ala_B(e),"beta-Alanine exchange","Exchange/demand reaction"
EX_ala_D(e),"D-Alanine exchange","Exchange/demand reaction"
EX_ala_L(e),"exchange reaction for L-alanine","Exchange/demand reaction"
EX_aldstrn(e),"Aldosterone exchange","Exchange/demand reaction"
EX_amp(e),"AMP exchange","Exchange/demand reaction"
EX_andrstrn(e),"Androsterone exchange","Exchange/demand reaction"
EX_andrstrnglc(e),"androsterone glucuronide exchange","Exchange/demand reaction"
EX_antipyrene(e),"antipyrene exchange","Exchange/demand reaction"
EX_apnnox(e),"alpha-Pinene-oxide exchange","Exchange/demand reaction"
EX_appnn(e),"(+)-alpha-Pinene exchange","Exchange/demand reaction"
EX_aprgstrn(e),"20alpha-Hydroxyprogesterone exchange","Exchange/demand reaction"
EX_arab_L(e),"L-Arabinose exchange","Exchange/demand reaction"
EX_arach(e),"exchange reaction for arachidate","Exchange/demand reaction"
EX_arachd(e),"nC20:4 exchange","Exchange/demand reaction"
EX_arg_L(e),"L-Arginine exchange","Exchange/demand reaction"
EX_ascb_L(e),"L-Ascorbate exchange","Exchange/demand reaction"
EX_asn_L(e),"exchange reaction for L-asparagine","Exchange/demand reaction"
EX_asp_D(e),"D-Aspartate exchange","Exchange/demand reaction"
EX_asp_L(e),"L-Aspartate exchange","Exchange/demand reaction"
EX_atp(e),"ATP exchange","Exchange/demand reaction"
EX_avite1(e),"alpha-Tocopherol exchange","Exchange/demand reaction"
EX_avite2(e),"alpha-Tocotrienol exchange","Exchange/demand reaction"
EX_bhb(e),"(R)-3-Hydroxybutanoate transport via H+ symport","Exchange/demand reaction"
EX_bildglcur(e),"Bilirubin beta-diglucuronide exchange","Exchange/demand reaction"
EX_bilglcur(e),"exchange reaction for blirubin mono-glucuronide","Exchange/demand reaction"
EX_bilirub(e),"Bilirubin exchange","Exchange/demand reaction"
EX_biocyt(e),"Biocytin exchange","Exchange/demand reaction"
EX_btn(e),"Biotin exchange","Exchange/demand reaction"
EX_but(e),"Butyrate (n-C4:0) exchange","Exchange/demand reaction"
EX_bvite(e),"beta-tocopherol exchange","Exchange/demand reaction"
EX_camp(e),"cAMP exchange","Exchange/demand reaction"
EX_caro(e),"beta-Carotene exchange","Exchange/demand reaction"
EX_carveol(e),"(E)-carveol exchange","Exchange/demand reaction"
EX_cgly(e),"Cys-Gly exchange","Exchange/demand reaction"
EX_chol(e),"exchange reaction for Choline","Exchange/demand reaction"
EX_cholate(e),"exchange reaction for cholate","Exchange/demand reaction"
EX_chsterol(e),"exchange reaction for cholesterol","Exchange/demand reaction"
EX_chtn(e),"chitin exchange","Exchange/demand reaction"
EX_cit(e),"Citrate exchange","Exchange/demand reaction"
EX_cl(e),"exchange reaction for Chloride","Exchange/demand reaction"
EX_CLPND(e),"clupanodonic acid (docosapentaenoic (n-3)) exchange","Exchange/demand reaction"
EX_cmp(e),"CMP exchange","Exchange/demand reaction"
EX_co(e),"Carbon monoxide exchange","Exchange/demand reaction"
EX_co2(e),"CO2 exchange","Exchange/demand reaction"
EX_coumarin(e),"coumarin exchange","Exchange/demand reaction"
EX_creat(e),"Creatine exchange","Exchange/demand reaction"
EX_crmp_hs(e),"Ceramide 1-phosphate exchange","Exchange/demand reaction"
EX_crn(e),"exchange reaction for L-Carnitine","Exchange/demand reaction"
EX_crtsl(e),"cortisol Exchange","Exchange/demand reaction"
EX_crtstrn(e),"corticosterone  Exchange","Exchange/demand reaction"
EX_crvnc(e),"nC22:6 exchange","Exchange/demand reaction"
EX_csn(e),"Cytosine exchange","Exchange/demand reaction"
EX_cspg_a(e),"chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan exchange","Exchange/demand reaction"
EX_cspg_b(e),"chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan exchange","Exchange/demand reaction"
EX_cspg_c(e),"chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan exchange","Exchange/demand reaction"
EX_cspg_d(e),"chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan exchange","Exchange/demand reaction"
EX_cspg_e(e),"chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan exchange","Exchange/demand reaction"
EX_cyan(e),"Hydrogen cyanide exchange","Exchange/demand reaction"
EX_cys_L(e),"exchange reaction for L-cysteine","Exchange/demand reaction"
EX_cytd(e),"exchange reaction for Cytidine","Exchange/demand reaction"
EX_dad_2(e),"exchange reaction for 2-deoxyadenosine","Exchange/demand reaction"
EX_dag_hs(e),"exchange reaction for diglyceride","Exchange/demand reaction"
EX_dcsptn1(e),"docosa-4,7,10,13,16-pentaenoic acid (n-6) exchange","Exchange/demand reaction"
EX_dcyt(e),"exchange reaction for Deoxycytidine","Exchange/demand reaction"
EX_debrisoquine(e),"debrisoquine exchange","Exchange/demand reaction"
EX_dgchol(e),"Chenodeoxyglycocholate exchange","Exchange/demand reaction"
EX_dgsn(e),"exchange reaction for Deoxyguanosine","Exchange/demand reaction"
EX_dhdascb(e),"exchange reaction for dehydroascorbide(1-)","Exchange/demand reaction"
EX_dheas(e),"Dehydroepiandrosterone sulfate exchange","Exchange/demand reaction"
EX_dhf(e),"7,8-Dihydrofolate exchange","Exchange/demand reaction"
EX_digalsgalside_hs(e),"Digalactosylceramidesulfate exchange","Exchange/demand reaction"
EX_din(e),"exchange reaction for Deoxyinosine","Exchange/demand reaction"
EX_dlnlcg(e),"dihomo-gamma-linolenic acid (n-6) exchange","Exchange/demand reaction"
EX_dmantipyrine(e),"demethylated antipyrine exchange","Exchange/demand reaction"
EX_dmhptcrn(e),"2,6 dimethylheptanoyl carnitine exchange","Exchange/demand reaction"
EX_dopa(e),"Dopamine exchange","Exchange/demand reaction"
EX_dopasf(e),"Dopamine 3-O-sulfate exchange","Exchange/demand reaction"
EX_drib(e),"Deoxyribose exchange","Exchange/demand reaction"
EX_duri(e),"exchange reaction for Deoxyuridine","Exchange/demand reaction"
EX_eaflatoxin(e),"8,9 epxoy aflatoxin B1 exchange","Exchange/demand reaction"
EX_ebastine(e),"ebastine exchange","Exchange/demand reaction"
EX_ebastineoh(e),"hydroxylated ebastine exchange","Exchange/demand reaction"
EX_eicostet(e),"eicosatetranoic acid exchange","Exchange/demand reaction"
EX_elaid(e),"elaidic acid exchange","Exchange/demand reaction"
EX_estradiol(e),"estradiol exchange","Exchange/demand reaction"
EX_estradiolglc(e),"estradiol glucuronide exchange","Exchange/demand reaction"
EX_estroneglc(e),"estrone glucuronide exchange","Exchange/demand reaction"
EX_estrones(e),"Estrone 3-sulfate exchange","Exchange/demand reaction"
EX_etoh(e),"Ethanol exchange","Exchange/demand reaction"
EX_fe2(e),"EX_fe2(u)","Exchange/demand reaction"
EX_fe3(e),"Fe3+ exchange","Exchange/demand reaction"
EX_fol(e),"exchange reaction for Folate","Exchange/demand reaction"
EX_for(e),"Formate exchange","Exchange/demand reaction"
EX_fru(e),"exchange reaction for D-Fructose","Exchange/demand reaction"
EX_fuc13galacglcgal14acglcgalgluside_hs(e),"III3Fuc-nLc6Cer exchange","Exchange/demand reaction"
EX_fuc14galacglcgalgluside_hs(e),"Lea glycolipid exchange","Exchange/demand reaction"
EX_fucacgalfucgalacglcgalgluside_hs(e),"(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1 exchange","Exchange/demand reaction"
EX_fucacngal14acglcgalgluside_hs(e),"IV3-a-NeuAc,III3-a-Fuc-nLc4Cer exchange","Exchange/demand reaction"
EX_fucacngalacglcgalgluside_hs(e),"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer exchange","Exchange/demand reaction"
EX_fucfuc12gal14acglcgalgluside_hs(e),"Ley glycolipid exchange","Exchange/demand reaction"
EX_fucfuc132galacglcgal14acglcgalgluside_hs(e),"V3Fuc,III3Fuc-nLc6Cer exchange","Exchange/demand reaction"
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs(e),"(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1 exchange","Exchange/demand reaction"
EX_fucfucfucgalacglcgal14acglcgalgluside_hs(e),"(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1 exchange","Exchange/demand reaction"
EX_fucfucgalacglcgalgluside_hs(e),"Leb glycolipid exchange","Exchange/demand reaction"
EX_fucgal14acglcgalgluside_hs(e),"Lacto-N-fucopentaosyl III ceramide exchange","Exchange/demand reaction"
EX_fucgalfucgalacglcgalgluside_hs(e),"(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1 exchange","Exchange/demand reaction"
EX_fucgalgbside_hs(e),"fucosyl galactosylgloboside (homo sapiens) exchange","Exchange/demand reaction"
EX_fuc_L(e),"L-Fucose exchange","Exchange/demand reaction"
EX_gal(e),"exchange reaction for D-Galactose","Exchange/demand reaction"
EX_galacglcgalgbside_hs(e),"Gal-GlcNAc-Gal globoside (homo sapiens) exchange","Exchange/demand reaction"
EX_galfuc12gal14acglcgalgluside_hs(e),"(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 exchange","Exchange/demand reaction"
EX_galfucgalacglcgal14acglcgalgluside_hs(e),"(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 exchange","Exchange/demand reaction"
EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs(e),"(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1 exchange","Exchange/demand reaction"
EX_galgalgalthcrm_hs(e),"Gal-Gal-Gal-Gal-Gal-Glc-Cer (homo sapiens) exchange","Exchange/demand reaction"
EX_gam(e),"exchange reaction for D-Glucosamine","Exchange/demand reaction"
EX_gbside_hs(e),"globoside (homo sapiens) exchange","Exchange/demand reaction"
EX_gchola(e),"Glycocholate exchange","Exchange/demand reaction"
EX_gd1b2_hs(e),"GD1beta (homo sapiens) exchange","Exchange/demand reaction"
EX_gd1c_hs(e),"GD1c (homo sapiens) exchange","Exchange/demand reaction"
EX_gdp(e),"GDP exchange","Exchange/demand reaction"
EX_glc(e),"D-Glucose exchange","Exchange/demand reaction"
EX_gln_L(e),"exchange reaction for L-glutamine","Exchange/demand reaction"
EX_gluala(e),"5-L-Glutamyl-L-alanine exchange","Exchange/demand reaction"
EX_glu_L(e),"L-Glutamate exchange","Exchange/demand reaction"
EX_gly(e),"exchange reaction for Glycine","Exchange/demand reaction"
EX_glyb(e),"Glycine betaine exchange","Exchange/demand reaction"
EX_glyc(e),"Glycerol exchange","Exchange/demand reaction"
EX_glyc_S(e),"(S)-Glycerate exchange","Exchange/demand reaction"
EX_glygn2(e),"glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) exchange","Exchange/demand reaction"
EX_glygn4(e),"exchange reaction for glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})","Exchange/demand reaction"
EX_glygn5(e),"exchange reaction for glycogen, structure 5 (glycogenin-2[1,4-Glc])","Exchange/demand reaction"
EX_gmp(e),"GMP exchange","Exchange/demand reaction"
EX_gp1c_hs(e),"GP1c (homo sapiens) exchange","Exchange/demand reaction"
EX_gp1calpha_hs(e),"GP1c alpha  (homo sapiens) exchange","Exchange/demand reaction"
EX_gq1b_hs(e),"GQ1b (homo sapiens) exchange","Exchange/demand reaction"
EX_gq1balpha_hs(e),"GQ1balpha (homo sapiens) exchange","Exchange/demand reaction"
EX_gsn(e),"exchange reaction for Guanosine","Exchange/demand reaction"
EX_gt1a_hs(e),"GT1a (homo sapiens) exchange","Exchange/demand reaction"
EX_gthox(e),"Oxidized glutathione exchange","Exchange/demand reaction"
EX_gthrd(e),"Reduced glutathione exchange","Exchange/demand reaction"
EX_gtp(e),"GTP exchange","Exchange/demand reaction"
EX_gua(e),"Guanine exchange","Exchange/demand reaction"
EX_h(e),"exchange reaction for proton","Exchange/demand reaction"
EX_h2o(e),"H2O exchange","Exchange/demand reaction"
EX_h2o2(e),"Hydrogen peroxide exchange","Exchange/demand reaction"
EX_ha(e),"hyaluronan exchange","Exchange/demand reaction"
EX_ha_pre1(e),"hyaluronan biosynthesis, precursor 1 exchange","Exchange/demand reaction"
EX_hco3(e),"Bicarbonate exchange","Exchange/demand reaction"
EX_hcoumarin(e),"hydroxy coumarin exchange","Exchange/demand reaction"
EX_hdca(e),"Hexadecanoate (n-C16:0) exchange","Exchange/demand reaction"
EX_hdcea(e),"exchange reaction for Hexadecenoate (n-C16:1)","Exchange/demand reaction"
EX_hestratriol(e),"4,17 dihydroxy estradiol exchange","Exchange/demand reaction"
EX_hexc(e),"hexacosanoate (n-C26:0) exchange","Exchange/demand reaction"
EX_his_L(e),"exchange reaction for L-histidine","Exchange/demand reaction"
EX_hista(e),"Histamine exchange","Exchange/demand reaction"
EX_hpdca(e),"heptadecanoate exchange","Exchange/demand reaction"
EX_hspg(e),"heparan sulfate proteoglycan exchange","Exchange/demand reaction"
EX_htaxol(e),"hydroxylated taxol exchange","Exchange/demand reaction"
EX_hxan(e),"Hypoxanthine exchange","Exchange/demand reaction"
EX_i(e),"Iodide exchange","Exchange/demand reaction"
EX_idp(e),"IDP exchange","Exchange/demand reaction"
EX_ile_L(e),"L-Isoleucine exchange","Exchange/demand reaction"
EX_imp(e),"IMP exchange","Exchange/demand reaction"
EX_inost(e),"myo-Inositol exchange","Exchange/demand reaction"
EX_ins(e),"Inosine exchange","Exchange/demand reaction"
EX_ksi(e),"keratan sulfate I exchange","Exchange/demand reaction"
EX_ksi_deg1(e),"keratan sulfate I, degradation product 1 exchange","Exchange/demand reaction"
EX_ksii_core2(e),"keratan sulfate II (core 2-linked) exchange","Exchange/demand reaction"
EX_ksii_core4(e),"keratan sulfate II (core 4-linked) exchange","Exchange/demand reaction"
EX_lac_D(e),"D-lactate exchange","Exchange/demand reaction"
EX_lac_L(e),"L-Lactate exchange","Exchange/demand reaction"
EX_lcts(e),"Lactose exchange","Exchange/demand reaction"
EX_Lcystin(e),"L-Cystine exchange","Exchange/demand reaction"
EX_leuktrA4(e),"leukotriene A4 exchange","Exchange/demand reaction"
EX_leuktrB4(e),"leukotriene B4 exchange","Exchange/demand reaction"
EX_leuktrC4(e),"Leukotriene C4 exchange","Exchange/demand reaction"
EX_leuktrD4(e),"leukotriene D4 exchange","Exchange/demand reaction"
EX_leuktrE4(e),"leukotriene E4 exchange","Exchange/demand reaction"
EX_leuktrF4(e),"leukotriene F4 exchange","Exchange/demand reaction"
EX_leu_L(e),"L-Leucine exchange","Exchange/demand reaction"
EX_lgnc(e),"lignoceric acid exchange","Exchange/demand reaction"
EX_limnen(e),"Limonene exchange","Exchange/demand reaction"
EX_lneldc(e),"linoelaidic acid exchange","Exchange/demand reaction"
EX_lnlc(e),"linoleic acid (all cis C18:2) exchange","Exchange/demand reaction"
EX_lnlnca(e),"alpha-Linolenic acid exchange","Exchange/demand reaction"
EX_lnlncg(e),"gamma-linolenic acid exchange","Exchange/demand reaction"
EX_lpchol_hs(e),"exchange reaction for lysophosphatidylcholine","Exchange/demand reaction"
EX_lys_L(e),"L-Lysine exchange","Exchange/demand reaction"
EX_mag_hs(e),"Monoacylglycerol 2 (homo sapiens) exchange","Exchange/demand reaction"
EX_malt(e),"Maltose exchange","Exchange/demand reaction"
EX_malttr(e),"Maltotriose exchange","Exchange/demand reaction"
EX_man(e),"exchange reaction for D-Mannose","Exchange/demand reaction"
EX_meoh(e),"methanol exchange","Exchange/demand reaction"
EX_mepi(e),"Metanephrine exchange","Exchange/demand reaction"
EX_mercplaccys(e),"3-mercaptolactate-cysteine disulfide exchange","Exchange/demand reaction"
EX_met_L(e),"L-Methionine exchange","Exchange/demand reaction"
EX_mthgxl(e),"Methylglyoxal exchange","Exchange/demand reaction"
EX_n2m2nmasn(e),"N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R exchange","Exchange/demand reaction"
EX_nac(e),"Nicotinate exchange","Exchange/demand reaction"
EX_nad(e),"Nicotinamide adenine dinucleotide exchange","Exchange/demand reaction"
EX_nadp(e),"Nicotinamide adenine dinucleotide phosphate exchange","Exchange/demand reaction"
EX_ncam(e),"Nicotinamide exchange","Exchange/demand reaction"
EX_nh4(e),"Ammonia exchange","Exchange/demand reaction"
EX_no(e),"exchange reaction for NO","Exchange/demand reaction"
EX_npthl(e),"Naphthalene exchange","Exchange/demand reaction"
EX_nrpphr(e),"Norepinephrine exchange","Exchange/demand reaction"
EX_nrpphrsf(e),"Sulfate derivative of norepinephrine exchange","Exchange/demand reaction"
EX_nrvnc(e),"nervonic acid exchange","Exchange/demand reaction"
EX_o2(e),"exchange reaction for oxugen","Exchange/demand reaction"
EX_o2s(e),"Superoxide anion exchange","Exchange/demand reaction"
EX_oagd3_hs(e),"9-O-Acetylated GD3 (homo sapiens) exchange","Exchange/demand reaction"
EX_oagt3_hs(e),"9-O-Acetylated GT3 (homo sapiens) exchange","Exchange/demand reaction"
EX_ocdca(e),"echange reaction for octadecanoate (n-C18:0)","Exchange/demand reaction"
EX_ocdcea(e),"octadecenoate (n-C18:1) exchange","Exchange/demand reaction"
EX_octa(e),"exchange reaction for octanoate (n-C8:0)","Exchange/demand reaction"
EX_omeprazole(e),"omeprazole exchange","Exchange/demand reaction"
EX_onpthl(e),"naphthalene epoxide exchange","Exchange/demand reaction"
EX_orn(e),"Ornithine exchange","Exchange/demand reaction"
EX_oxa(e),"Oxalate exchange","Exchange/demand reaction"
EX_paf_hs(e),"1-alkyl 2-acteylglycerol 3-phosphocholine (homo sapiens) exchange","Exchange/demand reaction"
EX_pchol_hs(e),"Phosphatidylcholine (homo sapiens) exchange","Exchange/demand reaction"
EX_pe_hs(e),"exchange reaction for phosphatidylethanolamine","Exchange/demand reaction"
EX_perillyl(e),"Perillyl alcohol exchange","Exchange/demand reaction"
EX_pglyc_hs(e),"phosphatidylglycerol (homo sapiens) exchange","Exchange/demand reaction"
EX_pheacgln(e),"alpha-N-Phenylacetyl-L-glutamine exchange","Exchange/demand reaction"
EX_phe_L(e),"exchange reaction for L-phenylalanine","Exchange/demand reaction"
EX_pheme(e),"exchange reaction for heme","Exchange/demand reaction"
EX_phyt(e),"phytanic acid exchange","Exchange/demand reaction"
EX_pi(e),"Phosphate exchange","Exchange/demand reaction"
EX_pnto_R(e),"(R)-Pantothenate exchange","Exchange/demand reaction"
EX_ppa(e),"Propionate exchange","Exchange/demand reaction"
EX_prgstrn(e),"Progesterone exchange","Exchange/demand reaction"
EX_pro_L(e),"L-Proline exchange","Exchange/demand reaction"
EX_prostgd2(e),"Prostaglandin D2 exchange","Exchange/demand reaction"
EX_prostge1(e),"Prostaglandin E1 exchange","Exchange/demand reaction"
EX_prostge2(e),"Prostaglandin E2 exchange","Exchange/demand reaction"
EX_prostgf2(e),"Prostaglandin F2alpha exchange","Exchange/demand reaction"
EX_ps_hs(e),"phosphatidylserine (homo sapiens) exchange","Exchange/demand reaction"
EX_ptdca(e),"pentadecanoate exchange","Exchange/demand reaction"
EX_pydam(e),"exchange reaction for Pyridoxamine","Exchange/demand reaction"
EX_pydx(e),"exchange reaction for Pyridoxal","Exchange/demand reaction"
EX_pydxn(e),"exchange reaction for Pyridoxine","Exchange/demand reaction"
EX_pyr(e),"Pyruvate exchange","Exchange/demand reaction"
EX_rbt(e),"Ribitol exchange","Exchange/demand reaction"
EX_retfa(e),"fatty acid retinol exchange","Exchange/demand reaction"
EX_retinol(e),"Retinol exchange","Exchange/demand reaction"
EX_retinol_9_cis(e),"9-cis-retinol exchange","Exchange/demand reaction"
EX_retinol_cis_11(e),"cis-11-retinol exchange","Exchange/demand reaction"
EX_retn(e),"Retinoate exchange","Exchange/demand reaction"
EX_retnglc(e),"retinoyl glucuronide exchange","Exchange/demand reaction"
EX_rib_D(e),"exchange reaction for ribose","Exchange/demand reaction"
EX_ribflv(e),"exchange reaction for Riboflavin","Exchange/demand reaction"
EX_Rtotal(e),"R total exchange","Exchange/demand reaction"
EX_Rtotal2(e),"R total 2 position exchange","Exchange/demand reaction"
EX_Rtotal3(e),"R total 3 position exchange","Exchange/demand reaction"
EX_s2l2fn2m2masn(e),"PA6 exchange","Exchange/demand reaction"
EX_s2l2n2m2masn(e),"de-Fuc form of PA6 exchange","Exchange/demand reaction"
EX_sarcs(e),"Sarcosine exchange","Exchange/demand reaction"
EX_ser_L(e),"exchange reaction for L-serine","Exchange/demand reaction"
EX_sl_L(e),"L-sulfolactate exchange","Exchange/demand reaction"
EX_so4(e),"Sulfate exchange","Exchange/demand reaction"
EX_spc_hs(e),"sphingosylphosphorylcholine (homo sapiens) exchange","Exchange/demand reaction"
EX_sph1p(e),"Sphinganine 1-phosphate exchange","Exchange/demand reaction"
