Var1,Var2
Keratan sulfate degradation,"N-Acetylglucosaminidase, Lysosomal"
"Transport, extracellular","Bicarbonate Transport (HCl/ (Hcl/NaHCO3 Exchange)"
"Transport, extracellular","Na+ / Iodide Symport"
"Transport, extracellular","Na+/K+ Exchanging ATPase"
"Transport, extracellular","Sodium Transport (Uniport)"
"Transport, golgi apparatus","Sodium Proton Antiporter (H:Na Is 1:1)"
"Transport, extracellular","Sodium/Ammonium Proton Antiporter"
"Transport, peroxisomal","Sodium Transport via Diffusion (Perioxisome)"
Beta-Alanine metabolism,"Nalpha- (Beta-Alanyl)-L-Histidine Hydrolase Ir"
"Transport, extracellular","Uptake of Nicotinamide Acid "
"Transport, extracellular","Na+-Cl- Symport"
"Transport, extracellular","Na+/Ca2+-K+ Antiport"
"Transport, extracellular","Na+/Ca2+-NH4+ Antiport"
Nucleotide interconversion,"Nucleoside-Diphosphatase (IDP), Extracellular"
Nucleotide interconversion,"Nucleoside-Diphosphatase (GDP), Extracellular"
Nucleotide interconversion,"Nucleoside-Diphosphatase (dCDP)"
Nucleotide interconversion,"Nucleoside-Diphosphatase (UDP), Endoplasmic Reticulum"
Nucleotide interconversion,"Nucleoside-Diphosphatase (UDP), Extracellular"
Nucleotide interconversion,"Nucleoside-Diphosphatase (UDP), Golgi Apparatus"
Nucleotide interconversion,"Nucleoside-Diphosphatase (dUDP)"
Nucleotide interconversion,"Nucleoside-Diphosphatase (UTP), Extracellular"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:DIDP)"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:DIDP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:GDP), Mitochondrial"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:GDP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:UDP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:CDP), Mitochondrial"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:CDP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dTDP), Mitochondrial"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dTDP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dGDP), Mitochondrial"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dGDP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dUDP), Mitochondrial"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dUDP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dCDP), Mitochondrial"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dCDP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dADP), Mitochondrial"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dADP), Nuclear"
Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:IDP), Nuclear"
"Transport, extracellular","Transport of Ammonium ion via Proton Antiport"
"Transport, nuclear","Transport of Ammonium ion, Nuclear "
"Transport, peroxisomal","Transport of Ammonium ion, Peroxisomal "
NAD metabolism,"Nicotinate D-Ribonucleoside Kinase"
"Transport, nuclear","Transport of Nicotinate D-Ribonucleotide, Nuclear through Pore"
"Transport, extracellular","Transport of Xenobiotic"
"Transport, extracellular","Na+-K+-Cl- Symport (NH4+)"
"Transport, extracellular","Na+-K+-Cl- Symport"
NAD metabolism,"Nicotinamide-Nucleotide Adenylyltransferase, Mitochondrial"
NAD metabolism,"Nicotinamide-Nucleotide Adenylyltransferase"
NAD metabolism,"Nicotinamide-Nucleotide Adenylyltransferase"
NAD metabolism,"Nicotinamide Ribotide (NMN) Synthetase"
"Transport, nuclear","Transport of Nicotinamide Ribotide, Nuclear through Pore"
NAD metabolism,"Nicotinate-Nucleotide Adenylyltransferase"
NAD metabolism,"Nicotinamide N-Methyltransferase"
Tyrosine metabolism,"Noradrenaline N-Methyltransferase"
Arginine and proline metabolism,"Nitric Oxide Synthase (Intermediate Forming)"
Arginine and proline metabolism,"Nitric Oxide Synthase (No Forming)"
"Transport, extracellular","Transport of Nitric Oxide (Diffusion)"
NAD metabolism,"Nucleotide Phosphatase"
"Transport, extracellular","Transport of Xenobiotic"
"Transport, extracellular","Transport of Norepinephrine Sulfate  (Diffusion)"
Tyrosine metabolism,"Norepinephrine Sulfotransferase"
"Transport, extracellular","Transport of Norepinephrine  via Sodium Symport (1:2), Reversible"
"Transport, extracellular","Transport of Norepinephrine via Uniport"
"Transport, extracellular","Secretion of Noradrenaline  via Secretory Vesicle (ATP Driven)"
"Transport, peroxisomal","Fatty Acid Intracellular Transport"
O-glycan metabolism,"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase"
O-glycan metabolism,"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase"
Nucleotide interconversion,"5'-Nucleotidase (DIMP)"
Nucleotide interconversion,"5'-Nucleotidase (dUMP), Mitochondrial"
Nucleotide interconversion,"5'-Nucleotidase (UMP), Extracellular"
Pyrimidine catabolism,"5'-Nucleotidase (UMP), Lysosomal"
Nucleotide interconversion,"5'-Nucleotidase (CMP), Extracellular"
Pyrimidine catabolism,"5'-Nucleotidase (CMP), Lysosomal"
Pyrimidine catabolism,"5'-Nucleotidase (dTMP), Lysosomal"
Nucleotide interconversion,"5'-Nucleotidase (dTMP), Mitochondrial"
Nucleotide interconversion,"5'-Nucleotidase (AMP), Extracellular"
Purine catabolism,"5'-Nucleotidase (AMP), Lysosomal"
Nucleotide interconversion,"5'-Nucleotidase (GMP), Extracellular"
Purine catabolism,"5'-Nucleotidase (GMP), Lysosomal"
Nucleotide interconversion,"Nucleoside-Triphosphatase (GTP)"
Nucleotide interconversion,"Nucleoside Triphosphate Pyrophosphorylase (dITP)"
Nucleotide interconversion,"Nucleoside Triphosphate Pyrophosphorylase (ITP)"
Starch and sucrose metabolism,"Oligo-1, 6-Glucosidase (Glygn4 -> Glygn5), Extracellular"
Starch and sucrose metabolism,"Oligo-1, 6-Glucosidase (Strch2 ->Strch3), Extracellular"
"Transport, extracellular","Transport of peroxide Anion via Diffusion, Extracellular"
"Transport, mitochondrial","Transport of peroxide Anion via Diffusion, Mitochondrial"
"Transport, nuclear","Transport of peroxide Anion via Diffusion, Nuclear"
"Transport, peroxisomal","Transport of peroxide Anion via Diffusion, Peroxisomal"
"Transport, endoplasmic reticular","Transport of Oxygen, Endoplasmic Reticulum"
"Transport, mitochondrial","Transport of Oxygen, (Diffusion)"
"Transport, nuclear","Transport of Oxygen, Nuclear"
"Transport, peroxisomal","Transport of Oxygen, Peroxisomal"
"Transport, extracellular","Transport of 9-O-Acetylated Gd3"
"Transport, golgi apparatus","Transport of 9-O-Acetylated Gd3, Golgi Apparatus"
"Transport, extracellular","Transport of 9-O-Acetylated Gt3"
"Transport, golgi apparatus","Transport of 9-O-Acetylated Gt3, Golgi Apparatus"
Urea cycle,"Ornithine Carbamoyltransferase, Irreversible"
"Transport, mitochondrial","Octanoyl Coenzyme A Transport, Diffusion"
"Transport, peroxisomal","Fatty Acid Intracellular Transport"
"Transport, extracellular","Fatty Acid Transport via Diffusion"
"Transport, extracellular","Fatty Acid Transport via Diffusion"
"Valine, leucine, and isoleucine metabolism","3-Oxoacid Coa-Transferase"
"Transport, extracellular","Octanoate Transport via Diffusion"
"Transport, peroxisomal","Fatty Acid Intracellular Transport"
"Valine, leucine, and isoleucine metabolism","2-Oxoisovalerate Dehydrogenase (Acylating"
"Valine, leucine, and isoleucine metabolism","2-Oxoisovalerate Dehydrogenase (Acylating"
"Valine, leucine, and isoleucine metabolism","2-Oxoisovalerate Dehydrogenase (Acylating"
"Transport, extracellular","Transport of Xenobiotic"
"Transport, extracellular","Transport of Xenobiotic"
Glutathione metabolism,"5-Oxoproline Amidohydrolase (ATP-Hydrolysing) (Ir)"
Vitamin A metabolism,"4-Oxo-Retinoic Acid Formation (Oxidation)"
Vitamin A metabolism,"13-Cis-4-Oxo-Retinoic Acid Formation (Oxidation)"
"Transport, nuclear","4-Oxo-Retinoic Acid Transport, Nuclear"
"Transport, nuclear","13-Cis-4-Oxo-Retinoic Acid Transport, Nuclear"
"Transport, mitochondrial","Ornithine Mitochondrial Transport via Proton Antiport"
"Transport, mitochondrial","Ornithine Mitochondrial Transport Exchange with Citruline"
Urea cycle,"Ornithine Transaminase Reversible, Mitochondrial"
"Transport, extracellular","Ornithine Transport via Diffusion (Extracellular to Cytosol)"
Pyrimidine synthesis,"Orotate Phosphoribosyltransferase"
"Transport, extracellular","Oxalate Transport via Bicarbonate Antiport"
"Transport, peroxisomal","Oxalate Transport Out of Peroxisome"
Steroid metabolism,"Cytochrome P450 11A1, Mitochondrial [Precursor]"
Steroid metabolism,"Steroid 11-Beta-Hydroxylase"
Steroid metabolism,"Steroid 11-Beta-Hydroxylase"
Steroid metabolism,"Steroid 11-Beta-Hydroxylase"
Steroid metabolism,"Cytochrome P450 17A1"
Steroid metabolism,"Cytochrome P450 17A1"
Steroid metabolism,"Cytochrome P450 17A1"
Steroid metabolism,"Cytochrome P450 17A1"
Steroid metabolism,"Aromatase"
Steroid metabolism,"Aromatase"
Steroid metabolism,"Cytochrome P450 1B1"
Steroid metabolism,"Steroid 21-Hydroxylase"
Steroid metabolism,"Steroid 21-Hydroxylase"
Bile acid synthesis,"5-Beta-Cholestane-3-Alpha, 7-Alpha, 12-Alpha-Triol 27-Hydroxylase"
Bile acid synthesis,"5-Beta-Cholestane-3-Alpha, 7-Alpha, 12-Alpha-Triol 27-Hydroxylase"
Bile acid synthesis,"5-Beta-Cholestane-3-Alpha, 7-Alpha, 12-Alpha-Triol 27-Hydroxylase"
Bile acid synthesis,"5-Beta-Cytochrome P450, Family 27, Subfamily A, Polypeptide 1"
Bile acid synthesis,"5-Beta-Cytochrome P450, Family 27, Subfamily A, Polypeptide 1"
Bile acid synthesis,"Cytochrome P450 27"
Bile acid synthesis,"Cytochrome P450 27"
Cytochrome metabolism,"Cytochrome P450 2A6"
Cytochrome metabolism,"Cytochrome P450 2C18"
Cytochrome metabolism,"Cytochrome P450 2C19"
Cytochrome metabolism,"Cytochrome P450 2C8"
Cytochrome metabolism,"Cytochrome P450 2C9"
Limonene and pinene degradation,"Cytochrome P450 2C9"
Limonene and pinene degradation,"Cytochrome P450 2C9"
Limonene and pinene degradation,"Cytochrome P450 2C9"
Cytochrome metabolism,"Cytochrome P450 2D6"
Cytochrome metabolism,"Cytochrome P450 2E1"
Cytochrome metabolism,"Cytochrome P450 2F1"
Bile acid synthesis,"Oxysterol 7-Alpha-Hydroxylase"
Cytochrome metabolism,"Cytochrome P450 3A4"
Steroid metabolism,"Cytochrome P450 P450 3A43"
Cytochrome metabolism,"Cytochrome P450 3A5"
Steroid metabolism,"Cytochrome P450 P450 3A7"
Bile acid synthesis,"Cytochrome P450, Family 46, Subfamily A, Polypeptide 1"
Eicosanoid metabolism,"Cytochrome P450 4B1"
Eicosanoid metabolism,"Cytochrome P450 4F12/4F2"
Eicosanoid metabolism,"Cytochrome P450 4F12/4F2"
Cytochrome metabolism,"Cytochrome P450 4F12/4F2"
Eicosanoid metabolism,"Cytochrome P450 4F8"
Bile acid synthesis,"Cytochrome P450, Family 7, Subfamily A, Polypeptide 1"
Bile acid synthesis,"Oxysterol 7Alpha-Hydroxylase"
Bile acid synthesis,"Oxysterol 7Alpha-Hydroxylase"
Bile acid synthesis,"Sterol 12-Alpha-Hydroxylase"
Bile acid synthesis,"Sterol 12-Alpha-Hydroxylase (NADH)"
Eicosanoid metabolism,"Cytochrome P450 Leukotriene B4"
Cholesterol metabolism,"Cholesterol Monooxygenase"
Glutamate metabolism,"1-Pyrroline-5-Carboxylate Dehydrogenase, Mitochondrial"
Arginine and proline metabolism,"Pyrroline-5-Carboxylate Reductase, Mitochondrial"
Arginine and proline metabolism,"Pyrroline-5-Carboxylate Reductase, Mitochondrial"
"Transport, endoplasmic reticular","Phosphatidate Scramblase"
"Transport, golgi apparatus","Phosphatidate Scramblase"
"Transport, nuclear","Phosphatidate Transport, Nuclear"
Phenylalanine metabolism,"Phenylacetate Coenzyme A Ligase"
Glycerophospholipid metabolism,"Platelet-Activating Factor Acetylhydrolase"
Glycerophospholipid metabolism,"Platelet-Activating Factor Acetylhydrolase"
Glycerophospholipid metabolism,"Alkyl Glycerol Phosphocholine Acetyl Transferase"
"Transport, nuclear","Phosphatidylinositol Nuclear Transport (Diffusion)"
"Transport, nuclear","Phosphatidylinositol 4, 5-Bisphosphate Nuclear Transport (Diffusion)"
"Transport, nuclear","Phosphatidylinositol 4-Phosphate Nuclear Transport (Diffusion)"
CoA catabolism,"Phosphatase (Pan4P)"
"Transport, golgi apparatus","3'-Phosphoadenylyl Sufate Golgi Transport"
"Transport, golgi apparatus","Adenosine 3', 5'-Bisphosphate Golgi Transport"
"Transport, mitochondrial","Phosphatidylcholine Flippase"
"Transport, endoplasmic reticular","Phosphatidylcholine Scramblase"
"Transport, golgi apparatus","Phosphatidylcholine Scramblase"
Glycerophospholipid metabolism,"Choline Phosphatase"
Glycerophospholipid metabolism,"Choline Phosphatase"
Glycerophospholipid metabolism,"Choline Phosphatase"
Glycerophospholipid metabolism,"Choline Phosphatase"
Tryptophan metabolism,"Picolinic Acid Decarboxylase"
Pyruvate metabolism,"Pyruvate Carboxylase"
Urea cycle,"Phosphocreatine Transport To/from Mitochondria via Diffusion"
Fatty acid oxidation,"Transport into the Cytosol from Peroxisome (Carnitine)"
Fatty acid oxidation,"Transport into the Mitochondria from Cytosol (Carnitine)"
"Transport, extracellular","Phosphatidylcholine Transporter"
Nucleotide interconversion,"3', 5'-Cyclic-Nucleotide Phosphodiesterase"
Nucleotide interconversion,"3', 5'-Cyclic-Nucleotide Phosphodiesterase, Golgi"
Nucleotide interconversion,"3', 5'-Cyclic-Nucleotide Phosphodiesterase"
Nucleotide interconversion,"3', 5'-Cyclic-Nucleotide Phosphodiesterase, Golgi"
Nucleotide interconversion,"3', 5'-Cyclic-Nucleotide Phosphodiesterase, Nucleus"
Glycolysis/gluconeogenesis,"Pyruvate Dehydrogenase"
Vitamin B6 metabolism,"Pyridoxine 5'-Phosphate Oxidase"
Vitamin B6 metabolism,"Pyridoxine 5-Phosphate Phosphatase"
"Transport, endoplasmic reticular","Phosphatidylethanolamine Scramblase"
"Transport, mitochondrial","Phosphatidylethanolamine Scramblase"
Phenylalanine metabolism,"Phenethylamine Oxidase"
"Transport, extracellular","Phosphatidylethanolamine Flippase"
"Transport, mitochondrial","Phosphatidylethanolamine Flippase"
Glycolysis/gluconeogenesis,"Phosphoenolpyruvate Carboxykinase (GTP)"
Glycolysis/gluconeogenesis,"Phosphoenolpyruvate Carboxykinase (GTP)"
"Transport, extracellular","Transport of Xenobiotic"
Fatty acid oxidation,"Peroxisomal Lumped Long Chain Fatty Acid Oxidation"
"Transport, extracellular","Phosphatidylethanolamine Transport"
Glycerophospholipid metabolism,"Phosphoethanolamine Cytidyltransferase"
Glycerophospholipid metabolism,"Phosphatidylethanolamine N-Methyltransferase"
Glycerophospholipid metabolism,"Phosphatidylethanolamine N-Methyltransferase"
Fructose and mannose metabolism,"6-Phosphofructo-2-Kinase"
"Glycine, serine, alanine, and threonine metabolism","Phosphoglycerate Dehydrogenase"
Eicosanoid metabolism,"Prostaglandin-H2 D-Isomerase [Precursor]"
Eicosanoid metabolism,"Prostaglandin-H2 D-Isomerase [Precursor]"
Eicosanoid metabolism,"Prostaglandin E Synthase"
Eicosanoid metabolism,"Prostaglandin I2 Synthase"
Pentose phosphate pathway,"6-Phosphogluconolactonase, Endoplasmic Reticulum"
"Transport, extracellular","Phosphatidylglycerol Transport"
Glycerophospholipid metabolism,"Phosphatidylglycerol Phosphate Phosphatase (Homo Sapiens)"
Glycerophospholipid metabolism,"Phosphatidyl-CMP: Glycerophosphate Phosphatidyltransferase"
Eicosanoid metabolism,"Prostaglandin G/H Synthase"
Eicosanoid metabolism,"Prostaglandin G/H Synthase"
Phenylalanine metabolism,"Phenylacetyl Coenzyme A:L-Glutamine Alpha-N-Phenylacetyltransferase"
Arginine and proline metabolism,"L-1-Pyrroline-3-Hydroxy-5-Carboxylate Dehydrogenase"
Arginine and proline metabolism,"L-1-Pyrroline-3-Hydroxy-5-Carboxylate Spontaneous Conversion to L-4-Hydroxyglutamate Semialdehyde, Mitochondrial"
"Transport, extracellular","Pheacgln Extracellular Transport via Diffusion"
"Transport, mitochondrial","Transport of Heme"
"Transport, extracellular","Transport of L-Phenylalanine  via Sodium Symport"
Phenylalanine metabolism,"Phenylalanine Transaminase, Mitochondrial"
"Transport, extracellular","Transport of L-Phenylalanine  via Diffusion"
Phenylalanine metabolism,"L-Phenylalanine, Tetrahydrobiopterin:Oxygen Oxidoreductase (4-Hydroxylating)"
Phenylalanine metabolism,"L-Phenylalanine Carboxy-Lyase"
Fatty acid oxidation,"Phytanoyl Coenzyme A Dioxygenase, Peroxisomal"
"Transport, extracellular","Transport of Phylloquinone "
"Transport, extracellular","Fatty Acid Transport via Diffusion"
Inositol phosphate metabolism,"Phosphatidylinositol-3, 4, 5-Trisphosphate 3-Phosphatase"
Inositol phosphate metabolism,"Phosphatidylinositol-3, 4, 5-Trisphosphate 3-Phosphatase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol-3, 4, 5-Trisphosphate 5-Phosphatase"
Inositol phosphate metabolism,"Phosphatidylinositol-3, 4, 5-Trisphosphate 5-Phosphatase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol-3, 4-Bisphosphate 3-Phosphatase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol-3, 4-Bisphosphate 4-Phosphatase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol 3, 4-Bisphosphate 5-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 3, 4-Bisphosphate 5-Kinase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol-3-Phosphate 3-Phosphatase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol 3-Phosphate 4-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 3-Phosphate 4-Kinase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol 3-Phosphate 5-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 4, 5-Bisphosphate 3-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 4, 5-Bisphosphate 3-Kinase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol-4, 5-Bisphosphate 4-Phosphatase"
Inositol phosphate metabolism,"Phosphatidylinositol-4, 5-Bisphosphate 5-Phosphatase"
Inositol phosphate metabolism,"Phosphatidylinositol-4, 5-Bisphosphate 5-Phosphatase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol 4, 5-Bisphosphate Phospholipase C"
Inositol phosphate metabolism,"Phosphatidylinositol 4-Phosphate 3-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 4-Phosphate 3-Kinase, Nuclear"
Glycerophospholipid metabolism,"Phosphatidylinositol 4-Phosphate 5-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 4-Phosphate 5-Kinase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol 4-Phosphate Phospholipase C"
Inositol phosphate metabolism,"Phosphatidylinositol 4-Phosphate Phospholipase C, Nucleus"
Inositol phosphate metabolism,"Phosphatidylinositol-4-Phosphate 4-Phosphatase"
Inositol phosphate metabolism,"Phosphatidylinositol-5-Phosphate 3-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol-5-Phosphate 4-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol-5-Phosphate 4-Kinase, Nuclear"
Phosphatidylinositol phosphate metabolism,"Phosphatidylinositol N-Acetylglucosaminyltransferase"
Inositol phosphate metabolism,"Phosphatidylinositol 3-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 3-Kinase, Nuclear"
Glycerophospholipid metabolism,"Phosphatidylinositol 4-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 4-Kinase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol 5-Kinase"
Inositol phosphate metabolism,"Phosphatidylinositol 5-Kinase, Nuclear"
Inositol phosphate metabolism,"Phosphatidylinositol Phospholipase C"
Inositol phosphate metabolism,"Phosphatidylinositol Phospholipase C, Nucleus"
"Transport, endoplasmic reticular","Phosphate Transport, Endoplasmic Reticulum"
"Transport, golgi apparatus","Phosphate Transport, Golgi Apparatus"
"Transport, nuclear","Phosphate Transport, Nuclear"
"Transport, peroxisomal","Phosphate Transporter, Peroxisome"
Glycerophospholipid metabolism,"Phospholipase A2"
Glycerophospholipid metabolism,"Phospholipase A2"
Cholesterol metabolism,"Phosphomevalonate Kinase"
Inositol phosphate metabolism,"5-Diphosphoinositol-1, 2, 3, 4, 6-Pentakisphosphate Diphosphohydrolase"
Inositol phosphate metabolism,"5-Diphosphoinositol-1, 2, 3, 4, 6-Pentakisphosphate Diphosphohydrolase, Nuclear"
"Transport, peroxisomal","Fatty Acid Intracellular Transport"
CoA catabolism,"(R)-Pantetheine Amidohydrolase"
"Transport, extracellular","Pantothenate Sodium Symporter Ii"
Miscellaneous,"Inorganic Triphosphatase"
Miscellaneous,"Inorganic Diphosphatase, Endoplasmic Reticulum"
Oxidative phosphorylation,"Inorganic Diphosphatase"
Miscellaneous,"Inorganic Diphosphatase, Nuclear"
Triacylglycerol synthesis,"Phosphatidic Acid Phosphatase"
"Transport, extracellular","Propionate Transport, Diffusion"
"Transport, mitochondrial","Propionate Transport, Diffusion"
Lysine metabolism,"Ppd2Cspp"
Pyruvate metabolism,"Propane-1, 2-Diol:NADP+ 1-Oxidoreductase"
"Transport, endoplasmic reticular","Diphosphate Transporter, Endoplasmic Reticulum"
"Transport, peroxisomal","Diphosphate Transporter, Peroxisome"
"Transport, nuclear","5-Diphosphatidylinositol Pentakisphosphate Nuclear Transport (Diffusion)"
Phenylalanine metabolism,"Phenylpyruvate:Oxygen Oxidoreductase (Hydroxylating, Decarboxylating)"
Heme synthesis,"Protoporphyrinogen Ix Mitochondrial Transport"
Heme synthesis,"Protoporphyrinogen Oxidase, Mitochondrial"
Purine synthesis,"Phosphoribosylglycinamide Synthase"
Purine synthesis,"Phosphoribosylaminoimidazolesuccinocarboxamide Synthase"
Miscellaneous,"Peroxidase (Multiple Substrates)"
Miscellaneous,"Peroxidase (Multiple Substrates)"
Steroid metabolism,"Steroid Sulfotransferase"
"Transport, mitochondrial","Transport of Pregnenolone, Mitochondrial "
"Transport, endoplasmic reticular","Transport of Pregnenolone, Endoplasmatic Reticulum"
"Transport, extracellular","Progesterone Transport"
"Transport, peroxisomal","Transport of Pristanal, Peroxisomal"
"Transport, peroxisomal","Transport of Pristanoyl Coenzyme A, Peroxisomal"
"Transport, peroxisomal","Transport of Pristanic Acid, Peroxisomal"
Arginine and proline metabolism,"Proline Dehydrogenase, Mitochondrial"
"Transport, extracellular","D-Proline Reversible Transport via Proton Symport"
"Transport, extracellular","Prostaglandin Transport via Bicarbonate Antiport"
"Transport, extracellular","Prostaglandin Transport via Bicarbonate Antiport"
"Transport, extracellular","Prostaglandine E1 Transport (ATP-Dependent)"
"Transport, extracellular","Prostaglandin Transport via Bicarbonate Antiport"
"Transport, extracellular","Prostaglandin Uniport"
"Transport, extracellular","Prostaglandine E2 Transport (ATP-Dependent)"
"Transport, extracellular","Prostaglandin Uniport"
"Transport, extracellular","Prostaglandin H2 Transport"
"Transport, extracellular","Prostaglandin I2 Transport"
"Transport, endoplasmic reticular","Prostaglandin I2 Transport, Endoplasmatic Reticulum"
"Transport, extracellular","Na+/Proline-L Symporter"
"Transport, mitochondrial","Transport of L-Proline, Mitochondrial"
Glycerophospholipid metabolism,"Phosphatidylserine Decarboxylase"
"Transport, extracellular","Phosphatidylserine Flippase"
"Transport, mitochondrial","Phosphatidylserine Flippase"
Glycerophospholipid metabolism,"Phosphatidylserine Synthase Homo Sapiens"
Glycerophospholipid metabolism,"Phosphatidylserine Synthase Homo Sapiens"
"Transport, extracellular","Transport of Phosphatidylserine "
Fatty acid oxidation,"Carnitine Fatty-Acyl Transferase"
Fatty acid oxidation,"Pentadecanoate Transport into the Mitochondria"
Fatty acid oxidation,"Pentadecanoate Transport into the Mitochondria"
"Transport, extracellular","Fatty Acid Transport via Diffusion"
Fatty acid oxidation,"Peroxisomal Acyl Coenzyme A Thioesterase"
Fatty acid oxidation,"Peroxisomal Acyl Coenzyme A Thioesterase"
Fatty acid oxidation,"Peroxisomal Acyl Coenzyme A Thioesterase"
Tetrahydrobiopterin metabolism,"6-Pyruvoyltetrahydropterin Synthase"
Arginine and proline metabolism,"Putrescine Acetyltransferase"
Arginine and proline metabolism,"Putrescine:Oxygen Oxidoreductase (Deaminating)"
Vitamin D metabolism,"Previtamin D3 Formation"
Vitamin B6 metabolism,"Pyridoxamine 5'-Phosphate Oxidase"
Vitamin B6 metabolism,"Pyridoxal Dehydrogenase"
Vitamin B6 metabolism,"Pyridoxal Kinase"
Vitamin B6 metabolism,"Pyridoxal 5-Phosphate Phosphatase"
Pyrimidine catabolism,"Pyrimidine-Nucleoside Phosphorylase (Uracil)"
"Transport, mitochondrial","Pyruvate Mitochondrial Transport via Proton Symport"
D-alanine metabolism,"Pyruvate Peroxisomal Transport via Proton Symport"
Tryptophan metabolism,"Quinolinate Synthase (Eukaryotic)"
Vitamin A metabolism,"Retinal Dehydrogenase"
Vitamin A metabolism,"Retinal Dehydrogenase (NADPH)"
Vitamin A metabolism,"Retinal Dehydrogenase"
Vitamin A metabolism,"Retinal Dehydrogenase (NADPH)"
Vitamin A metabolism,"Retinoic Acid Hydroxylation (P450)"
Vitamin A metabolism,"Retinal Isomerase (11-Cis)"
Vitamin A metabolism,"Retinal Isomerase (9-Cis)"
Vitamin A metabolism,"13-Cis-Retinoic Acid Isomerase"
Vitamin A metabolism,"13-Cis-4-Oxo-Retinoic Acid Isomerase"
"Transport, nuclear","Retinoate Transport, Nuclear"
"Transport, nuclear","13-Cis-Retinoic Acid Transport, Nuclear"
Pentose phosphate pathway,"D-Ribulokinase"
"Transport, extracellular","Ribitol Transport via Passive Diffusion"
Vitamin A metabolism,"Retinol Dehydrogenase (All-Trans)"
Vitamin A metabolism,"Retinol Dehydrogenase (All-Trans, NADPH)"
Vitamin A metabolism,"Retinol Dehydrogenase (9-Cis, NADH)"
Vitamin A metabolism,"Retinol Dehydrogenase (9-Cis, NADPH)"
Vitamin A metabolism,"Retinol Dehydrogenase (11-Cis, NADH)"
Vitamin A metabolism,"Retinol Dehydrogenase (11-Cis, NADPH)"
Vitamin A metabolism,"Retinol Dehydrogenase (13-Cis, NADH)"
Vitamin A metabolism,"Retinol Acyltransferase"
"Transport, extracellular","Fatty Acid Retinol Efflux"
"Transport, extracellular","Fatty Acid Retinol Efflux (9-Cis)"
"Transport, extracellular","Fatty Acid Retinol Efflux (11-Cis)"
Vitamin A metabolism,"Retinyl Ester Hydrolase"
Vitamin A metabolism,"Retinyl Ester Hydrolase (9-Cis)"
Vitamin A metabolism,"Retinyl Ester Hydrolase (9-Cis), Extracellular"
Vitamin A metabolism,"Retinyl Ester Hydrolase (11-Cis)"
Vitamin A metabolism,"Retinyl Ester Hydrolase (11-Cis), Extracellular"
Vitamin A metabolism,"Retinyl Ester Hydrolase, Extracellular"
Vitamin A metabolism,"Retinol Isomerase (11-Cis)"
Vitamin A metabolism,"Retinol Isomerase (9-Cis)"
Vitamin A metabolism,"Retinol Isomerase (13-Cis)"
