Drug_Pair,Gene_Pair,Phenotype_Essentiality,Phenotype_Safety,Number_Genes,Drugs1,Drugs2
Ceftriaxone;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Cefepime
Ceftriaxone;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Levodopa
Ceftriaxone;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Moexipril
Ceftriaxone;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Midodrine
Ceftriaxone;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Methyldopa
Ceftriaxone;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Methotrexate
Ceftriaxone;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Lisinopril
Ceftriaxone;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Lisdexamfetamine
Ceftriaxone;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Glyburide
Ceftriaxone;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Ceftazidime
Ceftriaxone;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Fluvastatin
Ceftriaxone;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Enalapril
Ceftriaxone;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Dicloxacillin
Ceftriaxone;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Dexibuprofen
Ceftriaxone;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Cyclacillin
Ceftriaxone;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftriaxone,Ceftriaxone
Ceftazidime;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftazidime,Levodopa
Cefotaxime;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Benzylpenicillin
Cefotaxime;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Captopril
Ceftibuten;Benazepril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Benazepril
Ceftibuten;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Cefepime
Ceftibuten;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Cefdinir
Ceftibuten;Cefalotin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Cefalotin
Ceftibuten;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Captopril
Ceftibuten;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Benzylpenicillin
Ceftibuten;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Benzoic acid
Ceftibuten;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Azidocillin
Ceftibuten;Cefmetazole,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Cefmetazole
Ceftibuten;Ampicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Ampicillin
Ceftibuten;Amoxicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Amoxicillin
Ceftibuten;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Aminolevulinic acid
Cefotaxime;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cyclacillin
Cefotaxime;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Dexibuprofen
Cefotaxime;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Dicloxacillin
Ceftibuten;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Cefixime
Ceftibuten;Cefotaxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Cefotaxime
Cefotaxime;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cefdinir
Cefotaxime;Cefotaxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cefotaxime
Cefotaxime;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cefepime
Ceftazidime;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftazidime,Fluvastatin
Cefotaxime;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cefixime
Cefotaxime;Cefmetazole,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cefmetazole
Ceftazidime;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftazidime,Enalapril
Ceftazidime;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftazidime,Dexibuprofen
Cefotaxime;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Ceftazidime
Cefotaxime;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cloxacillin
Cefotaxime;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Ceftriaxone
Cefotaxime;Cefuroxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cefuroxime
Cefotaxime;Cephalexin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cephalexin
Cefotaxime;Cilazapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefotaxime,Cilazapril
Ceftazidime;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftazidime,Ramipril
Ceftibuten;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ceftibuten,Ceftazidime
Cefmetazole;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Benzylpenicillin
Cefaclor;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Cefixime
Polymyxin B;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Lisinopril
Azidocillin;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Taurine
Spirapril;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Methotrexate
Spirapril;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Lisinopril
Spirapril;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Lisdexamfetamine
Spirapril;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Levodopa
Spirapril;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Fluvastatin
Spirapril;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Enalapril
Spirapril;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Dicloxacillin
Spirapril;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Dexibuprofen
Spirapril;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Ceftazidime
Spirapril;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Cefepime
Spirapril;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Captopril
Spirapril;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Azidocillin
Ramipril;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Trandolapril
Cefdinir;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Phenoxymethylpenicillin
Cefdinir;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Oseltamivir
Spirapril;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Benzoic acid
Spirapril;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Methyldopa
Spirapril;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Midodrine
Spirapril;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Trandolapril
Azidocillin;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Azidocillin
Azidocillin;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Dexibuprofen
Azidocillin;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Captopril
Ramipril;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Phenoxymethylpenicillin
Ramipril;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Taurine
Spirapril;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Valganciclovir
Spirapril;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Temocapril
Spirapril;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Moexipril
Spirapril;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Taurine
Spirapril;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Spirapril
Spirapril;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Ramipril
Spirapril;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Phenoxymethylpenicillin
Ramipril;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Temocapril
Spirapril;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Spirapril,Oseltamivir
Cefdinir;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Moexipril
Cefdinir;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Midodrine
Cefdinir;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Methyldopa
Cefalotin;Ubenimex,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefalotin,Ubenimex
Cefdinir;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Taurine
Cefdinir;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Benzoic acid
Cefdinir;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Azidocillin
Cefdinir;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Aminolevulinic acid
Cefalotin;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefalotin,Valganciclovir
Cefalotin;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefalotin,Valaciclovir
Cefalotin;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefalotin,Trandolapril
Cefdinir;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Trandolapril
Cefalotin;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefalotin,Temocapril
Cefalotin;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefalotin,Taurine
Cefalotin;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefalotin,Spirapril
Cefalotin;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefalotin,Ramipril
Cefdinir;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Captopril
Cefdinir;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Cefdinir
Cefdinir;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Temocapril
Cefdinir;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Valaciclovir
Cefdinir;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Lisinopril
Cefdinir;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Dexibuprofen
Cefdinir;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Lisdexamfetamine
Cefdinir;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Levodopa
Cefdinir;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Glyburide
Cefdinir;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Fluvastatin
Cefdinir;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Enalapril
Cefdinir;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Dicloxacillin
Cefdinir;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Ramipril
Cefdinir;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Valganciclovir
Cefdinir;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Spirapril
Cefepime;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefepime,Ceftazidime
Cefepime;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefepime,Cefepime
Cefepime;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefepime,Captopril
Cefepime;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefepime,Benzoic acid
Cefepime;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefepime,Azidocillin
Azidocillin;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Enalapril
Azidocillin;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Phenoxymethylpenicillin
Cefdinir;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Cloxacillin
Azidocillin;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Oseltamivir
Benzylpenicillin;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Cloxacillin
Benzylpenicillin;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Cyclacillin
Polymyxin B;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Valganciclovir
Polymyxin B;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cloxacillin
Polymyxin B;Chlorpropamide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Chlorpropamide
Polymyxin B;Cephalexin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cephalexin
Azidocillin;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Trandolapril
Azidocillin;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Temocapril
Perindopril;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Perindopril,Valganciclovir
Perindopril;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Perindopril,Valaciclovir
Perindopril;Ubenimex,{'SLC15A2;SLC15A1'},13.0,0.0,1,Perindopril,Ubenimex
Perindopril;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Perindopril,Trandolapril
Perindopril;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Perindopril,Temocapril
Perindopril;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Perindopril,Taurine
Perindopril;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Perindopril,Spirapril
Benzylpenicillin;Cilazapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Cilazapril
Benzylpenicillin;Cephalexin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Cephalexin
Benzylpenicillin;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Ceftriaxone
Polymyxin B;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Dicloxacillin
Polymyxin B;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Lisdexamfetamine
Polymyxin B;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Levodopa
Polymyxin B;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Glyburide
Polymyxin B;Fosinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Fosinopril
Polymyxin B;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Fluvastatin
Polymyxin B;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Enalapril
Polymyxin B;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Dexibuprofen
Benzylpenicillin;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Ceftazidime
Polymyxin B;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cyclacillin
Polymyxin B;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Trandolapril
Polymyxin B;Ubenimex,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Ubenimex
Polymyxin B;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Valaciclovir
Benzylpenicillin;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Cefdinir
Benzylpenicillin;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Cefixime
Perindopril;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Perindopril,Ramipril
Polymyxin B;Cefaclor,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefaclor
Polymyxin B;Cefuroxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefuroxime
Ampicillin;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Valganciclovir
Ampicillin;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Spirapril
Ampicillin;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Taurine
Ampicillin;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Temocapril
Ampicillin;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Trandolapril
Ampicillin;Ubenimex,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Ubenimex
Ampicillin;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Valaciclovir
Azidocillin;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Benzoic acid
Polymyxin B;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Aminolevulinic acid
Azidocillin;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Fluvastatin
Azidocillin;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Levodopa
Azidocillin;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Lisdexamfetamine
Azidocillin;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Lisinopril
Azidocillin;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Methyldopa
Azidocillin;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Azidocillin,Midodrine
Ampicillin;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Ramipril
Polymyxin B;Amoxicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Amoxicillin
Polymyxin B;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Ceftriaxone
Polymyxin B;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefepime
Polymyxin B;Ceftibuten,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Ceftibuten
Polymyxin B;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Ceftazidime
Polymyxin B;Cefradine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefradine
Polymyxin B;Cefotaxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefotaxime
Polymyxin B;Cefmetazole,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefmetazole
Polymyxin B;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefixime
Polymyxin B;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefdinir
Polymyxin B;Ampicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Ampicillin
Polymyxin B;Cefalotin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cefalotin
Polymyxin B;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Captopril
Polymyxin B;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Benzylpenicillin
Polymyxin B;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Benzoic acid
Polymyxin B;Benazepril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Benazepril
Polymyxin B;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Azidocillin
Cefdinir;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Cyclacillin
Cefdinir;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefdinir,Ceftriaxone
Cefaclor;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Cefdinir
Cefradine;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Methyldopa
Cefradine;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Taurine
Cefradine;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Temocapril
Cefradine;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Trandolapril
Cefradine;Ubenimex,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Ubenimex
Cefradine;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Valganciclovir
Cefradine;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Benzylpenicillin
Cefradine;Benazepril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Benazepril
Cefmetazole;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Ceftriaxone
Cefaclor;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Cefepime
Cefmetazole;Cefuroxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Cefuroxime
Cefmetazole;Cephalexin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Cephalexin
Cefmetazole;Cilazapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Cilazapril
Cefmetazole;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Cloxacillin
Cefmetazole;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Cyclacillin
Cefmetazole;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Dexibuprofen
Cefradine;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Spirapril
Cefaclor;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Aminolevulinic acid
Cefaclor;Amoxicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Amoxicillin
Cefradine;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Ramipril
Cefradine;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Moexipril
Cefradine;Nateglinide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Nateglinide
Cefradine;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Oseltamivir
Cefradine;Oxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Oxacillin
Cefradine;Perindopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Perindopril
Cefradine;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefradine,Phenoxymethylpenicillin
Cefaclor;Cefalotin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Cefalotin
Cefaclor;Ampicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Ampicillin
Cefaclor;Cefaclor,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Cefaclor
Cefaclor;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Captopril
Cefaclor;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Benzylpenicillin
Cefaclor;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Benzoic acid
Cefaclor;Benazepril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Benazepril
Cefaclor;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefaclor,Azidocillin
Cefmetazole;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Dicloxacillin
Cefmetazole;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Enalapril
Cefmetazole;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Fluvastatin
Cefixime;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefixime,Ramipril
Cefmetazole;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Spirapril
Cefmetazole;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Taurine
Cefmetazole;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Ceftazidime
Cefmetazole;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Temocapril
Cefmetazole;Cefmetazole,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Cefmetazole
Cefmetazole;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefmetazole,Cefepime
Cefixime;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cefixime,Spirapril
