,Gene_Symbol,Drugs,Drugs_Action,Phenotype_Safety,Phenotype_Essentiality,Drugs_Group,Gene_Categories,ATC_Code,Gene_Categories,Drugs_Categories,side_effect_name,Meddra_Indication
92,DHFR,Trimetrexate,inhibitor,1.0,1.0,approved|investigational,target,P01AX07,target,"Acids, Acyclic|Acids, Aldehydic|Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Antiparasitic Products, Insecticides and Repellents|Antiprotozoals|Carbohydrates|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Folic Acid Antagonists|Hepatotoxic Agents|Heterocyclic Compounds, Fused-Ring|Hydroxy Acids|Noxae|Pharmaceutical Preparations|Quinazolines|Sugar Acids|Toxic Actions|Uronic Acids",['Hepatotoxicity'],"['Acquired immunodeficiency syndrome', 'Autoimmune disorder', 'Immunodeficiency', 'Pneumocystis jirovecii pneumonia']"
93,DHFR,Proguanil,inhibitor,1.0,1.0,approved,target,P01BB01|P01BB51,target,"Amidines|Anti-Infective Agents|Antimalarials|Antimetabolites|Antiparasitic Agents|Antiparasitic Products, Insecticides and Repellents|Antiprotozoals|Biguanides|Cytochrome P-450 CYP2C19 Substrates|Cytochrome P-450 CYP2C9 Substrates|Cytochrome P-450 CYP2D6 Inhibitors|Cytochrome P-450 CYP2D6 Inhibitors (weak)|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 Enzyme Inhibitors|Cytochrome P-450 Substrates|Folic Acid Antagonists|Guanidines|Noxae|Toxic Actions",,"['Drug interaction', 'Plasmodium falciparum infection', 'Renal failure', 'Renal impairment']"
94,DHFR,Iclaprim,,1.0,1.0,investigational,target,J01EA03,target,Antibacterials for Systemic Use|Antiinfectives for Systemic Use|Enzyme Inhibitors|Folic Acid Antagonists|SULFONAMIDES AND TRIMETHOPRIM|Trimethoprim and Derivatives,,
97,DHFR,Gentamicin,,1.0,1.0,approved|vet_approved,target,S01AA11|S02AA14|D06AX07|S03AA06|J01GB03,target,"Agents that produce neuromuscular block (indirect)|alpha-Galactosidase, antagonists & inhibitors|Aminoglycoside Antibacterials|Anti-Bacterial Agents|Anti-Infective Agents|Antibacterials for Systemic Use|Antibiotics for Topical Use|Antiinfectives for Systemic Use|Carbohydrates|Dermatologicals|Enzyme Inhibitors|Gentamicins|Glycosides|Narrow Therapeutic Index Drugs|Nephrotoxic agents|OAT1/SLC22A6 inhibitors|Ophthalmological and Otological Preparations|Ophthalmologicals|Otologicals|Protein Synthesis Inhibitors|Sensory Organs","['Nephropathy toxic', 'Nephrotoxicity', 'Neurotoxicity']","['Abortion infected', 'Acne pustular', 'Arthropod bite', 'Arthropod sting', 'Bacteraemia', 'Bacterial infection', 'Bacterial sepsis', 'Blepharitis', 'Conjunctivitis', 'Dacryocystitis', 'Dermal cyst', 'Dermatitis contact', 'Ecthyma', 'Eczema', 'Endocarditis', 'Excoriation', 'Eye infection bacterial', 'Folliculitis', 'Furuncle', 'Impetigo', 'Infection', 'Influenza', 'Keratitis', 'Laceration', 'Meibomianitis', 'Meningitis', 'Paronychia', 'Peritonitis', 'Pneumonia klebsiella', 'Pneumonia staphylococcal', 'Pseudofolliculitis barbae', 'Pustular psoriasis', 'Pyoderma gangrenosum', 'Renal failure', 'Renal impairment', 'Respiratory tract infection', 'Seborrhoeic dermatitis', 'Sepsis', 'Sepsis neonatal', 'Skin disorder', 'Skin infection', 'Skin ulcer', 'Soft tissue infection', 'Staphylococcal infection', 'Subcutaneous abscess', 'Superinfection', 'Sycosis barbae', 'Ulcerative keratitis', 'Urinary tract infection', 'Viral infection', 'Wound', 'Wound infection']"
102,TYMS,ANX-510,,1.0,1.0,investigational,target,,target,,,
103,TYMS,Fluorouracil,other/unknown,1.0,1.0,approved,target,L01BC52|L01BC02,target,Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|BCRP/ABCG2 Substrates|Cardiotoxic antineoplastic agents|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 CYP2A6 Substrates|Cytochrome P-450 CYP2C8 Substrates|Cytochrome P-450 CYP2C9 Inhibitors|Cytochrome P-450 CYP2C9 Inhibitors (strength unknown)|Cytochrome P-450 Enzyme Inhibitors|Cytochrome P-450 Substrates|Fluoropyrimidines|Fluorouracil and prodrugs|Immunologic Factors|Immunosuppressive Agents|Misc. Skin and Mucous Membrane Agents|Moderate Risk QTc-Prolonging Agents|Myelosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleoside Metabolic Inhibitor|Pyrimidine Analogues|Pyrimidines|Pyrimidinones|QTc Prolonging Agents|Thyroxine-binding globulin inducers|Toxic Actions,"['Cardiotoxicity', 'Ocular toxicity']","['Actinic keratosis', 'Basal cell carcinoma', ""Bowen's disease"", 'Cervix carcinoma', 'Colon cancer', 'Dihydropyrimidine dehydrogenase deficiency', 'Hyperkeratosis', 'Neoplasm malignant', 'Oesophageal carcinoma', 'Renal cell carcinoma', 'Seborrhoeic keratosis', 'Skin cancer']"
104,TYMS,Capecitabine,inhibitor,1.0,1.0,approved|investigational,target,L01BC06,target,"Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Carbohydrates|Cardiotoxic antineoplastic agents|Cytochrome P-450 CYP2C9 Inhibitors|Cytochrome P-450 CYP2C9 Inhibitors (strong)|Cytochrome P-450 Enzyme Inhibitors|Deoxycytidine|Deoxyribonucleosides|Drugs that are Mainly Renally Excreted|Fluoropyrimidines|Fluorouracil and prodrugs|Glycosides|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleic Acids, Nucleotides, and Nucleosides|Nucleoside Metabolic Inhibitor|Nucleosides|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Pyrimidinones|Ribonucleosides|Toxic Actions","['Gastrointestinal toxicity', 'Hepatotoxicity', 'Neurotoxicity']","['Breast cancer', 'Breast cancer stage IV', 'Cardiotoxicity', 'Colon cancer', 'Colorectal cancer', 'Colorectal cancer metastatic', 'Hyperbilirubinaemia', 'Neoplasm', 'Neoplasm malignant', 'Renal failure', 'Renal impairment']"
105,TYMS,Methotrexate,inhibitor,1.0,1.0,approved,target,L04AX03|L01BA01,target,"Abortifacient Agents|Abortifacient Agents, Nonsteroidal|Agents Causing Muscle Toxicity|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Antirheumatic Agents|BCRP/ABCG2 Substrates|Biological Factors|Cardiotoxic antineoplastic agents|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 Substrates|Dermatologicals|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Folic Acid Analogues|Folic Acid Antagonists|Hepatotoxic Agents|Heterocyclic Compounds, Fused-Ring|Immunologic Factors|Immunosuppressive Agents|Myelosuppressive Agents|Nephrotoxic agents|Noxae|Nucleic Acid Synthesis Inhibitors|OAT1/SLC22A6 inhibitors|OAT3/SLC22A8 Inhibitors|OAT3/SLC22A8 Substrates|OATP1B1/SLCO1B1 Substrates|OATP1B3 substrates|P-glycoprotein substrates|Pigments, Biological|Pteridines|Pterins|Reproductive Control Agents|Toxic Actions","['CNS toxicity', 'Gastrointestinal toxicity', 'Hepatotoxicity', 'Megacolon toxic', 'Neurotoxicity', 'Pulmonary toxicity']","['Acute leukaemia', 'Acute lymphocytic leukaemia', 'Arthritis', 'Benign hydatidiform mole', 'Bladder cancer', 'Breast cancer', 'Bronchial carcinoma', ""Burkitt's lymphoma"", 'Choriocarcinoma', 'Drug interaction', 'Fungal infection', ""Hodgkin's disease"", ""Hodgkin's disease lymphocyte depletion type stage unspecified"", ""Hodgkin's disease lymphocyte predominance type stage unspecified"", 'Juvenile idiopathic arthritis', 'Leukaemia', 'Leukaemic infiltration brain', 'Lung neoplasm malignant', 'Lymphocytic leukaemia', 'Lymphoma', 'Malignant hydatidiform mole', 'Metastasis', 'Metastatic neoplasm', 'Mycosis fungoides', 'Neoplasm', 'Neoplasm malignant', ""Non-Hodgkin's lymphoma"", 'Oesophageal carcinoma', 'Osteosarcoma', 'Osteosarcoma metastatic', 'Psoriasis', 'Psoriatic arthropathy', 'Rheumatoid arthritis', 'Squamous cell carcinoma', 'Testis cancer']"
106,TYMS,Floxuridine,,1.0,1.0,approved,target,L01BC09,target,"Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Carbohydrates|Cytochrome P-450 CYP2C9 Inhibitors|Cytochrome P-450 CYP2C9 Inhibitors (strong)|Cytochrome P-450 Enzyme Inhibitors|Deoxyribonucleosides|Deoxyuridine|Drugs that are Mainly Renally Excreted|Glycosides|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Nucleic Acids, Nucleotides, and Nucleosides|Nucleosides|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Ribonucleosides|Thyroxine-binding globulin inducers|Toxic Actions",['Skin toxicity'],['Adenocarcinoma']
107,TYMS,Thymectacin,,1.0,1.0,investigational,target,,target,"Carbohydrates|Deoxyribonucleosides|Deoxyuridine|Glycosides|Nucleic Acids, Nucleotides, and Nucleosides|Nucleosides|Nucleotides|Pyrimidine Nucleosides|Pyrimidines|Ribonucleosides",,
108,TYMS,Trifluridine,inhibitor,1.0,1.0,approved|investigational,target,L01BC59|S01AD02,target,"Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Antiviral Agents|Carbohydrates|Deoxyribonucleosides|Drugs that are Mainly Renally Excreted|Glycosides|Immunosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleic Acids, Nucleotides, and Nucleosides|Nucleoside Analog Antiviral|Nucleoside Metabolic Inhibitor|Nucleosides|OAT1/SLC22A6 inhibitors|OAT1/SLC22A6 Substrates|OAT3/SLC22A8 Substrates|Ophthalmologicals|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Sensory Organs|Toxic Actions",,"['Herpes simplex', 'Hypersensitivity', 'Keratitis', 'Ocular toxicity']"
109,TYMS,Gemcitabine,inhibitor,1.0,1.0,approved,target,L01BC05,target,"Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Carbohydrates|Deoxyribonucleosides|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Glycosides|Immunologic Factors|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleic Acids, Nucleotides, and Nucleosides|Nucleoside Metabolic Inhibitor|Nucleosides|P-glycoprotein substrates|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Radiation-Sensitizing Agents|Ribonucleosides|Ribonucleotide Reductases, antagonists & inhibitors|Toxic Actions","['Cardiotoxicity', 'Hepatotoxicity', 'Nephropathy toxic', 'Neurotoxicity', 'Oral toxicity', 'Pulmonary toxicity']","['Adenocarcinoma pancreas', 'Alcohol abuse', 'Alcoholism', 'Apoptosis', 'Bladder cancer', 'Breast cancer', 'Breast cancer stage IV', 'Cardiovascular disorder', 'Cervix carcinoma', 'Febrile neutropenia', 'Hepatic failure', ""Hodgkin's disease"", ""Hodgkin's disease lymphocyte depletion type stage unspecified"", ""Hodgkin's disease lymphocyte predominance type stage unspecified"", 'Hypersensitivity', 'Lung neoplasm malignant', 'Lymphoma', 'Mesothelioma', 'Neoplasm', 'Neoplasm malignant', 'Neuropathy peripheral', ""Non-Hodgkin's lymphoma"", 'Non-small cell lung cancer', 'Ovarian cancer', 'Ovarian epithelial cancer', 'Pancreatic carcinoma', 'Pancytopenia', 'Pneumonia', 'Renal failure', 'Renal impairment', 'Thrombocytopenia', 'Transitional cell carcinoma']"
110,TYMS,Pemetrexed,inhibitor,1.0,1.0,approved|investigational,target,L01BA04,target,"Amino Acids|Amino Acids, Acidic|Amino Acids, Dicarboxylic|Amino Acids, Peptides, and Proteins|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 Substrates|Drugs that are Mainly Renally Excreted|Drugs that are Mainly Renally Excreted with Narrow Therapeutic Index|Enzyme Inhibitors|Folic Acid Analogues|Folic Acid Antagonists|Glutamates|Heterocyclic Compounds, Fused-Ring|Immunosuppressive Agents|Myelosuppressive Agents|Nucleic Acid Synthesis Inhibitors|OAT3/SLC22A8 Substrates|Purines|Purinones",,"['Breast cancer', 'Mesothelioma', 'Non-small cell lung cancer', 'Pleural mesothelioma malignant']"
111,TYMS,Pralatrexate,inhibitor,1.0,1.0,approved|investigational,target,L01BA05,target,"Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Biological Factors|Drugs that are Mainly Renally Excreted|Folic Acid Analogues|Folic Acid Antagonists|Heterocyclic Compounds, Fused-Ring|Immunosuppressive Agents|Pigments, Biological|Pteridines|Pterins",,"['Febrile neutropenia', 'Mucosal inflammation', 'Peripheral T-cell lymphoma unspecified', 'Renal failure chronic']"
116,TYMS,OSI-7904L,,1.0,1.0,investigational,target,,target,"Acids, Acyclic|Dicarboxylic Acids|Heterocyclic Compounds, Fused-Ring",,
117,TYMS,Tegafur,inhibitor,1.0,1.0,approved|investigational,target,L01BC03|L01BC53,target,Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 CYP2A6 Substrates|Cytochrome P-450 CYP2C8 Substrates|Cytochrome P-450 CYP2E1 Substrates|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A5 Substrates|Cytochrome P-450 Substrates|Drugs that are Mainly Renally Excreted|Fluoropyrimidines|Fluorouracil and prodrugs|Noxae|Pyrimidine Analogues|Pyrimidines|Pyrimidinones|Thyroxine-binding globulin inducers|Toxic Actions,,
119,TYMS,Tegafur-uracil,antagonist,1.0,1.0,approved|investigational,target,,target,Cytochrome P-450 CYP2A6 Substrates|Cytochrome P-450 Substrates,,
121,TYMS,Raltitrexed,inhibitor,1.0,1.0,approved|investigational,target,L01BA03,target,"Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Enzyme Inhibitors|Folic Acid Analogues|Folic Acid Antagonists|Heterocyclic Compounds, Fused-Ring|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Sulfur Compounds|Thymidylate Synthase, antagonists & inhibitors|Toxic Actions",,"['Breast cancer', 'Cardiotoxicity', 'Colorectal cancer', 'Gastrooesophageal cancer', 'Mesothelioma', 'Neoplasm malignant']"
