genes,H1299_polyA_S2-24h-A,H1299_polyA_S2-24h-B
ACTR6P1,0.0,0.0
TMEM59,7.331,7.024
ANK3,0.099,0.115
AL512353.3,0.032,0.0
A4GNT,0.0,0.0
TMEM144,0.309,0.316
AC106800.3,0.0,0.0
MED4-AS1,0.0,0.0
AC099684.3,0.0,0.0
AC079915.1,0.015,0.0
OR13K1P,0.0,0.0
KIF26B-AS1,0.0,0.0
KRTAP2-4,0.0,0.0
SDC2,0.157,0.132
HAUS2,10.126,10.31
CHAC1,10.118,10.152000000000001
AC009093.10,0.015,0.026000000000000002
RF00019,0.0,0.0
GPR87,0.025,0.106
AC007204.1,0.0,0.0
MS4A14,0.0,0.0
AC123768.5,0.077,0.10099999999999999
AP000354.1,0.0,0.098
NDUFV2,22.916999999999998,24.656
AC020891.1,0.0,0.0
IFNA22P,0.0,0.0
CIB3,0.0,0.0
EVA1C,0.01,0.0
AC080125.1,0.0,0.0
HOXA9,6.329,6.237
AC092045.1,0.762,0.583
TCFL5,8.52,8.189
FTL,312.586,311.249
SMIM27,0.735,0.633
SMG1P1,0.08199999999999999,0.131
AL645929.3,0.2,0.132
STK33,0.258,0.307
RBM15,4.388999999999999,5.17
HERPUD1,5.327999999999999,5.182
KRT34,0.122,0.128
AC112206.4,0.105,0.0
AC073130.3,0.187,0.098
AP001627.1,0.0,0.0
PHB,136.515,129.157
INTS10,10.321,10.131
RPS28,111.564,110.973
TENT4A,6.081,5.938
SPACA4,0.0,0.0
AJ239328.1,0.027000000000000003,0.019
AC064799.1,0.461,0.243
AC022447.4,0.0,0.0
ZNF654,1.6219999999999999,1.985
B4GALNT4,1.291,1.669
RF00019,0.0,0.0
HSP90AA2P,36.169000000000004,35.701
LINC00243,0.02,0.0
SNORD52,7.632000000000001,9.712
KF459542.1,0.462,0.0
KIAA1614-AS1,0.29600000000000004,0.34299999999999997
TOMM20P1,0.0,0.0
SRGAP2D,0.0,0.17600000000000002
RFPL3,0.0,0.0
AC245033.3,0.095,0.0
TMEM225,0.0,0.0
RF00019,0.0,0.0
THAP2,1.464,1.422
MYCBP2-AS1,0.005,0.0
MIR205HG,0.0,0.0
ADAM8,0.233,0.28300000000000003
CR383658.1,0.0,0.061
RPL12P5,0.0,0.0
RNA5SP114,0.0,0.0
BBS9,1.0659999999999998,0.934
AP006294.2,0.0,0.0
MYH1,0.0,0.0
MCRIP2,6.444,6.357
AL133264.2,0.0,0.0
BEX1,28.514,29.24
AC011676.3,0.0,0.0
CEP295,3.5610000000000004,3.589
ZNF598,25.663,25.9
RIT1,4.126,4.156000000000001
AL591222.1,0.0,0.0
KLHL4,0.006999999999999999,0.0
PAX5,0.0,0.0
AL355480.3,0.888,0.0
IFIT1P1,0.059000000000000004,0.217
SUPT20HL1,0.0,0.0
RNU6-2,0.0,0.0
AL390061.1,0.0,0.0
RPL29P7,0.0,0.0
RPL35AP31,0.0,0.0
PSAT1P4,1.4580000000000002,2.559
RPS27AP11,22.305999999999997,16.465
PDGFD,0.98,1.032
RN7SKP49,0.0,0.0
RPL6P7,0.0,0.0
DGCR2,9.841000000000001,9.596
AC007450.4,0.081,0.0
RTL8C,17.066,17.707
PPP4R3B,14.364,14.38
AC007342.4,0.0,0.0
RUVBL1,37.946,37.105
ADORA2A-AS1,0.0,0.0
TMSB10,2078.135,2056.9139999999998
FAM83H,7.399,7.821000000000001
BRAFP1,0.126,0.166
RN7SL554P,0.0,0.0
IFNWP9,0.0,0.0
PCDHGB5,0.315,0.35
MIR5693,0.0,0.615
NKAPL,0.026000000000000002,0.027000000000000003
AC131391.1,0.0,0.0
PEAK3,0.0,0.0
IGF2BP2,27.771,27.229
AC092135.1,0.0,0.022000000000000002
TRIP13,31.941999999999997,30.896
DSN1,22.978,22.709
H2BFM,0.0,0.0
PDE7B,0.006999999999999999,0.008
MYBL1,41.693000000000005,42.0
SDF2L1,38.99,38.096
APOBEC4,0.0,0.0
IFT43,5.377000000000001,5.5489999999999995
AC010531.1,4.754,5.439
BNIP1,5.693,5.849
HLA-F-AS1,0.235,0.209
AP002992.1,0.055,0.0
RNA5SP244,6.087000000000001,7.813
AC005264.1,0.0,0.0
AC084026.1,0.0,0.0
ATP6V0CP4,0.29100000000000004,0.0
KRT8P45,0.618,0.27899999999999997
AC233289.1,0.084,0.0
PWAR1,0.0,0.0
NLGN4Y,0.0,0.0
SDHAF1,22.66,24.628
OR5BK1P,0.0,0.0
AC084824.2,0.0,0.0
ATP5MFP5,0.495,0.174
RPSAP74,0.10800000000000001,0.114
MIR345,0.0,0.0
STK17B,2.369,2.713
AC007485.1,0.0,0.218
CEMIP2,3.2739999999999996,3.133
AL844175.1,0.0,0.0
LINC01351,0.0,0.0
AC016885.3,0.165,0.0
EVI2A,0.031,0.098
MIR3941,0.0,0.0
FSIP2,0.0,0.0
GPCPD1,4.082,4.144
APOC2,0.0,0.017
C1QTNF6,1.33,1.112
AL132642.1,0.0,0.0
AC090498.1,0.568,0.0
SHISAL2B,0.09699999999999999,0.239
AC027451.1,0.0,0.0
FKBP7,0.65,0.408
TOMM22P5,0.19399999999999998,0.102
RNU6-761P,0.0,0.0
AC132217.1,0.228,0.12
RALGAPB,8.481,8.573
RPL7P31,0.0,0.0
AC099811.2,36.321,36.661
AL590640.2,0.0,0.0
PLAT,1.198,1.105
PPIAP72,0.0,0.267
SEC24D,1.3619999999999999,1.61
ANKRD33B,2.885,2.842
RPL21P65,0.091,0.0
SNORD96A,14.562999999999999,13.065
MAPT-AS1,0.0,0.0
RN7SL274P,0.0,0.0
MYO6,7.832999999999999,8.459
AC019193.1,0.0,0.0
HIST1H3J,1.072,0.8690000000000001
CRYAA,0.0,0.0
DDX60L,0.266,0.258
JPT2,30.868000000000002,31.267
AC140125.2,0.0,0.0
RPL23AP68,0.0,0.0
AC093664.1,0.0,0.0
AP005057.1,0.371,0.86
RNA5SP289,0.0,0.0
DKK4,0.0,0.0
AC027808.2,0.0,0.0
ANKRD20A9P,0.0,0.0
UBE2L6,3.389,3.221
AL137058.3,0.0,0.0
AC008739.2,0.0,0.0
SCYL1,21.733,22.26
RF00019,0.0,0.0
DAZAP1,37.318000000000005,37.292
FMR1-IT1,0.0,0.131
PRPS1P2,0.0,0.287
AC004832.2,0.0,0.0
ADAM33,0.0,0.0
AC036214.3,40.876,40.238
ATXN7,1.8459999999999999,1.9369999999999998
SYCE1L,2.7060000000000004,3.012
AC093582.1,0.44299999999999995,0.0
FNDC4,0.5720000000000001,0.41700000000000004
ANTXR1,7.986000000000001,8.202
AC006511.2,0.19399999999999998,0.136
RACGAP1,56.742,56.818000000000005
RPS6KB2-AS1,0.0,0.0
WSCD1,0.917,0.8740000000000001
CCDC32,1.4680000000000002,1.51
AC068790.6,0.165,0.696
MIR4520-2,0.789,0.831
NCBP2L,0.0,0.0
TMEM9,4.7410000000000005,4.752
AC026461.3,0.0,0.10099999999999999
ELOBP4,0.0,0.0
DIP2C,1.3880000000000001,1.4669999999999999
AC244100.4,0.0,0.0
CSAG2,0.511,0.414
LARS2-AS1,0.0,0.0
JAG2,4.294,4.438
AC009806.1,0.0,0.0
FOXR1,0.0,0.0
IFT172,1.903,2.037
JAG1,6.8420000000000005,7.162000000000001
MIR1231,0.23199999999999998,0.244
MAGEA12,48.856,47.617
CYP4F2,0.0,0.0
PRR4,0.7240000000000001,1.062
RNU7-115P,0.0,0.0
Z99129.3,0.285,0.26899999999999996
AC127502.2,0.752,0.935
ALDH8A1,0.03,0.016
ANKRD18DP,2.36,2.2640000000000002
ZNF449,1.535,1.777
PDIA2,0.076,0.04
SRP14-AS1,1.177,1.3559999999999999
AC100830.2,0.17800000000000002,0.0
MED15,7.591,7.54
AC107990.1,0.0,0.0
AL356752.1,0.0,0.0
HMGN5,2.822,2.675
AC093599.1,0.0,0.0
HM13,20.412,19.826
STARD6,0.13699999999999998,0.16899999999999998
AC092723.4,0.0,0.0
LINC02505,0.36700000000000005,0.221
RRS1-AS1,0.13699999999999998,0.20600000000000002
HSPD1P8,0.026000000000000002,0.0
AC003009.1,0.0,0.0
AC024361.2,0.047,0.05
TMEM92-AS1,0.0,0.0
AC006547.2,0.243,0.085
SUMO2P7,0.0,0.0
AC027612.3,0.977,0.986
AL513164.1,0.13699999999999998,0.0
GAS8,8.811,9.039
AC009729.1,0.0,0.0
AC102953.1,0.0,0.0
MIR24-2,0.292,0.615
TRAPPC1,70.666,70.15
HMGA1,614.745,607.586
VNN2,0.016,0.052000000000000005
AC011558.1,0.0,0.0
AC104634.1,0.0,0.0
AC099677.4,0.0,0.0
ETV1,3.319,3.585
CAMKK2,7.461,7.364
NME2,172.78,168.696
SLC9B1,0.07200000000000001,0.106
C5orf52,0.0,0.0
HTR1E,0.0,0.0
AC008743.1,0.0,0.0
LINC02531,0.0,0.0
SH3TC1,0.0,0.0
AC015726.2,0.0,0.0
AL121845.4,0.0,0.0
TFF2,0.0,0.0
PLA2G10,0.0,0.0
CDKN2AIPNLP1,0.847,1.04
SNPH,0.7090000000000001,0.743
PRMT9,1.9080000000000001,1.999
YIPF3,24.659000000000002,23.241999999999997
PIP5K1P1,0.0,0.0
ARSF,0.0,0.0
PIGM,2.488,2.7030000000000003
AP001793.1,0.43700000000000006,0.345
AC015849.1,0.055999999999999994,0.0
FRG1KP,0.0,0.0
AC021739.2,0.0,0.14
AC093809.1,0.0,0.0
RTL1,0.0,0.0
RGL1,0.594,0.5329999999999999
AC084064.1,0.0,0.0
GSTA3,0.0,0.0
RPL7AP49,0.0,0.0
FAM91A1,18.833,19.426
MIR5787,0.0,0.0
MIR1915,0.0,0.0
ICE2P1,0.0,0.0
RPL8,1186.433,1173.437
MIR3646,0.0,0.0
ADAM22,4.237,4.183
CSF2,0.0,0.0
FAM43B,0.0,0.037000000000000005
AC073869.9,0.0,0.0
TPST2P1,0.0,0.0
AL353614.1,0.0,0.0
RF01979,0.685,1.445
PTPN12,24.07,26.17
IRX1,0.0,0.0
WASH7P,1.135,0.93
B4GALNT2,0.0,0.005
IFI35,5.982,4.7989999999999995
OPCML,0.0,0.0
MAP6D1,1.575,1.621
HSD17B2,0.0,0.0
AC040174.1,0.256,0.27
SNHG26,0.925,1.264
AC009554.2,0.0,0.0
ADAMTS9-AS1,0.0,0.0
LINC00896,0.0,0.021
TRGV1,0.0,0.0
LINC01293,0.034,0.0
AC022596.1,0.0,0.0
AC051619.8,0.138,0.0
DNMT3A,4.148,4.499
MIR4504,0.0,0.0
ABAT,0.039,0.023
C3orf62,0.828,0.726
NDUFS5,217.953,214.063
AC116348.4,0.0,0.0
LINC01020,0.0,0.0
APOBEC3B-AS1,0.0,0.0
RNU6-431P,0.39799999999999996,0.419
SLX4IP,3.6919999999999997,3.93
DDX18P3,0.23399999999999999,0.134
FAM171A1,9.16,8.606
AC114956.2,0.07400000000000001,0.0
RPL10P12,0.0,0.141
FAM230D,0.0,0.0
CCNO,6.354,5.27
SARS,78.10300000000001,74.013
RPL35AP19,0.0,0.0
ZBTB7C,0.0,0.0
AC103810.3,5.3260000000000005,4.675
ZFP92,0.0,0.0
AC139491.3,0.0,0.0
RNU6-11P,0.0,0.0
FBXW4,1.415,1.255
LINC01023,2.932,3.1910000000000003
MIR939,23.124000000000002,21.344
HADHAP2,0.914,1.021
AC092687.1,0.0,0.0
TNNC1,0.292,0.384
AC022034.1,0.0,0.0
ELOVL7,1.337,1.599
KRT8,97.728,94.34700000000001
IGF2BP1,31.897,33.181
LINC02533,0.0,0.0
AC019209.2,0.0,0.0
GAPDHP46,0.0,0.0
AC120498.8,0.0,0.0
HEBP1,10.106,10.002
AC093382.1,0.0,0.0
FOXJ1,0.033,0.017
RNF170,1.485,1.564
SPOCD1,0.114,0.152
AL162456.1,0.0,0.0
NNT-AS1,1.101,1.194
AC016683.1,0.0,0.0
MIEN1,12.823,10.860999999999999
SCEL,0.0,0.0
GPR26,0.0,0.0
AC093698.2,0.0,0.0
SETMAR,2.951,3.284
AC090644.1,0.0,0.0
LINC02296,0.0,0.0
SIRPA,1.757,1.78
CFP,0.038,0.04
OR5K1,0.0,0.0
NT5DC3,2.355,1.921
CNTN1,0.654,0.677
AC009269.1,0.0,0.0
AL158834.2,0.038,0.0
FABP12,0.0,0.0
AC073410.2,0.0,0.0
AP002847.1,0.0,0.04
AL162274.3,0.0,0.013999999999999999
AL590762.3,1.3980000000000001,1.192
AC007220.1,0.0,0.0
AC130364.2,0.0,0.0
AC073488.1,0.0,0.0
AL353135.1,0.0,0.17800000000000002
LINC00051,0.0,0.043
ANGPTL1,0.0,0.0
LINC02245,0.0,0.0
WDR38,0.0,0.0
HGH1,16.397000000000002,15.835
MIR363,0.0,0.0
EEF1A1P13,3.865,3.489
ASH1L-AS1,1.463,0.909
AL034550.2,0.0,0.0
AL583808.1,0.0,0.0
AC009518.1,0.0,0.0
LINC01060,0.0,0.0
SCN4B,0.0,0.008
USP3-AS1,0.10099999999999999,0.107
AL591623.1,0.0,0.0
FAAHP1,0.31,0.217
RPN1,82.309,79.385
SHPK,6.808,6.949
LRIT3,0.0,0.023
GCDH,5.782,5.495
MTND1P6,0.0,0.0
AL031663.2,0.0,0.0
AC090424.1,0.0,0.0
PINK1,9.328,8.673
CLPSL2,0.349,0.073
AC106821.2,0.0,0.0
AL391417.1,0.0,0.0
TNN,0.0,0.0
OR51I1,0.0,0.0
RIMKLB,8.481,8.732999999999999
AC087277.2,0.0,0.0
USP30-AS1,0.0,0.0
AL355102.1,0.0,0.0
AL683807.1,0.085,0.0
JAML,0.0,0.0
AC022400.4,0.149,0.157
CYCSP51,0.0,0.0
GSTK1,15.815,15.985
OR14A2,0.0,0.0
TCHP,3.737,3.821
GJC3,0.038,0.04
LINC02550,0.0,0.0
RPL37P10,0.0,0.0
AL049828.1,0.012,0.026000000000000002
AC009034.1,0.0,0.0
FAM168B,49.25899999999999,49.203
BOLL,0.0,0.0
HNRNPA1P16,1.896,1.903
CCDC169,0.263,0.256
DGKZ,5.641,5.81
SLC38A11,0.0,0.0
AC008575.1,16.936,18.084
RNFT2,0.815,1.107
AC018865.3,0.892,1.291
AC073389.1,0.429,0.564
C4orf19,0.153,0.191
RPSAP18,0.14400000000000002,0.10099999999999999
AL161742.1,0.0,0.0
AC008752.2,0.114,0.12
RPL7AP8,0.0,0.0
RANBP6,5.2620000000000005,5.581
AL132640.1,0.275,0.29
AC113410.2,0.0,0.0
AC244197.3,1.01,0.9640000000000001
PLEKHB1,0.285,0.191
TOX,0.021,0.044000000000000004
AL049543.1,0.059000000000000004,0.031
CHID1,9.043,8.527000000000001
AC055717.1,0.0,0.0
DLG2,0.055999999999999994,0.055999999999999994
AL121832.1,0.0,0.0
ELP2,7.7589999999999995,7.494
ACTN2,0.155,0.126
AC027228.2,0.04,0.01
OSMR,5.4639999999999995,5.667000000000001
YEATS2,9.857000000000001,9.767000000000001
LBHD1,10.350999999999999,10.418
AC245187.2,0.0,0.0
AC211476.6,0.061,0.022000000000000002
RF01956,35.375,35.474000000000004
COL1A1,0.017,0.027000000000000003
AL136295.2,0.285,0.18
PWRN1,0.0,0.0
TMEM97P1,0.0,0.0
AC092168.1,0.0,0.0
RNU6-302P,0.39799999999999996,0.8390000000000001
EIF5A,462.879,459.778
PCNX2,0.7,0.695
LINC02646,0.0,0.0
CHRNA9,0.0,0.0
EMX2,0.0,0.0
OLMALINC,1.8659999999999999,1.775
RPL12P23,0.0,0.0
SNORD116-12,0.0,0.0
AL139413.1,0.39299999999999996,0.414
EEF1A1P28,0.03,0.064
AC008581.2,3.1639999999999997,3.265
AL139021.1,0.0,0.0
LINC00293,0.0,0.0
FNDC10,3.13,2.958
INO80D,1.453,1.8980000000000001
PAX8,0.387,0.43799999999999994
AC105760.2,0.6729999999999999,0.307
AL645940.1,0.6459999999999999,0.907
AC013451.1,0.0,0.0
PCNPP1,1.251,1.669
H6PD,2.345,2.484
TRAPPC2B,1.742,1.6880000000000002
AL157392.5,2.2880000000000003,2.3169999999999997
PITPNA,24.494,24.38
MIR571,0.444,0.0
COA6-AS1,1.8530000000000002,0.7020000000000001
AL139260.3,2.5669999999999997,2.655
RN7SL566P,0.43200000000000005,0.606
AC069545.1,0.0,0.0
THAP12P6,0.0,0.0
MIR130A,0.0,0.0
MAN2B1,4.004,4.71
AC091564.2,0.053,0.16899999999999998
SYNM,6.185,5.567
AC098935.1,0.07,0.073
AC132825.5,0.0,0.0
NPM1P52,0.05,0.0
AC007009.1,3.228,3.034
ITGB3BP,4.988,5.162999999999999
SETD1A,11.957,12.423
AC007405.3,1.146,1.253
AL589994.1,0.0,0.0
OR5AW1P,0.0,0.0
RNU6-933P,0.0,0.0
AC067817.2,0.0,0.0
AC024587.2,0.0,0.0
NPIPB6,0.0,0.021
AC084125.1,0.0,0.0
LDHBP1,1.942,1.444
ZNF587,1.699,1.857
CTTNBP2,0.318,0.38
SPSB3,5.294,5.416
HECTD1,13.96,13.423
AC092183.1,0.0,0.0
AC011999.1,0.042,0.0
AC023043.2,0.083,0.087
SETP21,0.048,0.0
AC012308.1,0.0,0.0
CENPVL3,0.066,0.046
ABCE1,22.873,23.271
PPIAP68,0.0,0.08900000000000001
RDH13,1.692,1.6980000000000002
AL161668.1,0.11900000000000001,0.0
VN1R71P,0.0,0.0
NDUFA5P12,0.124,0.0
SEC11B,2.22,1.7990000000000002
GPAA1,21.462,21.01
SAPCD2P4,0.0,0.0
AC016708.1,1.2329999999999999,1.0859999999999999
HSD3BP4,0.0,0.0
MPP6,4.198,4.795
RN7SL316P,0.0,0.0
DERPC,22.988000000000003,22.479
NUTF2P7,0.22699999999999998,0.359
MIRLET7A2,0.5920000000000001,0.623
AC132192.2,1.597,1.4480000000000002
OR2AT4,0.0,0.0
DBIL5P2,0.0,0.027000000000000003
MIR4284,0.526,0.0
RBAK,5.066,5.6160000000000005
RF00019,0.0,0.0
AC118282.2,0.0,0.0
CFC1,0.0,0.0
SYNPR,0.0,0.0
SNORD49B,102.976,105.646
AL049555.1,0.0,0.0
ZNF630,0.7070000000000001,1.068
PRKAR2B,7.188,7.055
AL451085.2,0.8,1.2919999999999998
CRELD2,4.447,4.518
RPS26P13,0.258,0.136
AHCYL2,5.2010000000000005,5.1370000000000005
AC132803.1,0.0,0.091
AL023583.1,0.0,0.0
NTF6G,0.0,0.0
PAQR4,10.982000000000001,9.951
RPL24P4,12.753,15.03
RPL13P4,0.0,0.0
AL590326.1,11.315999999999999,11.624
AP000350.4,140.585,131.127
C8orf44,3.24,3.807
AC092881.1,0.0,0.0
RPA2P2,0.0,0.055999999999999994
POLR2F,10.872,10.873
QPCTL,21.662,20.745
AC005586.2,0.0,0.0
FOXD1,58.193999999999996,55.66
AC097478.4,0.0,0.0
AL390726.4,1.469,1.483
AC013404.1,0.0,0.0
ST5,0.8220000000000001,1.013
MS4A18,0.0,0.0
LINC01623,0.0,0.0
GADD45A,41.193999999999996,46.321999999999996
CIITA,0.004,0.0
PRTG,0.7829999999999999,0.893
RNF122,0.774,0.575
AC004870.2,0.0,0.0
RNA5SP450,0.0,0.44
AGAP3,10.209,9.564
RF00066,0.0,0.7120000000000001
AC074099.1,0.0,0.0
FGF3,0.0,0.0
TRPC4,0.47600000000000003,0.41600000000000004
MIR639,0.652,0.0
AC097173.1,0.0,0.0
AL121839.1,0.0,0.0
CYP2A13,0.0,0.0
LINC00857,4.455,4.01
AC004890.3,0.039,0.0
GARSP1,0.0,0.0
ASXL2,8.095,8.897
ZNF559,1.432,1.5819999999999999
AC004585.1,0.142,0.037000000000000005
AL592435.2,0.0,0.0
ZNF385A,1.675,1.8769999999999998
MIR4720,0.841,1.181
KIR2DL3,0.0,0.0
F3,1.093,1.228
KC877373.1,0.10400000000000001,0.0
PYCR1,45.047,43.632
CIRBP-AS1,1.415,1.67
FAM245A,0.0,0.0
AC110771.1,0.017,0.018000000000000002
PPP1R3G,0.113,0.064
RNU1-42P,0.0,0.0
NANOGP6,0.0,0.0
AC079594.2,5.997999999999999,6.124
AL450346.1,0.0,0.0
LRFN3,6.586,5.893
ROPN1L-AS1,0.0,0.0
AC009716.2,0.0,0.0
YY1P2,0.0,0.0
MRPS36P2,0.0,0.15
RF00019,1.318,0.46299999999999997
RIMBP3,0.013999999999999999,0.006999999999999999
NPM1P14,0.0,0.052000000000000005
AC008813.1,0.048,0.051
AC107982.1,0.0,0.0
SNORD45C,4.045,5.112
AL591034.1,1.5430000000000001,1.25
AC112229.1,0.0,0.0
GAPDHP73,0.085,0.0
AC117489.1,0.0,0.0
PRR14L,2.804,3.1689999999999996
AC013429.2,0.0,0.0
DEPP1,3.147,2.7569999999999997
IRAK4,9.841000000000001,10.284
HCG17,0.281,0.11800000000000001
AC239859.1,0.0,0.0
AC074029.2,0.0,0.0
EEF1E1-BLOC1S5,38.995,39.759
CTDNEP1,56.998000000000005,55.346000000000004
AC010547.5,0.0,0.0
AC092958.4,0.0,0.0
MIR6505,9.902999999999999,7.901
AC108516.1,0.0,0.0
PSMB9,1.9340000000000002,1.976
GGACT,0.319,0.226
RN7SL806P,0.0,0.0
BMPR1AP2,0.21100000000000002,0.044000000000000004
AC112219.1,0.0,0.0
AC046143.2,0.799,1.122
ABCA6,0.0,0.0
AC007785.1,0.0,0.0
GNAS,69.102,69.791
TMCO2,0.0,0.0
SYNPO2,0.009000000000000001,0.006999999999999999
AC007218.1,0.0,0.0
AC004551.1,0.0,0.0
AC113403.1,0.0,0.0
OR2R1P,0.0,0.0
AC006128.1,0.026000000000000002,0.054000000000000006
EPN1,6.42,6.441
MTCO1P11,0.0,0.028999999999999998
C2CD5,15.319,15.244000000000002
MIR941-1,0.0,0.0
MIR3610,1.751,5.225
AL034555.1,0.0,0.0
MANEA,5.681,6.337999999999999
Z95114.4,0.0,0.0
PARP16,2.386,2.271
AC007679.2,0.0,0.0
MIR491,0.0,0.0
RN7SL834P,0.149,0.157
AL353997.3,0.0,0.0
AL137222.1,0.037000000000000005,0.039
GRK4,2.0869999999999997,2.104
PHC2,34.491,34.453
AL512306.2,0.0,0.0
AL731533.1,0.0,0.0
SDSL,4.399,4.611000000000001
AC009102.3,0.0,0.0
AC133435.1,0.07400000000000001,0.156
RNU1-39P,1.291,1.496
KRT18P2,0.068,0.071
AC012354.1,0.0,0.0
CXCL2,34.717,36.867
AC109635.6,0.42100000000000004,0.524
RALGAPA1P1,0.308,0.23
LIG1,6.966,7.247000000000001
AC007541.1,0.725,0.8859999999999999
TSPAN13,1.765,1.8359999999999999
MIR1270,1.0270000000000001,1.081
GNRH2,0.311,0.16399999999999998
RF00422,0.0,0.0
PGM5P4,0.0,0.0
IPMK,4.105,3.94
XIAP-AS1,0.0,0.0
CEP170P1,0.214,0.205
RNU6-90P,0.0,0.0
HEY1,0.9640000000000001,0.904
SEMA3F-AS1,0.0,0.015
AL589642.1,0.0,0.0
DDTL,1.266,1.3330000000000002
AC020908.3,0.0,0.0
AC087623.2,0.42700000000000005,0.409
RERE-AS1,0.121,0.064
LINC01140,0.105,0.06
RF00100,0.087,0.276
AC087821.1,0.0,0.0
GALNT6,3.6830000000000003,4.105
FAM220BP,0.0,0.0
AC231533.2,0.578,0.643
RF00019,0.0,0.0
LYPLA1P3,5.641,5.101
ARHGAP11B,1.6480000000000001,1.501
FAM98A,14.64,15.099
TPGS2,8.092,7.825
AC004817.4,0.0,0.0
MIR7110,1.239,0.7829999999999999
STT3B,35.571,36.988
AL078581.3,0.0,0.0
EEF1A1P7,0.031,0.0
IFITM8P,0.0,0.0
AC011092.1,0.122,0.043
AC098826.2,0.0,0.0
PSENEN,57.958999999999996,57.375
NOP14,73.824,74.786
TTLL2,0.0,0.0
AC093726.2,0.188,0.198
CTHRC1P1,0.0,0.0
SMG1P6,1.099,0.922
MOK,9.427,9.322000000000001
LRRC57,2.064,2.049
YPEL5,10.151,10.152999999999999
AC079610.3,0.0,0.0
GULOP,0.0,0.0
ADM,13.287,13.511
SLC35A2,12.63,12.222999999999999
TREML4,0.0,0.0
AC110285.4,0.0,0.0
LMNTD1,0.0,0.006999999999999999
DGKA,1.291,1.311
SERINC5,1.385,1.247
RF00156,0.0,0.0
AMZ2,16.02,16.035
AL136038.2,0.301,0.634
SNORA24,3.903,3.94
AP2B1,48.773999999999994,48.317
EEF1A1P34,0.0,0.0
RPL37AP1,0.45799999999999996,1.126
AC091874.3,0.0,0.0
AC008738.5,0.0,0.0
TRIM64FP,0.0,0.0
MIR6866,0.9259999999999999,2.927
ANKRD20A8P,0.0,0.0
AC002310.6,0.18600000000000003,0.098
AL160286.2,0.0,0.0
RNU7-123P,0.0,0.0
ARHGEF7-IT1,0.0,0.0
AIG1,2.5780000000000003,2.367
CDC27P1,0.536,0.377
MPI,2.5639999999999996,2.207
AC016542.3,0.0,0.0
RPS3AP5,33.372,34.163000000000004
AC010335.2,0.0,0.0
RPS2P1,0.0,0.055
MIR99AHG,0.0,0.012
EPS15L1,6.749,6.767
RBBP4P2,1.045,1.349
LINC02435,0.0,0.0
SPATA2L,8.823,8.146
MIR5696,0.0,0.528
GCM2,0.0,0.0
AC016304.1,0.0,0.0
ITPK1,10.612,10.509
INTS6L-AS1,0.107,0.113
RMRP,4.77,3.4330000000000003
SMPD4P1,0.0,0.0
GTF2A2,18.326,19.427
FOLR3,0.0,0.0
RPS10P27,0.0,0.0
AC026254.2,0.0,0.099
LIF,6.462000000000001,6.7010000000000005
MADCAM1,0.353,0.389
ITGAM,0.862,0.805
AP003097.2,0.0,0.0
PAK5,0.086,0.109
PRKAR1A,28.070999999999998,28.401999999999997
SLC35E2A,0.695,0.72
MIR661,0.958,0.504
AC099677.3,0.0,0.0
C5orf49,0.0,0.066
HES5,0.0,0.0
RN7SL215P,0.0,0.0
SRRM1,11.312000000000001,12.559000000000001
AC131238.1,0.39,0.13699999999999998
AL109741.1,1.48,1.7819999999999998
GPKOW,23.49,24.17
AP1S3,2.7939999999999996,2.573
AL627309.6,0.0,0.059000000000000004
ANKRD13A,6.91,7.107
OR7E37P,0.0,0.0
FAM8A1,12.668,12.790999999999999
AC073611.1,0.0,0.0
HSPA8P8,3.7960000000000003,3.952
COX6C,37.772,38.986
MTCO2P2,0.0,0.0
AC130289.1,0.0,0.0
AC025430.1,0.0,0.0
AC105180.1,0.0,0.0
DPRX,0.0,0.0
KNOP1P1,0.0,0.0
CLEC2B,0.19399999999999998,0.255
VEZF1,20.885,20.177
PTGS2,0.024,0.0
AL357500.1,0.153,0.322
ERP44,8.623,9.082
AL596202.1,1.0759999999999998,1.3730000000000002
AC104623.2,0.0,0.0
FDPSP2,0.0,0.0
TMA7,50.505,50.235
AL589743.3,0.0,0.0
RF02174,0.163,0.171
AC099782.2,0.0,0.0
PFDN6,26.456999999999997,25.926
AANAT,0.0,0.0
PHKG1,0.046,0.049
NKX1-1,0.0,0.0
WFDC11,0.0,0.0
OR6C70,0.136,0.0
FER1L6-AS2,0.0,0.0
CD48,0.0,0.0
AL389895.1,0.0,0.0
MIEF1,11.593,11.604000000000001
PTX4,0.05,0.053
ARHGEF12,11.845999999999998,12.288
LINC01793,0.0,0.0
TMEM272,0.005,0.0
AL353732.1,0.0,0.0
LINC01666,0.0,0.0
SF3B2,39.435,39.388000000000005
UBE2V1P1,0.192,0.10099999999999999
AC104759.1,0.499,0.287
RNA5SP467,0.361,0.0
AL021392.1,0.0,0.0
EML2,3.062,2.9960000000000004
ABHD15,2.843,3.071
AC007036.2,0.098,0.205
TRIM60P18,0.5660000000000001,0.461
GAREM1,1.038,1.0390000000000001
AL354993.1,0.0,0.0
AC091133.1,2.294,1.068
YWHAZP6,0.17300000000000001,0.182
PAG1,0.526,0.489
AC023162.1,0.0,0.0
AC116021.1,2.023,1.8559999999999999
GTF2H2C,0.604,0.6809999999999999
AC091151.1,0.0,0.0
