genes,Calu3_polyA_series1-S2-4h-A,Calu3_polyA_series1-S2-4h-B,Calu3_polyA_series1-mock-4h-A,Calu3_polyA_series1-mock-4h-B,Calu3_polyA_series2-4h-S2-1,Calu3_polyA_series2-4h-S2-2,Calu3_polyA_series2-4h-mock-1,Calu3_polyA_series2-4h-mock-2
AC114977.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG4,2.229,2.013,1.9880000000000002,1.5219999999999998,1.7830000000000001,1.9569999999999999,1.361,1.59
E2F3P2,0.0,0.054000000000000006,0.157,0.066,0.0,0.039,0.0,0.0
MIR548O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASXL1,11.817,11.613,10.03,10.585,10.019,9.654,4.496,7.997000000000001
AC096775.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6659999999999999,0.0
HMGB1P1,3.306,3.167,4.57,4.585,3.281,3.8819999999999997,2.8160000000000003,3.997
TTC26,2.56,2.852,3.109,2.615,3.005,2.716,2.209,2.568
ATP2C1,60.172,61.575,65.10300000000001,64.906,57.769,57.714,30.502,53.306999999999995
NARF,3.44,3.1060000000000003,3.049,3.2430000000000003,5.223,5.261,10.818,5.465
TSIX,0.0,0.002,0.0,0.003,0.001,0.002,0.0,0.0
AC110058.1,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.11599999999999999
IDH3G,17.427,18.505,19.463,18.799,18.391,21.56,14.831,20.03
AL355499.1,0.0,0.0,0.0,0.040999999999999995,0.023,0.012,0.065,0.0
PSMD4P1,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0
HEXA-AS1,0.102,0.23199999999999998,0.084,0.07,0.136,0.042,0.0,0.09699999999999999
TGFBR3L,0.784,0.818,0.59,0.8690000000000001,0.447,0.37,1.969,0.86
CFD,1.795,1.712,1.7380000000000002,2.309,2.134,3.306,10.747,4.32
AL591135.1,0.541,0.445,0.41600000000000004,0.35,0.19399999999999998,0.332,0.0,0.132
SYS1,8.026,7.999,7.935,7.946000000000001,9.095,9.754,8.83,9.46
AC110048.1,0.042,0.036000000000000004,0.0,0.0,0.024,0.0,0.0,0.0
SNRPBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPS13B,1.351,1.831,1.6119999999999999,1.6540000000000001,0.777,0.8690000000000001,0.196,0.5770000000000001
AC097639.1,0.677,0.8190000000000001,0.65,0.746,1.131,1.0090000000000001,0.789,1.103
AP000223.1,0.6559999999999999,0.556,0.602,0.16899999999999998,0.094,0.0,1.072,0.11699999999999999
TXNP1,0.0,0.418,0.0,0.0,0.281,0.0,1.609,0.0
PGF,0.34600000000000003,0.44,0.52,0.405,0.27899999999999997,0.3,0.10300000000000001,0.27
AP001525.1,0.0,0.657,0.0,0.0,0.0,0.0,0.0,0.0
ELOCP18,0.0,0.0,0.0,0.27899999999999997,0.0,0.0,0.0,0.0
FOXP4,13.067,13.366,11.777999999999999,11.907,5.752999999999999,5.684,1.548,4.886
BARX1-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL7-IT1,0.0,0.027000000000000003,0.0,0.032,0.0,0.0,0.0,0.0
BTF3,185.709,184.558,209.59400000000002,199.52700000000002,274.015,290.48900000000003,413.181,294.28700000000003
AC016526.3,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,0.076,0.0
SNRPCP13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL158207.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPE,1.08,0.7809999999999999,0.8009999999999999,0.9109999999999999,0.98,0.7390000000000001,0.289,1.137
DCAF10,1.047,1.196,0.9440000000000001,1.2819999999999998,0.818,0.7509999999999999,0.9359999999999999,0.731
PIEZO1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.27399999999999997,0.0
AC108206.1,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0
PET100,4.468,4.188,3.802,5.042,6.9079999999999995,7.229,35.428000000000004,8.808
AC244502.1,0.027999999999999997,0.0,0.034,0.0,0.04,0.017,0.0,0.02
AC023818.1,0.11900000000000001,0.067,0.0,0.040999999999999995,0.045,0.024,1.036,0.027999999999999997
SMIM6,4.614,4.787,4.281000000000001,4.421,7.4,7.813,17.145,8.509
RP9P,5.645,6.569,5.188,5.711,5.422999999999999,5.482,7.082000000000001,4.73
PPP5C,17.974,17.714000000000002,19.148,20.521,17.202,15.055,9.937000000000001,16.093
SNORD1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5519999999999998
ANG,1.193,1.716,0.7170000000000001,1.425,3.429,4.833,8.558,4.093999999999999
AC129507.3,0.501,0.594,0.245,0.20600000000000002,0.457,0.12300000000000001,0.327,0.28600000000000003
P2RY1,8.722000000000001,9.173,9.215,9.751,4.721,4.927,3.217,4.391
GASK1B,1.369,1.249,1.234,1.2409999999999999,0.629,0.584,0.303,0.579
CLOCK,2.616,2.9219999999999997,2.714,2.7,1.61,1.391,0.932,1.2830000000000001
LINC02523,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.10099999999999999,0.022000000000000002
PIGUP1,2.1719999999999997,1.534,1.55,1.304,1.033,1.778,1.182,1.5490000000000002
AC078922.1,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0
NHP2,71.735,67.108,79.443,73.257,98.931,101.40700000000001,228.30900000000003,117.79299999999999
AL161725.1,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02664,0.0,0.0,0.0,0.0,0.023,0.025,0.532,0.028999999999999998
ZNF124,1.1740000000000002,1.475,1.3119999999999998,1.354,0.958,0.9940000000000001,0.264,0.895
HOXB-AS3,0.382,0.6679999999999999,0.49700000000000005,0.32,0.586,0.499,1.482,0.8690000000000001
NF2,16.051,15.959000000000001,14.22,14.759,19.416,17.631,10.074,17.326
HEATR1,15.682,15.475999999999999,15.17,16.542,9.821,9.735,4.974,8.448
HOMER2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP005264.1,0.0,0.0,0.0,0.128,0.142,0.077,0.0,0.08900000000000001
SNHG9,1.9909999999999999,2.32,1.42,1.536,1.751,1.527,3.792,2.07
AC005696.3,0.0,0.256,0.369,0.31,0.0,0.185,0.0,0.215
RASSF9,1.21,1.222,0.831,1.023,0.861,1.0170000000000001,0.595,0.591
WRB-SH3BGR,2.385,2.714,2.733,2.963,3.65,3.7680000000000002,3.298,3.7689999999999997
NDUFA5P11,2.1319999999999997,2.71,2.9330000000000003,1.645,3.65,3.272,1.74,3.42
TRMT112P4,0.24100000000000002,0.0,0.0,0.248,0.0,0.0,0.0,0.0
AP000350.5,0.0,0.0,0.365,0.153,0.0,0.275,0.48700000000000004,0.0
LINC02235,0.0,0.0,0.0,0.0,0.078,0.0,0.222,0.049
MIR200CHG,2.089,2.435,2.076,2.15,6.11,6.733,13.645,5.4
PGAM4,0.0,0.0,0.0,0.0,0.205,0.0,0.0,0.256
CNOT6,11.794,12.710999999999999,11.587,11.61,10.370999999999999,10.892999999999999,6.132999999999999,8.724
RN7SKP244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRERF1,0.319,0.331,0.231,0.21899999999999997,0.10099999999999999,0.12300000000000001,0.077,0.042
AC007493.1,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC079305.1,0.366,0.621,0.8959999999999999,0.377,0.418,0.787,0.0,0.784
TMED6,0.198,0.027999999999999997,0.282,0.068,0.0,0.121,0.0,0.094
GOLGA7B,0.45299999999999996,0.622,0.636,0.5489999999999999,0.434,0.368,0.74,0.514
KBTBD2,18.282,19.935,19.386,18.425,19.616,20.119,13.478,17.027
VPS35L,2.0869999999999997,2.173,2.369,2.355,1.5619999999999998,1.456,0.795,1.501
TAF7L,0.0,0.086,0.08199999999999999,0.0,0.0,0.0,0.11,0.0
MOSPD2,5.54,5.774,5.476,5.252999999999999,5.018,5.101,2.577,4.065
HCN3,1.66,1.735,1.4240000000000002,1.619,1.4140000000000001,1.574,0.633,1.521
AC022167.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRAP1,0.0,0.155,0.075,0.0,0.0,0.11199999999999999,0.19899999999999998,0.218
AC034102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP003469.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGFBP2,2.545,2.173,2.593,2.737,2.838,3.1710000000000003,5.791,3.615
TSPAN16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006504.7,0.297,0.21,0.18100000000000002,0.153,0.198,0.33399999999999996,0.0,0.212
AC008403.1,0.6940000000000001,0.745,0.75,0.6970000000000001,0.626,0.406,0.42100000000000004,0.552
LEMD2,22.495,20.95,19.534000000000002,21.248,17.635,17.134,12.367,17.539
TRPC4AP,47.699,47.973,50.49,46.169,46.238,44.398,27.658,46.233999999999995
AL354733.3,0.23399999999999999,0.596,0.0,0.24100000000000002,0.669,1.151,0.0,0.6679999999999999
AC009704.2,0.379,0.321,0.0,0.0,0.10800000000000001,0.0,0.0,0.0
LINC01080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD40LG,0.0,0.0,0.0,0.0,0.0,0.0,0.16399999999999998,0.0
RF00017,0.0,0.0,0.0,0.0,0.34700000000000003,0.0,0.0,0.0
AC079779.1,0.0,0.0,0.0,0.0,0.011000000000000001,0.0,0.0,0.0
OMA1,3.798,4.417,4.104,4.516,4.279,3.931,3.8939999999999997,3.839
CEP170B,24.415,25.795,23.612,25.045,16.854,15.142000000000001,4.595,14.344000000000001
AL109659.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039
CHCHD2P9,0.0,0.0,0.0,0.20600000000000002,0.0,0.24600000000000002,0.0,0.28600000000000003
HES3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP6R2,7.962999999999999,7.966,7.629,7.702000000000001,6.747999999999999,6.2620000000000005,3.795,5.581
RPL36AP33,0.0,0.25,0.0,0.607,0.168,0.0,0.0,0.0
HNRNPCP4,1.93,0.775,2.112,2.299,1.159,2.12,0.995,1.2309999999999999
AL512631.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPIAP28,0.188,0.16,0.0,0.0,0.0,0.11599999999999999,0.0,0.0
AL158066.1,0.305,0.371,0.27,0.264,0.43700000000000006,0.325,0.38,0.266
AL357992.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00336,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0
CLPP,16.699,16.094,15.535,14.784,18.369,17.587,29.644000000000002,21.943
AC092120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008649.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126
AC009120.2,1.719,1.422,1.475,1.1840000000000002,0.846,0.5870000000000001,1.222,0.583
MIR23A,0.626,1.5919999999999999,1.531,0.644,1.072,1.537,0.0,0.893
B4GALNT3,2.7289999999999996,2.8989999999999996,3.012,3.616,2.347,2.214,1.391,2.61
GAPDHP45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASC11,0.098,0.066,0.11900000000000001,0.06,0.055999999999999994,0.084,0.319,0.07
BNC2,0.006,0.01,0.006999999999999999,0.0,0.01,0.006999999999999999,0.078,0.004
SLC35B2,104.542,100.324,100.25399999999999,101.865,114.176,115.05799999999999,88.67299999999999,118.949
AC005021.1,0.0,0.0,0.0,0.53,0.0,0.158,0.0,0.184
AC020611.2,0.0,0.0,0.0,0.0,0.078,0.084,0.0,0.0
BECN1,19.026,18.541,19.417,19.043,19.245,19.171,20.871,17.89
MIRLET7B,0.914,1.5590000000000002,1.347,1.7,2.8280000000000003,1.129,10.177,1.83
SAR1AP1,2.301,1.04,1.3130000000000002,1.578,0.7879999999999999,0.941,1.002,2.0780000000000003
PDCL,5.17,4.16,5.187,5.171,6.497000000000001,6.579,6.165,5.716
BVES-AS1,0.0,0.0,0.047,0.0,0.0,0.024,0.0,0.027000000000000003
AL365356.4,0.149,0.253,0.73,0.767,0.596,0.45799999999999996,1.9480000000000002,0.425
VSIG2,0.063,0.0,0.0,0.065,0.21600000000000003,0.233,3.3,0.135
AC005546.1,0.46799999999999997,0.0,0.0,0.48100000000000004,0.0,0.215,0.0,0.0
PCDHGB7,4.345,4.253,4.707,4.935,2.426,2.349,0.647,2.298
SYT7,1.021,0.937,1.183,1.217,0.381,0.391,0.251,0.318
AC021594.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCAF4,6.475,7.0889999999999995,5.872999999999999,6.057,4.596,4.545,1.821,3.733
AC104118.1,1.611,1.999,1.829,1.421,1.083,0.706,0.0,0.738
AC010620.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC099542.1,0.0,0.061,0.0,0.0,0.0,0.0,0.473,0.0
NDUFA2,28.258000000000003,28.479,33.735,33.504,53.843,56.6,196.782,68.506
AL022332.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMS1P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012213.5,6.5089999999999995,5.934,5.437,5.228,5.716,5.321000000000001,5.65,5.58
MANBA,1.5330000000000001,1.646,1.909,1.7380000000000002,1.197,1.436,0.915,1.035
HOXC13,0.0,0.033,0.0,0.04,0.0,0.024,0.0,0.0
AC113385.3,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
AC084757.2,0.16899999999999998,0.0,0.414,0.174,0.048,0.156,0.0,0.121
CT45A11P,0.0,0.068,0.0,0.0,0.092,0.0,0.526,0.057
SNORD36A,10.017000000000001,15.388,12.252,10.953,18.935,16.526,8.177999999999999,15.177999999999999
SLC11A2,3.009,3.261,3.46,3.839,2.653,2.826,1.442,2.441
AL133325.1,0.0,0.203,0.293,0.49200000000000005,0.0,0.0,0.0,0.0
AL353072.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147
AC005357.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP236383.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSTA3,57.714,59.435,58.037,57.928999999999995,74.351,73.94800000000001,70.071,91.434
RDM1P5,0.39399999999999996,0.446,0.456,0.293,0.33799999999999997,0.38299999999999995,0.5720000000000001,0.289
ETNK1,10.232999999999999,11.302999999999999,9.841000000000001,10.071,8.654,8.919,10.604000000000001,7.87
AL160191.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOL8,6.0360000000000005,6.678999999999999,5.607,5.8260000000000005,4.604,4.527,2.964,4.223
AC026356.1,0.674,1.599,1.153,1.04,1.095,0.868,2.42,1.0090000000000001
TUBB4B,231.732,217.013,232.762,234.07299999999998,229.817,223.53099999999998,170.268,266.596
TUBA8,0.125,0.18100000000000002,0.2,0.155,0.172,0.12300000000000001,0.32799999999999996,0.179
AC092447.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011270.1,0.314,0.797,0.384,0.645,0.805,0.385,2.56,0.7829999999999999
AL354824.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09300000000000001
RBM43,1.653,2.373,2.188,2.081,2.042,2.387,1.651,1.858
INTS9-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0
RN7SL162P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC099509.1,0.561,0.8320000000000001,0.34299999999999997,1.01,1.28,1.5490000000000002,1.831,1.699
THAP12P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR646,0.972,0.0,0.0,1.001,0.555,0.0,0.0,0.0
RPL7,99.67,93.598,101.36399999999999,93.33200000000001,169.752,179.864,237.68099999999998,174.94
RF00611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAF3IP3,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0
AC018630.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC064807.2,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.19399999999999998
SAP130,8.257,8.947000000000001,8.283,8.238,6.155,7.377999999999999,3.891,6.066
ADIG,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0
TMEM126A,20.805,20.984,22.221999999999998,20.634,36.045,33.978,49.184,37.858000000000004
RNU6-987P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM33,4.497,4.684,4.248,4.498,4.337,4.362,3.387,3.5780000000000003
FANK1,0.135,0.16,0.33,0.306,0.2,0.23199999999999998,0.706,0.327
AC114689.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
PRDM10,1.835,1.754,1.5019999999999998,1.5190000000000001,1.401,1.482,0.9009999999999999,1.062
HOXB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDF5OS,0.053,0.0,0.064,0.0,0.03,0.0,0.172,0.0
RNU6-130P,0.0,0.0,0.0,0.0,0.0,0.545,0.0,0.0
RN7SKP74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC122719.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138430.1,0.0,0.006999999999999999,0.0,0.0,0.005,0.01,0.027999999999999997,0.006
RF00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MZT1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263
AMPH,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
SHLD2P1,0.012,0.031,0.03,0.05,0.042,0.06,0.159,0.069
RXRB,20.52,21.601,19.08,21.404,22.647,23.346,13.477,23.743000000000002
RHOA,215.203,207.326,217.331,213.958,246.78900000000002,250.429,233.481,229.32
AC100797.1,2.025,1.4709999999999999,1.7690000000000001,0.595,0.99,1.598,0.0,1.031
THAP11,27.63,27.265,26.706999999999997,26.43,25.142,25.587,34.592,26.7
DBF4P1,0.531,0.32799999999999996,0.532,0.348,0.551,0.534,0.158,0.44799999999999995
CHCHD3P3,2.9989999999999997,4.1160000000000005,3.1439999999999997,4.703,2.9339999999999997,2.279,3.265,2.9530000000000003
EXOSC5,40.76,38.283,42.006,41.393,41.942,43.272,64.584,60.07899999999999
AC007375.2,0.0,0.0,0.0,0.0,0.023,0.0,0.129,0.0
PPIAP84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093864.1,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
BTAF1,10.454,12.314,11.208,10.112,8.49,7.837999999999999,1.929,5.742999999999999
AC005220.1,0.0,0.0,0.126,0.0,0.11800000000000001,0.127,0.0,0.0
ACCSL,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
RP1L1,0.01,0.026000000000000002,0.013000000000000001,0.042,0.023,0.019,0.033,0.006999999999999999
TMA16P1,0.14800000000000002,0.0,0.0,0.0,0.0,0.091,0.0,0.0
RF02156,0.0,0.0,0.32299999999999995,0.816,0.452,0.324,0.0,0.0
ARL8B,28.419,28.537,29.122,27.761,28.041,27.51,25.553,23.861
COX6B1P6,0.0,0.0,0.0,0.0,0.205,0.0,0.0,0.0
RF00554,0.0,0.0,0.0,0.0,0.586,0.0,0.0,0.0
CR392039.4,0.547,0.155,0.223,0.376,0.0,0.0,0.0,0.0
GAB1,1.192,1.263,1.016,1.078,0.851,0.948,0.59,0.644
MTSS1,0.39,0.5710000000000001,0.521,0.402,0.39799999999999996,0.37,0.27,0.413
AC104532.1,11.269,11.798,13.589,13.866,19.155,24.281999999999996,24.186999999999998,27.250999999999998
NEMP2,2.003,1.864,2.073,2.09,2.0780000000000003,1.9,1.0979999999999999,1.758
AC022613.1,0.401,0.708,0.858,0.55,0.763,0.595,1.091,0.429
HOTAIRM1,0.0,0.0,0.075,0.031,0.035,0.038,0.0,0.022000000000000002
SOX9-AS1,0.171,0.16699999999999998,0.193,0.185,0.195,0.152,0.349,0.244
HELZ2,17.083,15.833,16.141,14.460999999999999,6.986000000000001,6.4270000000000005,1.385,7.065
EXTL3,11.679,11.895999999999999,11.975,12.288,8.625,8.192,3.342,8.5
LINC00561,0.0,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,0.0
GIHCG,1.811,1.712,2.045,2.0069999999999997,4.81,4.319,10.01,4.521
AL355076.2,0.0,0.0,0.0,0.084,0.047,0.0,0.267,0.0
LINC02122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEK2,37.344,39.699,36.126,39.208,63.363,64.156,42.423,65.842
U91328.1,0.31,0.39399999999999996,0.48700000000000004,0.501,0.316,0.326,0.289,0.316
SPINK1,19.455,18.949,19.489,19.83,18.115,20.320999999999998,84.09899999999999,21.447
AC098484.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTM-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUS1,6.101,6.12,5.852,5.285,7.1129999999999995,6.722,6.736000000000001,8.09
AC245140.1,0.268,0.0,0.32799999999999996,0.0,0.153,0.0,0.0,0.0
SLC30A2,0.078,0.044000000000000004,0.032,0.0,0.015,0.032,0.0,0.037000000000000005
AC018765.1,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0
AC008750.8,43.603,46.54,50.522,53.318999999999996,59.638999999999996,66.65,100.48700000000001,81.69800000000001
OR2T12,0.0,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
AC092821.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032
AL078605.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF107885.1,0.0,0.0,0.0,0.098,0.0,0.0,0.623,0.0
AL121760.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007163.1,0.0,0.0,0.0,0.0,0.11900000000000001,0.064,0.0,0.0
RNA5SP110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRPK3,1.021,0.972,0.872,1.15,1.182,1.141,1.038,1.12
AC111152.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL846P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL353813.1,0.18100000000000002,0.153,0.0,0.0,0.20600000000000002,0.111,1.18,0.129
CEACAM16,0.0,0.046,0.066,0.0,0.031,0.0,0.0,0.077
RNU6-748P,0.0,0.7240000000000001,0.0,0.0,0.0,0.0,0.0,0.0
TDG,9.263,7.739,7.461,7.394,8.254,8.144,6.232,6.978
UBL3,5.796,6.291,5.814,6.587000000000001,5.473,5.644,3.745,5.159
AP001442.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRTM4,0.0,0.0,0.021,0.017,0.0,0.0,0.607,0.024
AL732414.1,0.479,0.27,0.78,0.657,0.182,0.49,0.0,0.569
SNORD116-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF2,1.327,1.861,1.5390000000000001,1.318,1.2919999999999998,1.5590000000000002,0.8220000000000001,1.011
AC245100.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHISA5,45.646,42.273999999999994,44.861000000000004,45.015,31.974,32.061,27.263,34.992
BPTFP1,2.168,2.126,1.893,2.549,1.943,2.147,0.0,1.413
ATOX1,12.056,12.629000000000001,12.975,12.317,24.343000000000004,23.305,62.784,27.183000000000003
AC026348.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX19,13.47,13.245,13.852,14.274000000000001,10.172,10.457,9.112,10.366
LINC02280,0.096,0.061,0.08800000000000001,0.12300000000000001,0.068,0.037000000000000005,0.313,0.085
EEF1A1P11,0.7240000000000001,0.446,1.046,0.745,0.9009999999999999,0.768,1.074,0.938
SENCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC35G6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02031,0.0,0.0,0.0,0.0,0.0,0.0,1.5130000000000001,0.11
ARL10,1.854,1.801,1.4369999999999998,1.801,1.35,1.334,1.044,1.162
PPIL1,64.832,61.724,66.207,63.4,60.695,60.383,54.099,60.623999999999995
MAPKAPK3,21.456999999999997,21.055,20.689,21.335,17.88,18.000999999999998,9.988,19.403
MRPS36,15.595999999999998,14.958,16.494,15.748,23.822,24.761999999999997,29.484,24.456999999999997
FGF7,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0
BFSP1,0.542,0.46,0.929,0.642,0.495,0.316,0.44299999999999995,0.348
LINC01933,0.0,0.0,0.0,0.0,0.013999999999999999,0.0,0.0,0.0
AC138894.1,4.11,3.872,4.08,4.499,3.845,3.6430000000000002,4.593,3.9730000000000003
FANCI,17.279,17.867,19.838,19.694000000000003,16.529,16.343,9.955,15.342
SETD6P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAG1,48.022,50.346000000000004,44.32899999999999,46.06,50.486999999999995,49.431999999999995,20.651999999999997,44.578
EI24P2,0.595,0.21600000000000003,0.727,0.43700000000000006,0.63,0.10400000000000001,0.0,0.424
SLC13A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC025518.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP001453.5,24.785,21.921999999999997,20.545,24.598000000000003,40.223,38.75,74.342,47.707
GRIK3,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0
MTCYBP32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC096533.1,0.777,0.6579999999999999,0.0,0.266,1.625,0.9540000000000001,0.0,1.1079999999999999
CNNM3,6.459,6.9479999999999995,6.2860000000000005,6.997999999999999,3.6060000000000003,3.822,1.9769999999999999,3.576
EXTL3-AS1,0.23600000000000002,0.145,0.157,0.19899999999999998,0.122,0.026000000000000002,0.21,0.168
AC091980.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF02038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXIN1,11.679,11.163,10.368,9.71,7.682,7.281000000000001,4.039,6.849
LXN,14.034,12.107000000000001,15.937999999999999,12.443,25.848000000000003,28.613000000000003,32.528,26.893
AC016687.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNTLN,1.52,1.4,1.445,1.275,1.023,1.1,1.025,1.107
AC005252.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6740000000000002,0.0
AC068880.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL390726.2,0.9109999999999999,0.452,0.652,0.27399999999999997,0.7340000000000001,0.627,0.0,0.365
AC084759.3,0.07,0.098,0.113,0.11900000000000001,0.172,0.1,0.076,0.11599999999999999
MIR618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGB1P9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELF1,18.488,18.975,17.029,16.874000000000002,17.511,17.426,11.737,14.940999999999999
NUP155,6.9670000000000005,8.003,7.312,7.457000000000001,5.632999999999999,5.263,2.9330000000000003,4.235
AC090061.1,0.096,0.109,0.0,0.033,0.128,0.17800000000000002,0.42,0.183
CHIAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOSL1,121.249,119.63600000000001,100.36399999999999,104.681,60.066,57.522,22.62,55.195
CSMD2,0.0,0.0,0.0,0.0,0.009000000000000001,0.006,0.033,0.006999999999999999
PRKD1,1.4709999999999999,1.454,1.263,1.189,1.179,1.01,1.258,1.124
VSTM2L,0.515,0.35700000000000004,0.45799999999999996,0.602,0.16,0.287,0.306,0.301
LAMTOR5,16.689,16.090999999999998,17.65,16.898,22.846999999999998,24.741999999999997,47.372,26.884
