genes,Calu3_polyA_series1-S2-12h-A,Calu3_polyA_series1-S2-12h-B,Calu3_polyA_series2-12h-S2-1,Calu3_polyA_series2-12h-S2-2,Calu3_polyA_series2-12h-mock-1,Calu3_polyA_series2-12h-mock-2
SNORA71C,1.3319999999999999,5.59,0.55,2.031,1.126,1.855
AC007495.2,0.0,0.0,0.0,0.0,0.0,0.0
AC008608.2,2.146,2.401,7.619,10.25,11.062000000000001,8.96
YY1P1,0.0,0.0,0.0,0.0,0.0,0.0
FGF23,0.0,0.0,0.0,0.0,0.016,0.018000000000000002
RORC,0.0,0.038,0.023,0.042,0.046,0.064
AL513323.1,0.0,0.0,0.0,0.0,0.0,0.078
MRPL21,19.403,18.651,37.469,32.821,31.19,34.219
MIR4517,2.26,3.161,1.8659999999999999,2.8710000000000004,2.865,0.524
PARD6G,0.298,0.47700000000000004,0.24600000000000002,0.325,0.306,0.336
INPP5A,5.013999999999999,4.875,4.475,5.265,4.9030000000000005,4.409
CCND3P1,0.0,0.0,0.0,0.0,0.0,0.0
FYCO1,11.863,12.52,6.215,6.079,5.954,4.945
AC093849.3,0.0,0.0,0.0,0.0,0.0,0.0
SRARP,0.0,0.0,0.0,0.0,0.0,0.0
HMGB1P29,0.0,0.0,0.0,0.0,0.0,0.0
MIR579,1.8219999999999998,0.0,0.0,0.0,0.0,0.0
NOLC1,43.985,47.677,26.273000000000003,25.366,35.23,33.446999999999996
CBX5P1,0.0,0.0,0.0,0.0,0.0,0.0
OR2T32P,0.0,0.0,0.0,0.0,0.0,0.0
AC130462.1,2.927,2.0469999999999997,2.484,2.148,2.542,1.9609999999999999
AC007391.1,0.0,0.0,0.0,0.0,0.0,0.0
MRPL51,58.916000000000004,58.468999999999994,133.297,129.09,121.74600000000001,142.096
CNPY2,18.393,19.148,28.249000000000002,27.947,30.66,33.598
SH3TC2-DT,0.455,0.289,0.359,0.147,0.35,0.326
CCND2,0.025,0.07,0.046,0.032,0.08900000000000001,0.32299999999999995
RNU6-1141P,0.0,0.0,0.0,0.0,0.0,0.0
HHAT,0.349,0.301,0.28800000000000003,0.43700000000000006,0.318,0.623
RNU1-77P,0.0,0.0,0.0,0.0,0.0,0.511
CBL,4.334,4.467,3.24,3.0989999999999998,3.2769999999999997,2.935
NLRX1,2.114,2.065,2.7569999999999997,2.9160000000000004,2.85,2.8339999999999996
AC008115.4,0.0,0.322,0.095,0.11699999999999999,0.0,0.107
OBSCN-AS1,0.147,0.13699999999999998,0.263,0.32299999999999995,0.35200000000000004,0.5
OR2J3,0.047,0.0,0.0,0.0,0.0,0.043
ACTG1P11,0.0,0.0,0.0,0.0,0.0,0.0
OR11I1P,0.0,0.0,0.0,0.0,0.0,0.0
PLPPR5,0.0,0.0,0.0,0.0,0.0,0.036000000000000004
RAD23B,40.176,37.404,32.869,33.551,37.94,39.631
SUB1P3,3.4010000000000002,2.378,1.17,1.44,1.4369999999999998,1.052
TBL1XR1-AS1,0.0,0.0,0.0,0.0,0.0,0.0
RPL10,86.795,82.39,174.44099999999997,174.225,159.391,160.828
ZBTB6,5.662999999999999,4.325,4.694,4.382,2.853,2.425
ATP13A4,2.424,2.25,1.337,1.62,0.6759999999999999,0.705
AC104117.3,0.0,0.0,0.0,0.0,0.0,0.0
MMP24OS,6.468999999999999,7.306,7.985,9.392999999999999,8.772,10.564
DDX19B,4.553999999999999,5.4670000000000005,4.811,4.069,4.446000000000001,3.963
EIF1P2,0.0,0.0,0.0,0.0,0.0,0.0
IGF2BP3,12.655999999999999,11.937000000000001,11.288,10.587,13.347000000000001,12.675
AC095056.1,0.42,0.0,0.0,0.0,0.0,0.0
TRIM13,1.588,1.881,2.445,2.454,1.794,1.5859999999999999
AC103858.2,0.0,0.0,0.0,0.0,0.0,0.0
DEPDC4,0.45799999999999996,0.24,0.473,0.262,0.484,0.425
DUSP3,18.151,17.44,18.38,18.809,17.226,16.146
HCCAT5,0.0,0.0,0.0,0.0,0.0,0.0
PBXIP1,7.093999999999999,7.976,14.565999999999999,15.619000000000002,20.334,25.618000000000002
CIAPIN1,15.939,14.984000000000002,17.889,15.634,17.639,16.675
LINC02175,0.095,0.133,0.039,0.09699999999999999,0.121,0.133
AC090709.1,0.0,0.0,0.0,0.0,0.0,0.0
COX5BP6,0.0,0.0,0.0,0.0,0.715,0.0
TOX3,2.247,2.052,2.679,2.485,2.145,2.349
AL135744.1,0.0,0.0,0.0,0.14400000000000002,0.0,0.0
MRPL46,2.859,3.218,3.4019999999999997,3.1460000000000004,3.995,3.9330000000000003
AL022341.1,1.3769999999999998,1.284,0.758,0.9329999999999999,0.0,0.426
KRT20,0.09699999999999999,0.271,0.0,0.049,0.08199999999999999,0.045
SRSF4,10.523,11.229000000000001,9.437999999999999,10.709000000000001,8.283999999999999,8.174
AC006378.2,0.0,0.0,0.06,0.0,0.03,0.033
RNU6-998P,0.0,0.0,0.0,0.0,0.0,0.0
MIIP,6.709,4.957,11.770999999999999,9.905,9.346,10.556
CCDC39,0.042,0.047,0.042,0.064,0.021,0.14800000000000002
RSC1A1,3.2739999999999996,3.502,1.272,1.3459999999999999,1.465,1.05
SNORD36B,2.4130000000000003,1.6869999999999998,0.996,1.226,0.51,1.679
PCOTH,0.298,0.20800000000000002,0.307,0.076,0.377,0.069
RRP36,40.565,40.091,48.097,44.833999999999996,43.995,44.159
TERF1P1,0.0,0.0,0.0,0.0,0.0,0.0
TRGJP2,0.0,0.0,0.0,0.0,0.0,0.0
MIR4302,0.0,0.0,0.0,0.0,0.0,1.381
AC073614.1,0.0,0.0,0.0,0.0,0.0,0.127
FOXQ1,5.301,6.475,4.598,4.398,5.472,5.416
AC006449.6,1.4,0.87,2.023,1.8969999999999998,1.446,2.417
SRMS,0.0,0.0,0.049,0.12,0.0,0.0
AC104564.5,0.0,0.237,0.07,0.086,0.0,0.0
EIF2S2,84.524,80.598,85.939,88.274,94.12200000000001,90.191
AC115220.1,0.0,0.0,0.0,0.0,0.0,0.0
RPL9P7,0.308,0.0,0.127,0.469,0.13,0.0
CD300LD,0.0,0.0,0.0,0.0,0.0,0.0
VAPB,13.14,13.895,9.401,9.925,10.477,11.425
AC055733.2,0.0,0.0,0.0,0.0,0.0,0.0
HOXA1,0.21100000000000002,0.0,0.174,0.036000000000000004,0.03,0.0
ITPKB,2.208,1.633,1.393,1.444,1.555,1.53
AL359881.1,0.0,0.0,0.0,0.0,0.0,0.0
AL035416.1,0.0,0.0,0.0,0.0,0.0,0.0
AL136962.1,0.0,0.0,0.0,0.0,0.0,0.0
LINC00298,0.0,0.0,0.0,0.0,0.0,0.0
AC015936.2,0.0,0.0,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
AC006483.2,0.0,0.0,0.573,0.35200000000000004,0.439,0.322
AC114737.2,0.516,0.0,0.0,0.0,0.0,0.321
ZNF772,2.841,1.536,2.491,2.3369999999999997,1.652,1.271
AC009166.2,0.0,0.0,0.0,0.0,0.0,0.0
GSTM3P2,0.0,0.0,0.0,0.0,0.0,0.0
LINC01547,0.134,0.094,0.25,0.307,0.284,0.34299999999999997
QDPR,11.417,11.110999999999999,8.236,7.984,11.437999999999999,12.068
CASP5,0.11199999999999999,0.0,0.0,0.0,0.0,0.0
C3,14.985999999999999,14.512,5.417000000000001,8.17,4.321000000000001,3.929
AC139887.4,0.248,0.0,0.10300000000000001,0.126,0.105,0.0
AL049651.2,0.0,0.0,0.0,0.0,0.0,0.0
TEX35,0.067,0.031,0.037000000000000005,0.034,0.038,0.031
KCNMB3,0.726,0.598,0.644,0.5,0.35700000000000004,0.34600000000000003
AP002906.1,0.0,0.0,0.0,0.0,0.0,0.0
C3P1,0.036000000000000004,0.05,0.08900000000000001,0.037000000000000005,0.03,0.033
GOLGA2P4,0.0,0.0,0.0,0.0,0.0,0.0
GLE1,10.884,9.204,9.279,9.517000000000001,9.517999999999999,9.019
CHRM4,0.0,0.0,0.0,0.06,0.0,0.11
C2orf27A,0.905,1.3619999999999999,0.948,1.061,0.823,0.807
FAM72B,0.47100000000000003,0.32899999999999996,0.68,0.748,0.846,0.655
RUBCNL,0.0,0.0,0.0,0.0,0.012,0.013999999999999999
AC013565.1,0.0,0.0,0.0,0.0,0.0,0.0
MYO1F,0.021,0.028999999999999998,0.043,0.053,0.079,0.039
AL121672.1,0.0,0.0,0.0,0.0,0.0,0.0
AC006023.2,0.0,0.0,0.441,1.087,0.0,0.0
AC015522.1,0.0,0.0,0.0,0.0,0.0,0.0
MESTP3,0.184,0.258,0.305,0.0,0.0,0.086
ALG1L12P,0.0,0.0,0.17,0.0,0.0,0.0
AP003486.1,0.402,0.688,0.5720000000000001,0.863,0.359,0.436
SLC47A1P2,0.0,0.0,0.0,0.0,0.0,0.0
AC018362.1,0.079,0.0,0.022000000000000002,0.013000000000000001,0.022000000000000002,0.146
ANO7,0.846,0.745,0.49200000000000005,0.605,0.888,0.8440000000000001
TCERG1,17.15,16.749000000000002,15.104000000000001,14.034,10.912,10.775
MYCL,0.317,0.29600000000000004,0.248,0.305,0.179,0.278
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
MIR6849,3.8810000000000002,0.0,2.6710000000000003,1.315,0.547,0.0
AC006213.7,0.043,0.0,0.0,0.0,0.054000000000000006,0.02
OR56A1,0.0,0.0,0.0,0.0,0.0,0.0
AC026458.2,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA1P2,0.0,0.0,0.0,0.0,0.0,0.086
LINC00638,0.7090000000000001,0.496,0.41,0.396,0.659,0.461
AC068672.3,0.0,0.0,0.0,0.0,0.0,0.0
NECTIN3-AS1,0.0,0.0,0.044000000000000004,0.109,0.091,0.19899999999999998
AC087343.1,0.0,0.0,0.9309999999999999,0.955,0.159,0.349
UGT1A1,7.537999999999999,7.4879999999999995,4.99,5.279,6.77,7.027
PFN1P10,0.0,0.0,0.0,0.0,0.0,0.0
DUS3L,5.289,4.5760000000000005,4.499,5.937,3.565,3.694
ZSCAN29,4.145,3.99,2.678,2.968,2.274,2.123
FGF22,0.0,0.0,0.053,0.033,0.0,0.03
PRRT4,0.0,0.0,0.0,0.0,0.02,0.022000000000000002
AL627309.7,1.886,3.517,1.817,4.792,1.594,0.292
H2AFZP3,17.993,14.195,28.38,30.71,35.088,46.019
MAP3K10,5.263999999999999,4.908,4.769,4.44,4.2010000000000005,4.325
MIR3193,3.2460000000000004,0.0,0.0,0.0,0.0,0.0
LINC00607,0.032,0.0,0.026000000000000002,0.0,0.0,0.07400000000000001
TMPRSS11E,0.168,0.11800000000000001,0.139,0.342,0.391,0.156
AC093895.1,0.0,0.0,0.0,0.0,0.0,0.091
PSAP,215.949,204.447,198.41400000000002,188.245,329.977,353.13199999999995
WDR12,6.987,6.56,5.736000000000001,5.534,7.529,6.665
AL031770.1,0.0,0.0,0.0,0.0,0.0,0.0
NDUFA12,29.476,30.916999999999998,53.526,48.777,61.806999999999995,67.635
SYNE2,10.267000000000001,10.562000000000001,4.22,4.56,4.359,3.802
AC012513.1,0.0,0.319,0.0,0.0,0.0,0.0
AL160408.1,0.0,0.113,0.0,0.0,0.0,0.0
RNU1-67P,1.089,0.0,0.0,0.0,0.0,0.505
CIAO2B,52.385,46.879,67.87,62.65,74.229,74.23899999999999
MYBL2,92.94,95.529,63.091,53.76,62.965,63.708
PTK2,16.488,16.262999999999998,14.284,14.821,12.16,11.465
YWHAEP7,0.06,0.16699999999999998,0.19699999999999998,0.091,0.201,0.221
AC114755.3,0.0,0.0,0.0,0.0,0.0,0.0
IL1RN,14.203,15.185,8.625,9.501,5.931,5.75
AC004253.1,0.366,0.0,0.0,0.0,0.0,0.0
INO80-AS1,0.0,0.0,0.0,0.0,0.0,0.0
CTU2,6.692,7.019,7.303999999999999,6.388,7.218,6.609
LARGE2,10.086,10.54,11.907,11.890999999999998,15.203,12.224
CBLC,23.467,21.983,33.908,31.553,27.968000000000004,29.734
RDH10-AS1,0.188,0.066,0.136,0.024,0.02,0.0
AC022028.2,0.068,0.0,0.113,0.20800000000000002,0.259,0.063
KNOP1P5,0.0,0.18100000000000002,0.107,0.461,0.055,0.0
SAP30L,5.372000000000001,5.4670000000000005,3.7110000000000003,4.256,4.09,4.38
RF00017,0.0,0.0,0.0,0.0,0.0,0.0
AC012070.1,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A24P2,0.0,0.0,0.0,0.0,0.0,0.0
TXNDC2,0.0,0.0,0.0,0.0,0.0,0.0
HOXC-AS2,0.0,0.0,0.0,0.0,0.0,0.0
TMEM271,0.0,0.0,0.0,0.0,0.062,0.034
KDM5C-IT1,0.0,0.0,0.0,0.18,0.0,0.11
AC008554.2,0.0,0.0,0.0,0.0,0.0,0.0
AC020911.1,0.0,0.0,0.0,0.0,0.0,0.0
RPS27P15,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL569P,0.0,0.0,0.0,0.0,0.0,0.28800000000000003
OLFM1,0.175,0.163,0.084,0.311,0.16,0.257
AURKC,0.275,0.385,0.473,0.815,0.6,0.38299999999999995
CORO7,1.411,1.534,0.943,1.13,1.128,1.479
SREK1,9.955,9.282,6.983,7.784,4.955,4.982
SNORD35A,0.0,4.355,5.571000000000001,2.637,3.07,2.89
MED6P1,0.0,0.0,0.10300000000000001,0.0,0.0,0.0
MEMO1,1.847,1.794,2.161,2.2159999999999997,2.3409999999999997,2.841
MIR4659A,0.0,0.0,0.0,0.0,0.0,0.0
TSKS,0.0,0.0,0.0,0.0,0.0,0.0
AC090502.2,0.0,0.0,0.263,0.0,0.0,0.0
LINC00892,0.0,0.0,0.0,0.0,0.0,0.0
AL031008.1,0.0,0.0,0.0,0.0,0.0,0.0
AC023043.1,1.173,2.46,4.115,4.32,4.707,3.128
AC010460.3,0.565,0.474,0.233,0.172,0.14300000000000002,0.0
TSC22D1-AS1,0.10300000000000001,0.0,0.085,0.131,0.087,0.07200000000000001
DYNC1LI2,19.137,18.46,14.252,15.433,18.764,16.445999999999998
AC068134.1,0.0,0.0,0.0,0.0,0.0,0.0
AL359694.1,0.0,0.0,0.0,0.0,0.0,0.0
RPL13P6,0.0,0.0,0.0,0.0,0.0,0.0
AC005954.1,0.265,1.482,0.21899999999999997,0.26899999999999996,0.0,0.24600000000000002
AC007563.3,0.0,0.0,0.0,0.0,0.0,0.0
ASCL1,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM1,11.937000000000001,12.911,10.332,10.703,11.267000000000001,10.185
CUL1P1,0.07400000000000001,0.515,0.152,0.075,0.218,0.171
MGST2,3.715,2.9130000000000003,5.345,6.0920000000000005,6.872999999999999,8.905
AC025031.3,0.0,0.0,0.0,0.0,0.0,0.225
AC073254.1,0.0,0.0,0.02,0.024,0.02,0.022000000000000002
ST13,41.886,40.998000000000005,46.138000000000005,48.591,48.121,46.281000000000006
SMARCE1P4,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA3P4,0.0,0.0,0.0,0.0,0.0,0.10300000000000001
AC092745.3,6.6129999999999995,9.248,22.864,28.141,28.29,28.761999999999997
NELL2,0.0,0.0,0.011000000000000001,0.013999999999999999,0.0,0.013000000000000001
AC013489.3,0.0,0.0,0.14300000000000002,0.0,0.146,0.0
AC073073.1,0.0,0.0,0.159,0.196,0.0,0.179
TFDP2,2.912,2.75,3.6,3.485,4.458,4.721
AL592431.1,0.0,0.0,0.0,0.0,0.0,0.0
BFAR,22.709,23.076999999999998,23.189,22.971999999999998,21.795,20.433
AC006210.2,0.462,0.0,0.191,0.0,0.244,0.268
GSTT2,0.151,0.0,0.623,0.69,0.446,0.07
LINC01909,1.03,0.96,0.7090000000000001,1.047,0.653,0.637
TRABD2A,0.040999999999999995,0.027999999999999997,0.076,0.040999999999999995,0.086,0.132
AC108941.2,0.0,0.0,0.10300000000000001,0.253,0.105,0.174
CIAO2A,27.493000000000002,24.418000000000003,34.051,30.91,48.768,46.475
AC010531.6,0.445,0.0,0.919,0.452,1.129,2.066
THEGL,0.0,0.0,0.040999999999999995,0.0,0.0,0.0
HIST2H2AC,1.3730000000000002,0.0,1.5119999999999998,0.698,1.354,0.85
AC020550.1,0.0,0.0,0.452,0.0,0.0,0.508
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
AL049781.1,0.0,0.0,0.0,0.0,0.0,0.023
CYP21A2,0.184,0.258,0.076,0.0,0.0,0.0
AC096656.1,0.0,0.0,0.0,0.0,0.0,0.243
LIN28AP1,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF19,2.34,3.272,2.0469999999999997,2.555,3.305,3.37
AF129408.1,0.414,0.579,0.0,0.42100000000000004,0.175,0.0
PF4V1,0.24,0.0,0.0,0.122,0.0,0.0
AC020663.1,0.48200000000000004,0.898,1.2590000000000001,1.224,1.018,0.521
QRSL1P2,0.0,0.0,0.0,0.0,0.0,0.0
HIC2,2.068,2.41,1.86,1.839,1.4669999999999999,1.314
USP14,19.743,18.643,14.824000000000002,14.259,17.565,15.939
GUSBP10,0.0,0.0,0.0,0.0,0.0,0.0
AL589986.2,0.0,0.0,0.0,0.0,0.0,0.41700000000000004
HLA-DPA3,0.0,0.0,0.0,0.0,0.0,0.0
F11,0.053,0.0,0.044000000000000004,0.081,0.067,0.098
AC008556.1,0.0,0.122,0.10800000000000001,0.17800000000000002,0.185,0.162
RNU6ATAC16P,0.0,0.0,0.0,0.0,0.0,0.0
LINC01499,0.0,0.0,0.0,0.0,0.0,0.0
GAP43,0.0,0.0,0.0,0.0,0.0,0.0
AATK,0.0,0.039,0.035,0.071,0.036000000000000004,0.052000000000000005
TRIM64C,0.0,0.0,0.0,0.0,0.0,0.0
AC008397.2,0.045,0.042,0.07400000000000001,0.091,0.12,0.152
ACTBP11,0.317,0.0,0.39299999999999996,0.0,0.067,0.07400000000000001
LONP2,7.9079999999999995,7.524,5.115,5.084,6.364,5.715
SLC13A5,0.059000000000000004,0.0,0.262,0.282,0.226,0.377
AC090164.2,0.0,0.0,0.0,0.0,0.0,0.161
BMS1P9,0.0,0.0,0.0,0.0,0.0,0.0
HERC2P2,0.33299999999999996,0.5379999999999999,0.7090000000000001,0.508,0.455,0.47600000000000003
FSD2,0.027000000000000003,0.038,0.0,0.0,0.023,0.025
RHOXF1,0.0,0.0,0.0,0.0,0.0,0.0
AL022334.2,0.0,0.0,0.0,0.187,0.0,0.0
SNORD124,4.292,1.2009999999999998,0.354,2.181,2.176,1.9909999999999999
AC027271.1,0.293,0.0,0.121,0.446,0.247,0.679
AC002996.1,6.4910000000000005,8.281,9.261000000000001,9.662,17.224,14.105
AC106798.1,0.242,0.0,0.4,0.0,0.205,0.562
RPS20P2,0.0,0.0,0.18899999999999997,0.0,0.0,0.213
ZNF136,1.1520000000000001,1.1640000000000001,0.885,0.976,0.5,0.49
AL160274.1,0.0,0.0,0.0,0.0,0.0,0.0
ATF7IP,6.309,6.645,6.672999999999999,7.181,4.53,4.2139999999999995
AL353801.2,0.0,0.0,0.0,0.0,0.0,0.0
NAPSA,0.0,0.27899999999999997,0.165,0.10099999999999999,0.27399999999999997,0.278
AGAP1,5.399,5.832999999999999,4.051,3.556,4.011,3.5789999999999997
TMEM128,9.091000000000001,8.714,8.645,8.823,10.487,9.999
AC122688.3,0.5660000000000001,0.792,0.51,0.47100000000000003,0.174,0.263
DBX2,0.0,0.0,0.0,0.0,0.0,0.0
AC021016.2,0.785,0.975,0.828,0.532,0.368,0.971
AC244258.1,0.11800000000000001,0.083,0.049,0.06,0.025,0.08199999999999999
AC116049.1,0.0,0.649,0.0,0.0,0.0,0.0
PRIM1,11.027000000000001,10.841,9.976,10.004,11.870999999999999,12.123
CCL23,0.0,0.0,0.0,0.0,0.0,0.0
AL158064.1,0.0,0.0,0.006999999999999999,0.0,0.0,0.0
NRROS,0.27699999999999997,0.258,0.27899999999999997,0.375,0.28600000000000003,0.257
SV2C,0.015,0.063,0.037000000000000005,0.023,0.07,0.098
SLC9A6,6.171,5.72,5.599,5.821000000000001,6.761,6.059
LINC00472,3.1260000000000003,3.11,2.397,2.472,2.026,1.723
ZNF849P,0.0,0.0,0.0,0.0,0.0,0.0
TXNL1,8.234,7.891,10.732999999999999,10.344000000000001,10.05,9.825
AL162430.2,0.0,0.0,0.0,0.0,0.0,0.0
RFPL4AL1,0.0,0.275,0.081,0.0,0.0,0.0
AC233290.2,0.0,0.0,0.37799999999999995,0.233,0.0,0.212
RNF126P1,0.0,0.0,0.0,0.0,0.0,0.063
AC023825.2,0.0,0.0,0.21899999999999997,0.0,0.0,0.37
ARL2-SNX15,11.682,9.883,15.043,13.982999999999999,16.4,17.88
DNAJB11,44.037,45.053000000000004,52.348,50.141999999999996,54.812,54.68600000000001
AC132186.1,0.0,0.0,0.0,0.0,0.0,0.0
AP002449.1,0.0,0.0,0.0,0.0,0.0,0.0
AC134508.1,0.0,0.0,0.0,0.0,0.0,0.0
RPL5P23,0.41100000000000003,0.28800000000000003,2.378,2.195,2.086,2.29
RNU6-1283P,0.0,0.0,0.0,0.0,0.0,0.0
EIF4BP9,0.0,0.0,0.049,0.0,0.0,0.0
FDXACB1,0.578,0.527,0.861,0.971,0.86,0.863
SRP68,14.845,15.904000000000002,13.799000000000001,13.672,14.093,13.819
AC113189.3,0.0,0.0,0.0,0.0,0.0,0.0
NYX,0.0,0.0,0.025,0.0,0.0,0.0
WNK4,0.034,0.142,0.084,0.086,0.028999999999999998,0.094
POMZP3,1.151,1.61,1.7630000000000001,1.804,1.338,1.068
ARMCX5-GPRASP2,2.634,2.5789999999999997,2.221,2.928,2.699,2.8360000000000003
CAPN6,0.051,0.0,0.063,0.0,0.085,0.21100000000000002
YBX2P1,0.0,0.0,0.0,0.0,0.0,0.0
MED8,14.197000000000001,13.39,14.993,15.835999999999999,15.875,14.735
LINC02078,0.0,0.0,0.0,0.0,0.0,0.0
RF00019,1.6380000000000001,2.291,2.367,4.578,4.845,3.04
SLC25A14,4.332,2.656,4.1160000000000005,4.523,4.638,4.322
LMBR1,6.4510000000000005,6.085,3.773,3.738,4.6530000000000005,4.1419999999999995
KDM1A,17.428,17.397000000000002,18.482,18.745,19.9,22.429000000000002
ETF1P3,0.154,0.0,0.064,0.0,0.0,0.0
CPVL,16.592,14.745999999999999,13.677,12.918,18.679000000000002,19.269000000000002
SLC17A8,0.0,0.0,0.0,0.0,0.0,0.039
AC020891.3,0.0,0.0,0.0,0.0,0.0,0.0
AC016722.2,0.09699999999999999,0.0,0.0,0.0,0.040999999999999995,0.135
AC074183.2,0.484,0.135,0.08,0.14800000000000002,0.28600000000000003,0.135
CASQ1,0.0,0.0,0.0,0.0,0.0,0.0
AC116312.1,0.0,0.0,0.0,0.289,0.24,0.0
RAB8A,14.918,13.09,11.294,12.713,12.591,12.935
HBZ,0.0,0.0,0.0,0.0,0.0,0.0
B4GALT4-AS1,0.0,0.0,0.0,0.16699999999999998,0.0,0.0
UBE2Q2P9,0.0,0.0,0.0,0.0,0.0,0.0
AC026798.1,0.0,0.0,0.153,0.188,0.157,0.0
GSC,0.0,0.0,0.0,0.14400000000000002,0.0,0.066
AC017104.5,0.5589999999999999,0.391,0.17300000000000001,0.142,0.295,1.037
AC073323.1,0.0,0.0,0.0,0.0,0.0,0.0
HOXB13,0.051,0.21600000000000003,0.255,0.445,0.609,0.478
OSCP1,0.512,0.5820000000000001,0.899,1.432,1.1640000000000001,0.624
SLC7A10,0.0,0.0,0.0,0.0,0.0,0.0
AL450990.1,0.0,0.0,0.0,0.0,0.0,0.0
AMY2A,0.0,0.0,0.0,0.0,0.0,0.022000000000000002
PON2,13.145,13.122,12.540999999999999,11.919,15.151,15.386
AL591643.1,0.0,0.0,0.0,0.0,0.0,0.087
AL391358.1,0.0,0.0,0.0,0.0,0.0,0.0
SYN1,0.0,0.0,0.049,0.024,0.061,0.033
AL645820.1,0.0,0.0,0.0,0.0,0.0,0.0
GEN1,4.24,3.989,2.536,2.707,2.11,1.96
MTIF2,11.06,13.395999999999999,10.814,11.857999999999999,12.275,10.630999999999998
ZC2HC1A,2.286,1.569,2.03,2.0380000000000003,2.752,2.081
FTH1,272.1,265.406,227.793,236.359,226.27900000000002,260.533
SERPINB5,5.678,5.072,10.597999999999999,8.849,11.209000000000001,12.130999999999998
AC008429.3,0.0,0.0,0.0,0.0,0.0,0.0
AC079866.2,0.34700000000000003,0.0,0.28600000000000003,0.0,0.0,0.0
AC024941.1,0.535,0.0,0.0,0.0,0.0,0.0
RN7SL744P,0.0,0.0,0.0,0.0,0.0,0.0
AL157935.1,0.0,0.0,0.0,0.0,0.0,0.0
COX6CP1,0.0,0.0,0.0,0.0,1.053,0.385
NTAN1,7.921,7.197,12.892999999999999,11.613,12.513,10.275
CCDC150,0.6829999999999999,1.058,0.807,0.731,0.6779999999999999,0.7190000000000001
AP000902.1,0.485,0.0,0.0,0.0,0.0,0.0
HNRNPA1P46,0.0,0.0,0.0,0.0,0.081,0.0
GRK6,13.687000000000001,13.984000000000002,16.766,15.138,15.964,15.248
PLXND1,0.66,0.795,3.361,3.1489999999999996,3.1839999999999997,3.411
TSGA10,0.775,0.846,0.71,0.6890000000000001,0.511,0.618
AC020661.1,0.225,0.158,0.047,0.057,0.23800000000000002,0.157
AL109945.1,0.0,0.363,0.107,0.264,0.32899999999999996,0.121
AC011306.1,0.0,0.0,0.0,0.0,0.0,0.0
BANF1P3,5.473,4.784,11.579,10.427999999999999,13.585,11.425
CTCF,9.381,10.106,6.492000000000001,7.604,5.247999999999999,5.115
HIST1H4E,1.921,3.1910000000000003,5.9479999999999995,8.48,0.609,1.114
AC008738.7,0.0,0.0,0.0,0.08900000000000001,0.221,0.081
RING1,39.196,40.08,52.528999999999996,46.586999999999996,41.236000000000004,45.68899999999999
GATAD2A,12.089,12.970999999999998,8.527000000000001,8.543,7.031000000000001,6.755
CCT5P2,0.77,0.461,0.726,0.391,0.65,1.122
AC127024.2,0.2,0.27899999999999997,0.165,0.0,0.0,0.09300000000000001
SLC16A12-AS1,0.0,0.0,0.0,0.0,0.0,0.0
SERP2,0.184,0.514,0.379,0.466,0.31,0.511
UBP1,13.867,14.532,10.717,11.089,10.868,10.32
ARL5AP4,0.0,0.0,0.0,0.177,0.295,0.0
LINC01486,0.0,0.0,0.0,0.0,0.0,0.11599999999999999
LINC01754,0.0,0.0,0.0,0.0,0.201,0.0
MT1M,0.6990000000000001,0.489,1.298,0.5329999999999999,1.181,0.486
ATG7,2.7689999999999997,2.573,2.053,1.808,2.349,2.026
DHRS13,7.8020000000000005,8.121,8.615,6.915,9.008,9.092
ZNF568,0.303,0.45,0.469,0.423,0.392,0.483
AC092656.1,0.0,0.10099999999999999,0.0,0.0,0.031,0.034
RNA5SP267,0.0,0.0,0.0,0.0,0.0,0.657
RNU4-53P,0.0,0.0,0.0,0.0,0.0,0.0
DYNLL1,64.694,61.425,117.094,106.756,130.95600000000002,140.743
MICU1,22.62,19.901,24.685,26.261,30.041999999999998,29.31
HNRNPA1P7,0.0,0.0,0.0,0.188,0.157,0.0
UGT2B26P,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL344P,0.0,0.0,0.0,0.0,0.0,0.0
AC068896.1,1.252,1.35,1.249,1.22,1.367,1.295
SKA2,7.4,7.415,9.736,8.277999999999999,11.69,10.889000000000001
AL049840.2,0.0,0.0,0.0,0.33899999999999997,0.0,0.155
AC018761.2,0.0,0.0,0.249,0.0,0.0,0.0
AC006970.1,10.557,8.345,7.58,7.462999999999999,1.1640000000000001,0.639
RPS27,185.794,185.53,540.624,528.2080000000001,382.005,458.51199999999994
RN7SL37P,0.0,0.0,0.0,0.0,0.24600000000000002,0.0
AC005695.3,0.0,0.0,0.0,0.0,0.0,0.0
AC015813.2,51.506,49.226000000000006,43.681000000000004,40.985,51.445,51.318999999999996
