genes,Calu3_polyA_series1-S2-24h-A,Calu3_polyA_series1-S2-24h-B,Calu3_polyA_series1-mock-24h-A,Calu3_polyA_series1-mock-24h-B
RF02220,0.0,0.0,0.0,0.0
GNAI2P1,0.0,0.0,0.0,0.0
AC114488.1,3.037,3.838,2.105,2.7539999999999996
AC011239.2,0.0,0.0,0.0,0.0
AC127070.4,0.32,0.231,0.156,0.155
AC006600.2,0.0,0.0,0.026000000000000002,0.0
AC122129.1,0.0,0.0,0.0,0.0
AL157392.4,0.0,0.0,0.0,0.0
TTLL11,2.92,3.14,1.6669999999999998,1.3659999999999999
RPL9P29,0.0,0.0,0.0,0.0
USP27X,1.5430000000000001,1.485,2.576,2.362
RPS20P32,0.0,0.0,0.0,0.0
ZC3H13,8.809,8.618,7.355,6.442
SLCO4C1,3.054,4.635,5.747999999999999,5.415
C12orf10,8.885,7.388,9.9,9.96
SATB2,1.781,1.6119999999999999,0.5920000000000001,0.634
KIF13A,2.2969999999999997,2.124,1.858,1.9040000000000001
AC123595.1,0.0,0.31,0.0,0.0
AL356133.1,0.0,0.0,0.17600000000000002,0.0
TREHP1,0.0,0.0,0.0,0.0
AC073333.1,0.0,0.0,0.20199999999999999,0.084
AC245884.9,0.0,0.0,0.0,0.11199999999999999
AL139390.1,0.0,0.0,0.0,0.0
DNAH11,0.18,0.1,0.04,0.057
AL157884.1,0.0,0.0,0.0,0.0
PCLO,1.001,0.9209999999999999,0.7959999999999999,0.6759999999999999
SPAG16,1.2229999999999999,1.138,2.9339999999999997,2.805
SEPT7-AS1,0.166,0.0,0.17800000000000002,0.147
AL034374.1,0.0,0.0,0.239,0.198
MIR6829,0.0,0.0,0.0,0.0
SETD2,13.931,13.974,9.285,9.051
KPNA6,15.827,16.285,16.715,16.176
RN7SL402P,0.0,0.0,0.0,0.0
IL17F,0.0,0.0,0.0,0.0
NKX2-3,0.0,0.0,0.0,0.0
AC105219.4,0.7440000000000001,0.44799999999999995,0.07200000000000001,0.0
AL078645.2,0.0,0.0,0.0,0.0
SLC22A9,0.0,0.0,0.027999999999999997,0.0
AC069547.1,0.0,0.0,0.0,0.0
KRT8P1,0.0,0.134,0.0,0.0
BMS1P2,0.521,0.226,0.213,0.302
RPSAP76,0.0,0.0,0.0,0.064
ITGA4,0.0,0.03,0.08,0.025
CBWD1,1.188,1.235,1.5759999999999998,1.443
BST1,0.27399999999999997,0.5660000000000001,1.063,0.9470000000000001
CBLB,1.3459999999999999,1.274,1.258,1.24
MIR137,0.0,0.0,0.321,0.0
RAB5IF,93.242,83.866,88.148,88.94200000000001
MIR6747,7.357,4.436,6.795,10.076
AC069218.2,0.0,0.0,0.0,0.0
POLR3C,8.42,8.118,5.64,6.119
TDO2,0.085,0.0,0.0,0.0
OLFM4,3.946,4.217,14.856,13.681
FBXO10,0.298,0.255,0.31,0.247
PLUT,0.0,0.0,0.052000000000000005,0.022000000000000002
FCF1P2,0.9620000000000001,1.806,1.797,1.396
MIR1248,7.0489999999999995,6.877999999999999,4.5280000000000005,3.582
SEPT8,8.499,8.911,11.373,11.154000000000002
AL357055.1,0.0,0.0,0.0,0.0
AC134312.5,0.0,0.0,0.0,0.0
AC010883.1,0.564,1.6280000000000001,1.645,1.9080000000000001
BSN,0.152,0.11,0.048,0.05
AC090568.1,0.0,0.0,0.0,0.0
AL627309.5,0.07200000000000001,0.078,0.053,0.061
AC078993.1,0.0,0.0,0.0,0.0
SNORD8,0.0,0.0,0.0,0.0
MIR4667,0.0,1.227,0.992,1.6440000000000001
WIPF2,49.153999999999996,47.81100000000001,54.871,51.143
AP000350.6,0.11900000000000001,0.086,0.139,0.26
PSAT1P1,0.0,0.0,0.0,0.0
AC011604.1,0.0,0.8270000000000001,0.0,0.0
RN7SL535P,0.0,1.095,0.664,0.0
AC110795.1,0.0,0.0,0.0,0.0
FAM160B2,3.65,3.358,4.284,4.268
ATP8A2P2,0.0,0.0,0.0,0.0
GOT2,41.573,43.928999999999995,56.856,58.196999999999996
NAT1,3.915,3.495,2.306,2.2030000000000003
AC106820.6,0.0,0.0,0.0,0.0
SIX2,0.305,0.294,0.03,0.0
MRPS7,23.2,22.596,21.256,21.915
AC009032.1,0.0,0.376,0.608,0.503
RHBDF2,8.62,9.36,4.993,5.539
AP001052.1,0.0,0.0,0.0,0.0
LINC02169,0.0,0.0,0.0,0.0
HSPA8P1,1.8359999999999999,1.061,1.929,1.805
VARS,50.141000000000005,50.728,60.251000000000005,64.64699999999999
RPL7P16,0.0,0.0,0.0,0.0
NMT1,40.273,41.131,34.757,35.1
ASF1A,15.86,14.267999999999999,13.960999999999999,13.054
EIF2B1,11.815999999999999,12.106,15.02,15.615
EXO1,8.461,7.519,8.42,8.681000000000001
CCT5,90.459,95.322,105.402,110.98
SOD1P3,0.0,0.0,0.14400000000000002,0.0
NR1H2,16.009,16.627,15.573,16.366
AC005899.5,0.0,0.0,0.11900000000000001,0.0
MTCO2P21,0.0,0.0,0.0,0.0
CELF2-AS2,0.0,0.0,0.0,0.0
AC211476.4,0.0,0.0,0.187,0.026000000000000002
MIR98,0.0,0.0,0.0,0.0
TMEM101,13.925999999999998,16.101,11.965,13.253
RRAGD,0.221,0.16,0.271,0.193
SALRNA1,0.0,0.0,0.0,0.0
AC117440.1,0.0,0.284,0.115,0.0
AC096667.1,0.0,0.0,0.0,0.016
AC011465.1,0.0,0.0,0.0,0.0
LINC02252,0.0,0.0,0.134,0.0
AC009901.1,0.0,0.0,0.0,0.0
KRTAP3-3,0.0,0.0,0.0,0.0
AC233263.6,0.0,0.0,0.0,0.0
VDAC1P7,0.0,0.0,0.0,0.0
METTL25,1.17,0.622,0.934,0.893
PKN1,21.873,23.146,29.925,33.025
ITM2B,32.548,32.689,36.77,36.701
AL139254.1,0.0,0.0,0.0,0.0
AC005042.1,0.0,0.0,0.16399999999999998,0.271
AC100858.1,0.0,0.0,0.0,0.0
RPL34P19,0.0,0.0,0.0,0.0
SMAD6,3.383,2.859,5.242000000000001,4.908
CNTNAP1,0.285,0.33399999999999996,0.20800000000000002,0.284
ATP6V1E1,26.414,25.363000000000003,26.958000000000002,27.219
NUPR1,0.198,0.171,0.023,0.028999999999999998
AL121899.2,0.0,0.0,0.0,0.0
LINC01653,0.0,0.0,0.0,0.0
SELE,0.098,0.106,0.0,0.0
AC008481.1,0.0,0.0,0.0,0.0
AC073288.1,0.0,0.0,0.0,0.0
XRN1,25.186999999999998,27.95,6.35,5.899
SIRT7,7.206,7.593999999999999,6.085,6.124
AL133500.1,2.904,3.208,4.205,4.489
FRG1,7.742000000000001,7.087999999999999,7.4639999999999995,7.755
NR5A1,0.066,0.0,0.0,0.0
AL133352.1,7.4479999999999995,7.6129999999999995,12.0,11.907
RF00019,2.3369999999999997,0.0,0.0,0.0
FAM230G,0.0,0.0,0.0,0.0
ACIN1,24.679000000000002,24.579,22.497,20.776999999999997
LCK,0.26899999999999996,0.146,0.235,0.179
MIR4644,0.0,0.0,0.0,0.0
ASLP1,0.8809999999999999,0.72,1.113,0.887
UBC,249.704,247.18900000000002,149.958,143.75
TRMT9B,0.031,0.022000000000000002,0.098,0.122
RPL7AP4,0.0,0.0,0.0,0.0
SP140L,23.410999999999998,21.608,7.9910000000000005,7.662000000000001
GEMIN7,16.169,13.495,11.847999999999999,12.394
AC009506.1,1.051,0.976,1.403,1.162
MIR3682,2.6710000000000003,5.7860000000000005,3.898,2.583
ZNF155,2.359,2.696,2.022,1.96
AC132008.1,0.0,0.0,0.0,0.19
RPSAP39,0.0,0.0,0.0,0.0
LINC01900,0.0,0.0,0.0,0.0
VCPIP1,3.696,4.573,2.782,2.741
SUCLA2,3.016,4.047,5.888999999999999,5.2620000000000005
AP5B1,12.126,11.888,7.88,8.344
MIR125A,0.0,0.0,0.0,0.631
HNRNPA1P33,0.4,0.289,0.233,0.58
REC8,2.51,2.403,1.09,1.002
RN7SKP5,0.0,0.0,0.0,0.0
TMEM63A,17.614,17.642,22.314,21.398000000000003
AC069277.1,0.0,0.0,0.0,0.0
ZNF688,2.7460000000000004,2.358,2.708,2.997
SPON1-AS1,0.0,0.0,0.0,0.0
RPL21P11,0.0,0.0,0.0,0.11199999999999999
ZNF559-ZNF177,0.368,0.436,0.434,0.381
AC138305.1,0.0,0.0,0.081,0.0
AC020718.1,0.0,0.0,0.0,0.0
ERG,0.0,0.0,0.0,0.0
SBK2,0.0,0.0,0.0,0.0
TCIRG1,9.334,9.314,9.249,8.915
AC127526.2,0.0,0.0,0.048,0.0
SNORA36A,0.0,0.405,0.16399999999999998,0.0
MIR4680,0.0,1.227,5.457000000000001,4.521
AL136442.1,0.0,0.0,0.0,0.0
AC025445.1,0.0,0.0,0.0,0.0
AL390838.1,0.0,0.0,0.0,0.0
FAAH2,3.112,3.6910000000000003,3.535,3.4930000000000003
VKORC1,7.684,8.286,17.102,18.090999999999998
CSRNP1,43.208,36.266999999999996,6.325,4.971
AL136531.2,2.665,2.8480000000000003,4.223,3.156
CCDC78,0.21600000000000003,0.273,0.316,0.47100000000000003
SLC12A9-AS1,0.0,0.439,0.532,0.294
CCDC6,41.532,36.55,32.474000000000004,31.006
AC116096.1,0.0,0.07,0.0,0.023
HBS1L,4.71,4.365,4.95,5.176
MRGPRF,0.0,0.0,0.0,0.04
ANP32BP1,0.6920000000000001,1.624,1.111,1.338
EXOC4,4.408,5.356,8.852,8.411
AC093330.1,0.0,0.065,0.079,0.131
PRPF19P1,0.0,0.0,0.0,0.0
TIMM29,10.433,7.9879999999999995,6.75,7.324
PLA2G4F,0.037000000000000005,0.027000000000000003,0.075,0.044000000000000004
AL606491.1,0.0,0.0,0.0,0.055999999999999994
RND1,5.57,4.925,0.39799999999999996,0.632
ITIH6,0.0,0.059000000000000004,0.0,0.01
RPS27AP15,0.0,0.0,0.0,0.0
DCAF7,12.632,14.225,18.592,18.895
C20orf141,0.298,0.215,0.0,0.0
AC040926.1,0.0,0.0,0.0,0.0
MYH3,0.26899999999999996,0.19399999999999998,0.157,0.13
PIN1,6.922999999999999,6.593999999999999,9.613999999999999,10.209
R3HDM2P2,0.0,0.0,0.0,0.0
UBE2R2,18.192999999999998,16.539,20.125,21.131999999999998
RF00019,0.0,0.0,0.0,0.0
AC092807.2,0.9229999999999999,0.0,0.0,0.446
MYO18B,0.0,0.033,0.0,0.0
C1QL4,0.0,0.078,0.505,0.39299999999999996
GCSAM,0.0,0.0,0.0,0.0
AL445490.1,0.0,0.0,0.0,0.0
PCAT6,0.504,0.364,0.589,0.488
AP000867.4,0.0,0.0,0.0,0.0
ARHGDIA,83.351,87.745,85.727,88.242
CYP4F26P,4.539,2.137,3.6860000000000004,4.056
KRT39,0.11599999999999999,0.0,0.0,0.0
POU4F2,0.0,0.0,0.0,0.0
UQCRHP4,0.0,0.0,0.0,0.0
RPL21P133,0.0,0.0,0.0,0.0
CLDN9,1.4169999999999998,0.9209999999999999,2.151,1.5759999999999998
AL592211.1,0.0,0.0,0.0,0.218
PHBP19,0.298,0.0,0.34700000000000003,0.07200000000000001
RBM27,13.064,13.287,9.836,10.074
RPL35P1,0.0,0.0,0.0,0.293
MIR18B,0.0,0.0,0.0,0.0
AC016866.1,0.0,0.0,0.099,0.0
DIO3OS,1.2009999999999998,0.983,0.929,0.731
RNU5E-3P,0.0,0.0,0.0,0.0
BRIX1,18.045,18.333,13.838,14.972000000000001
SLC22A18,2.575,3.17,6.282,5.97
ATP7B,0.6729999999999999,0.737,1.368,1.178
ZEB2P1,0.0,0.0,0.0,0.0
AL136301.1,0.0,0.0,0.0,0.0
AC090527.3,0.409,0.0,0.478,0.495
LINC01109,0.0,0.0,0.011000000000000001,0.0
FGD4,3.0610000000000004,3.11,4.053999999999999,3.7769999999999997
AL049775.3,0.0,0.0,0.0,0.0
HTN1,0.0,0.0,0.0,0.0
FZD1,1.063,0.768,1.429,1.137
RPL36AP6,0.0,0.0,0.0,0.0
Z97056.2,0.0,0.0,0.0,0.0
AC087477.2,0.285,0.177,0.607,0.631
OSGIN1,2.379,2.8,1.3119999999999998,1.3940000000000001
RABGAP1L-IT1,0.609,0.22,0.08900000000000001,0.147
ERVK3-1,11.592,12.488,7.7410000000000005,7.501
AL023803.1,2.4,0.0,0.7,0.58
AC116565.1,0.0,0.0,0.0,0.0
Z83846.1,0.0,0.0,0.0,0.0
AC024592.2,0.0,0.0,0.0,0.0
AC023794.2,0.0,0.0,0.0,0.0
FAM131B,0.209,0.126,0.45799999999999996,0.456
AC061975.3,0.0,0.0,0.0,0.0
HSPE1P10,0.0,0.0,0.11699999999999999,0.0
GALNT18,2.661,2.189,2.51,2.813
FAM228A,0.0,0.0,0.0,0.0
AC005920.3,0.0,0.0,0.0,0.0
AF196972.1,0.0,0.0,0.201,0.415
AC010319.1,0.0,0.129,0.0,0.086
FAM20C,0.08900000000000001,0.096,0.091,0.129
AC114490.2,4.9719999999999995,5.289,5.902,5.946000000000001
MIR4779,0.0,0.0,0.0,0.0
SCFD1,7.41,9.049,9.347000000000001,8.982000000000001
BX324167.1,0.0,0.0,0.0,0.11
ACSL1,4.178,4.641,5.178999999999999,5.067
UPP2,0.0,0.0,0.0,0.055
LAMTOR4,4.056,4.352,8.05,8.238
LAMB4,0.0,0.0,0.0,0.008
GCN1,31.38,35.239000000000004,33.98,34.184
EXOSC6,8.257,6.9670000000000005,5.986000000000001,6.809
PCDHA5,0.242,0.255,0.231,0.237
AC020658.7,0.0,0.066,0.0,0.0
AC024243.1,0.0,0.0,0.0,0.07
LDHBP3,0.0,0.0,0.0,0.0
RNU6-1022P,0.0,0.0,0.0,0.0
AC010894.1,0.0,0.449,0.0,0.15
AC008687.1,0.0,0.0,0.0,0.0
ACAD9,21.779,24.750999999999998,30.401999999999997,29.989
TMOD4,0.183,0.132,0.249,0.07400000000000001
CD37,0.0,0.0,0.0,0.0
MIR4657,29.635,27.513,29.651,27.636
SPDYE2,0.0,0.0,0.0,0.0
AC103808.2,0.0,0.0,0.0,0.0
KRBA2,0.364,0.153,0.469,0.235
EMSY,3.5610000000000004,3.988,3.429,3.283
AC108718.1,0.0,0.292,0.23600000000000002,0.0
LINC01551,0.044000000000000004,0.063,0.0,0.0
LINC00917,0.071,0.051,0.0,0.0
AL117328.2,0.0,0.0,0.034,0.0
RNU4ATAC,1.767,0.0,0.516,0.0
TMEM206,5.852,6.672000000000001,4.269,4.431
AC009804.2,0.0,0.0,0.0,0.0
AC004543.1,0.0,0.0,0.0,0.0
RNU6-558P,0.0,0.0,0.0,0.0
KLK10,5.14,4.309,4.034,3.1710000000000003
TRMT2A,9.647,10.408,11.054,10.193999999999999
AL359313.1,0.0,0.0,0.0,0.0
APOF,0.0,0.0,0.0,0.0
RNF169,6.695,7.149,6.254,6.074
AC090204.1,0.0,0.0,0.086,0.0
SEPT2,51.0,51.782,86.708,85.88799999999999
IGLCOR22-1,0.0,0.0,0.0,0.0
CAPNS1,52.707,50.638000000000005,79.6,82.824
AC090826.1,0.0,0.0,0.0,0.0
PODN,0.0,0.0,0.013000000000000001,0.0
AC023347.2,0.0,0.0,0.0,0.0
AC087664.1,0.0,0.0,0.0,0.0
AC092666.2,0.0,0.659,0.0,0.0
AGBL5-AS1,0.0,0.0,0.0,0.0
MIR3149,0.0,0.0,0.0,0.0
RSPO1,0.0,0.0,0.0,0.0
TOX4P1,0.121,0.435,0.49200000000000005,0.379
PDZRN3-AS1,0.0,0.0,0.0,0.0
CARHSP1,7.443,7.524,18.116,15.972000000000001
RNU6-1158P,0.0,0.0,0.0,0.0
STRN,3.69,4.3469999999999995,4.513,4.466
AL160279.1,0.0,0.0,0.091,0.0
AC138649.5,0.0,0.0,0.0,0.0
AL592466.1,0.0,0.0,0.0,0.0
KCNIP2,0.264,0.28600000000000003,0.46299999999999997,0.415
AZI2,10.302999999999999,8.964,6.212000000000001,6.202000000000001
ITGA2B,0.0,0.0,0.047,0.068
AL355075.4,6.858,9.269,1.4369999999999998,8.801
MAN2B2,3.102,3.7689999999999997,5.527,5.249
GJD3,0.0,0.366,0.0,0.0
SCLT1,2.898,3.572,2.924,3.135
RPS18,301.575,315.032,394.019,408.582
LINC02153,0.0,0.0,0.0,0.0
AC100871.1,0.0,0.0,0.045,0.0
ALKAL2,0.0,0.0,0.066,0.0
COX14,10.525,8.435,14.277000000000001,12.304
ZSCAN5DP,0.0,0.0,0.0,0.0
TOMM20L,0.0,0.0,0.10800000000000001,0.08900000000000001
EFCAB12,0.086,0.021,0.034,0.027999999999999997
AL358176.2,0.0,0.0,0.0,0.0
LINC01554,0.218,0.079,0.0,0.0
SLC25A15P4,0.0,0.0,0.0,0.0
SNTB1,4.194,4.4830000000000005,5.041,5.3020000000000005
AL160291.1,0.0,0.0,0.0,0.0
CNN2P9,0.247,0.0,0.07200000000000001,0.179
AC244157.2,0.0,0.0,0.0,0.0
AC025188.1,0.0,0.0,0.0,0.0
AC068254.1,0.0,0.0,0.0,0.0
AKAP8P1,0.0,0.12,0.0,0.0
RPS7,37.53,39.577,46.623999999999995,49.119
CMAS,16.709,16.416,21.495,21.793000000000003
AC087163.3,0.9620000000000001,0.6940000000000001,1.0759999999999998,0.8909999999999999
ZNF480,1.065,1.238,1.46,1.506
AC006116.2,0.0,0.0,0.0,0.0
AC002511.3,0.0,0.0,0.0,0.0
EML2-AS1,1.272,0.9179999999999999,0.106,0.132
PLCB3,14.103,14.753,17.636,17.333
ZNF627,9.95,8.843,3.5389999999999997,2.989
C10orf142,0.0,0.0,0.0,0.0
AL359397.2,0.503,0.727,0.5870000000000001,0.365
LINC01854,0.0,0.0,0.0,0.0
RF00264,0.0,0.0,0.0,0.0
SEPT6,3.1260000000000003,3.2689999999999997,2.674,2.154
HIST1H4A,0.0,0.519,0.21,0.348
ZNF471,0.0,0.0,0.0,0.0
EIF3FP3,6.818,10.593,11.456,12.288
CD24P4,16.621,16.002,27.485,26.79
AL031587.4,0.0,0.0,0.0,0.0
AC023905.1,0.0,0.0,0.0,0.0
RPS3AP6,5.362,7.744,11.696,10.372
OMP,0.0,0.32899999999999996,0.133,0.0
ATP5MGP4,0.0,0.0,0.213,0.177
TMEM39A,8.834,9.389,7.678999999999999,8.302999999999999
SNORD59A,2.992,6.481,6.111000000000001,1.4469999999999998
AC093817.1,0.0,0.0,0.0,0.0
BMP10,0.0,0.0,0.0,0.0
ADGRF5P2,0.0,0.0,0.0,0.0
AL645941.1,1.992,2.157,0.387,0.562
ITGA7,0.387,0.22899999999999998,0.627,0.46
LINC02105,0.0,0.0,0.052000000000000005,0.0
JRK,5.755,6.19,7.417000000000001,7.314
CXCR2P1,0.0,0.065,0.0,0.0
IPPKP1,0.0,0.0,0.0,0.0
METTL5,15.037,15.099,17.735,17.685
LINC02202,0.0,0.0,0.0,0.0
AL078624.1,0.0,0.29600000000000004,0.0,0.0
TBX10,0.0,0.0,0.0,0.0
SLC20A2,20.188,19.547,17.664,18.595
AP003352.1,0.113,0.0,0.033,0.027000000000000003
AC138207.4,0.0,0.098,0.079,0.425
HMGN2P36,0.0,0.0,0.0,0.0
AC092384.2,0.0,0.0,0.0,0.0
FAM133DP,0.0,1.641,0.474,1.178
MIR548C,0.0,0.0,0.0,0.0
AL512378.1,0.0,0.0,0.0,0.0
LINC01776,0.0,0.0,0.0,0.0
RNU6-611P,0.0,0.0,0.0,2.086
ARRDC1,10.479000000000001,11.286,11.334000000000001,11.093
CYP3A51P,0.0,0.0,0.0,0.106
AC055731.1,0.0,0.0,0.0,0.0
AC087241.4,0.0,0.0,0.0,0.113
SNORD116-26,0.0,0.0,0.0,0.0
AC007998.5,0.0,0.0,0.0,0.0
KLK6,24.186,25.254,49.408,46.205
AC090503.2,0.0,0.0,0.0,0.0
AL031595.2,0.0,0.0,0.0,0.0
MIR5689HG,0.0,0.0,0.228,0.126
TULP3,7.693,7.696000000000001,8.517000000000001,8.507
RO60,6.952000000000001,6.622000000000001,5.985,6.24
AL445259.1,0.0,0.0,0.0,0.0
RNU1-56P,0.0,0.0,0.0,0.0
AC015819.2,0.0,0.0,0.0,0.0
GPATCH4,17.548,18.075,12.47,12.373
FRMD1,0.0,0.018000000000000002,0.0,0.0
LIMS3,0.0,0.0,0.0,0.0
MTCO1P40,0.718,0.259,0.314,0.521
CR383656.11,0.0,0.0,0.0,0.0
TNPO3,16.843,18.33,22.993000000000002,22.576999999999998
AC108729.2,0.0,0.193,0.0,0.0
NAT8,0.237,0.855,0.0,0.0
NXF5,0.0,0.0,0.0,0.0
MIR606,0.0,0.0,0.0,0.0
RN7SKP25,0.0,0.0,0.0,0.0
AP003062.3,0.0,0.0,0.03,0.025
IL19,0.0,0.0,0.0,0.0
AL133371.2,0.0,0.0,0.0,0.0
RNA5SP237,0.0,0.0,0.0,0.0
AL024498.2,0.777,0.9690000000000001,1.298,1.599
FOXS1,0.0,0.0,0.0,0.040999999999999995
CRTC3-AS1,0.23399999999999999,0.0,0.13699999999999998,0.057
AC022211.1,1.252,1.808,2.283,0.9840000000000001
ATP6V0A1,6.575,5.812,8.676,8.572000000000001
HNRNPDLP3,0.0,0.0,0.0,0.0
PKP2,14.145,14.102,15.424000000000001,15.02
AL627309.3,0.085,0.0,0.05,0.021
AC137590.1,0.0,0.0,0.0,0.11
XIAPP2,0.0,0.087,0.0,0.0
COL11A1,0.0,0.0,0.0,0.0
GHET1,0.589,0.935,0.515,0.484
AC008677.2,0.733,0.0,0.0,0.0
AL391863.1,0.0,0.0,0.0,0.053
PCNX1,5.155,5.341,4.8180000000000005,4.586
CPA4,0.0,0.040999999999999995,0.0,0.0
AC010422.7,0.198,0.0,0.40399999999999997,0.0
RPL31P59,0.0,0.0,0.0,0.0
TMEM229B,1.2670000000000001,1.3969999999999998,0.16399999999999998,0.094
AC099329.1,7.361000000000001,7.876,11.544,12.55
RCN2,9.314,9.066,15.449000000000002,15.205
TPK1,0.319,0.345,0.233,0.193
TNIK,2.9789999999999996,3.298,6.246,5.345
AC023300.2,0.0,0.0,0.0,0.0
LINC01343,0.0,0.0,0.0,0.0
SNORD61,0.0,1.11,0.0,0.0
EIF2S2P5,0.0,0.16699999999999998,0.0,0.055999999999999994
MMP13,0.475,0.34299999999999997,0.0,0.019
ARHGAP33,0.512,0.585,1.656,1.722
AC009686.2,0.389,0.281,0.6809999999999999,0.47
OR2M3,0.0,0.0,0.0,0.005
PGK1P2,0.7390000000000001,0.4,1.564,1.475
CRYBB2,0.214,0.0,0.063,0.0
MIR378H,2.7030000000000003,1.952,0.789,0.0
PRKD3,5.739,6.7379999999999995,6.462000000000001,6.768
WNT10B,0.17300000000000001,0.0,0.025,0.0
AC007638.2,0.0,0.0,0.075,0.125
AC006445.1,0.0,0.0,0.0,0.0
PHACTR1,0.02,0.043,0.0,0.0
NUP85,9.895,12.324000000000002,14.715,13.8
SNORD90,0.0,0.0,0.59,0.0
KLRG1,0.087,0.125,0.076,0.063
AP001830.2,0.0,0.0,0.0,0.0
FP671120.2,0.0,0.0,0.013000000000000001,0.011000000000000001
AL137060.1,0.424,0.245,0.17300000000000001,0.12300000000000001
AL512329.1,0.0,0.0,0.0,0.0
SETP9,0.0,0.0,0.0,0.0
GRM6,0.0,0.0,0.0,0.0
SMN2,0.447,0.26899999999999996,0.348,0.324
SOHLH1,0.0,0.0,0.0,0.0
HOXD4,0.0,0.0,0.0,0.0
MIR6808,1.901,0.0,1.11,0.919
MFAP1P1,0.179,0.129,0.10400000000000001,0.13
PPY2P,0.0,0.0,0.0,0.0
AP000977.1,0.0,0.0,0.0,0.0
AL121834.1,0.0,0.0,0.0,0.0
RABEP1,8.9,8.974,9.406,9.845
PRB1,0.0,0.0,0.0,0.0
TMEM106B,8.707,8.606,9.691,10.142000000000001
AL353803.1,0.0,0.0,0.0,0.0
MSTN,0.0,0.0,0.09300000000000001,0.057999999999999996
PITPNM1,11.285,12.626,17.91,16.766
PMM2P1,0.0,0.222,0.0,0.149
AC107956.1,1.028,0.557,0.525,0.621
FAM120C,1.4280000000000002,1.3630000000000002,1.7930000000000001,1.979
AC073283.1,0.261,0.0,0.076,0.0
AL132642.2,0.0,0.0,0.0,0.0
AL606748.1,0.0,0.0,0.0,0.0
AC005050.3,0.0,0.0,0.0,0.0
PRAMEF17,0.142,0.0,0.0,0.0
RCCD1,4.651,5.184,6.602,6.409
CTSH,8.492,8.497,23.004,22.944000000000003
LINC01896,0.0,0.0,0.0,0.0
MIRLET7F2,0.0,0.0,0.0,0.0
MRPL53,17.361,20.223,25.809,25.541
AL356390.1,0.0,0.0,0.0,0.13699999999999998
AC009951.1,0.258,0.0,0.0,0.0
AL352984.2,0.0,0.0,0.0,0.0
AC010655.1,0.0,0.0,0.0,0.0
RNU7-124P,0.0,0.0,0.0,0.0
SLC6A3,0.0,0.0,0.0,0.0
AL139039.3,0.152,0.0,0.311,0.037000000000000005
ZNF81,1.355,1.247,1.109,1.247
ZNF334,0.0,0.0,0.0,0.0
GPATCH11,1.944,1.364,2.674,3.196
MTLN,7.986000000000001,7.742000000000001,7.566,8.517000000000001
AP000439.2,0.0,0.0,0.027000000000000003,0.022000000000000002
EID3,0.306,0.6629999999999999,0.134,0.259
SRIP1,0.0,0.0,0.0,0.0
AC110769.1,0.0,0.19899999999999998,0.0,0.266
AL080316.1,0.0,0.0,0.0,0.0
RPL6P21,0.0,0.0,0.0,0.0
NEBL,0.18100000000000002,0.142,0.278,0.21899999999999997
RNU6-1189P,0.0,0.0,0.612,0.507
AL022393.1,0.134,0.0,0.23399999999999999,0.19399999999999998
ATF4,115.491,99.314,53.75899999999999,50.602
AL355916.2,0.0,0.0,0.0,0.0
C6orf120,17.499000000000002,16.463,15.05,15.5
SENP5,10.652999999999999,10.525,7.614,6.894
DAAM1,2.346,2.042,2.628,2.269
OSTCP1,0.0,0.0,0.053,0.0
CYSLTR1,0.0,0.0,0.0,0.0
AC007491.1,0.0,0.0,0.0,0.0
CDK2AP2,31.339000000000002,30.494,36.583,37.751
C8orf49,0.0,0.0,0.0,0.0
MAGEB18,0.0,0.179,0.0,0.0
ACRBP,0.159,0.115,0.11599999999999999,0.154
LRRC37A6P,0.239,0.259,0.547,0.588
CDH11,0.0,0.0,0.0,0.0
RNU6-1309P,0.0,0.0,0.0,0.502
TEX22,1.247,1.1540000000000001,1.3880000000000001,1.348
RPL39P40,0.0,0.0,0.0,0.0
COX6CP14,0.0,0.0,0.0,0.0
RF00272,0.0,0.6,0.0,0.402
ZNF329,5.252000000000001,4.431,4.173,3.9730000000000003
SEMA6D,0.026000000000000002,0.0,0.0,0.0
AC104596.1,0.221,0.0,0.064,0.107
AC012671.1,1.105,0.0,0.0,0.0
AC126755.6,0.124,0.055999999999999994,0.091,0.1
SPINK4,0.0,0.0,0.10099999999999999,0.0
ZNF861P,0.0,0.0,0.0,0.0
COPS8,12.825999999999999,12.982000000000001,15.222999999999999,14.312000000000001
AC068759.1,0.0,0.0,0.0,0.0
SLC38A5,0.0,0.0,0.016,0.0
AC068491.1,0.0,0.0,0.158,0.21899999999999997
AL590093.1,0.0,0.0,0.0,0.087
AC008264.2,0.06,0.043,0.018000000000000002,0.028999999999999998
NDUFA3P6,0.0,0.0,0.0,0.0
GTF2IRD2B,0.133,0.21600000000000003,0.11699999999999999,0.153
AC233300.1,0.0,0.0,0.08,0.0
UBE2V1P5,0.0,0.0,0.0,0.0
MIR6838,6.01,11.573,2.923,8.234
ALG12,5.767,6.779,9.152000000000001,9.74
SNORA73A,4.357,2.36,3.338,2.1069999999999998
AL049779.2,0.37,0.0,0.0,0.44799999999999995
KRT40,0.0,0.0,0.059000000000000004,0.049
LINC01781,0.0,0.0,0.369,0.077
AL645634.1,0.0,0.0,0.0,0.0
RPS7P10,3.3489999999999998,2.15,2.715,3.1489999999999996
AL022322.1,1.0959999999999999,1.131,1.599,1.439
