genes,H1299_polyA_S2-4h-A,H1299_polyA_S2-4h-B,H1299_polyA_mock-4h-A,H1299_polyA_mock-4h-B
RPS29P8,0.0,0.0,0.0,0.385
KLF13,1.5419999999999998,1.5119999999999998,1.537,1.5219999999999998
AL583844.1,0.0,0.0,0.0,0.0
MIR1286,0.0,0.0,0.0,0.0
AC018628.2,0.0,0.0,0.0,0.0
CCDC60,0.0,0.0,0.0,0.0
RNF26,41.75,39.53,43.118,43.794
NHLRC1,3.1689999999999996,3.236,2.5839999999999996,2.7239999999999998
GNG5P2,16.734,15.78,18.934,16.538
AL035681.1,0.039,0.0,0.0,0.026000000000000002
GNG12-AS1,0.113,0.129,0.061,0.095
AC004690.2,0.0,0.0,0.0,0.0
CENPO,20.309,20.813000000000002,20.357,19.674
ADM5,2.045,1.858,2.872,2.414
AC018685.1,0.0,0.0,0.0,0.0
MAGEB4,0.0,0.0,0.0,0.0
GK,0.919,0.8590000000000001,0.888,0.823
AC093484.1,5.165,4.047,4.475,4.553999999999999
PLCE1-AS2,0.0,0.0,0.0,0.0
PKNOX2,0.0,0.0,0.0,0.0
HTR2A,0.0,0.0,0.0,0.0
AP001978.1,0.0,0.0,0.0,0.0
UBA2,114.079,116.461,110.26700000000001,116.59200000000001
RNU6-668P,0.0,0.0,0.0,0.0
MIR6853,2.307,3.01,4.729,0.89
HHIP-AS1,0.7829999999999999,0.381,0.405,0.5920000000000001
MIR3681HG,0.0,0.0,0.0,0.0
Z95152.1,0.0,0.0,0.0,0.0
AL672167.1,0.013999999999999999,0.021,0.0,0.037000000000000005
SPATA31D5P,0.0,0.0,0.0,0.0
RF00284,0.0,0.0,0.0,0.0
BSDC1,9.149,9.027000000000001,9.196,8.713
AC006518.7,0.607,0.585,0.406,0.691
AL138831.3,0.0,0.051,0.0,0.0
ATP2A2,41.152,39.461,41.886,41.266999999999996
AC110753.1,0.0,0.0,0.0,0.0
AC025178.1,0.11699999999999999,0.17800000000000002,0.168,0.237
AC023355.1,0.18600000000000003,0.221,0.11900000000000001,0.182
RNU6-1246P,0.0,0.0,0.0,0.0
HRASLS2,0.0,0.0,0.095,0.0
MIR1343,0.0,0.0,0.0,0.0
AKIP1,10.966,9.683,11.594000000000001,11.106
AC113554.1,0.0,0.008,0.006999999999999999,0.0
GRM5,0.023,0.051,0.032,0.03
DIRC3,0.0,0.0,0.0,0.0
RNA5SP294,0.0,0.0,0.0,0.0
RNU1-109P,0.0,0.0,0.0,0.0
AC024940.1,0.129,0.34299999999999997,0.046,0.043
ZCCHC18,0.086,0.08800000000000001,0.145,0.214
ACAP2,6.221,6.483,6.7620000000000005,6.586
ZNF853,0.051,0.038,0.036000000000000004,0.085
OCLM,0.331,0.336,0.317,0.37200000000000005
MIR1234,1.83,0.9279999999999999,2.625,2.88
S1PR4,0.0,0.0,0.0,0.0
AC022558.1,0.107,0.0,0.462,0.0
AC116914.2,0.0,0.0,0.0,0.0
AL132655.3,0.0,0.0,0.0,0.0
MCCC1,4.459,4.185,4.546,5.07
MTCO1P12,1.96,1.6840000000000002,2.404,2.261
MAGIX,0.134,0.174,0.17800000000000002,0.168
ADAM20P1,0.013000000000000001,0.0,0.0,0.035
AL450992.2,0.0,0.0,0.0,0.0
MAFA-AS1,0.11699999999999999,0.0,0.0,0.0
EMC2,8.197000000000001,7.646,8.698,7.704
LINC02210-CRHR1,0.255,0.268,0.303,0.297
POLDIP2,37.86,36.869,37.747,40.387
RPS15AP16,0.0,0.0,0.0,0.0
CCDC26,0.013000000000000001,0.006999999999999999,0.016,0.037000000000000005
LINC01307,0.0,0.0,0.0,0.0
CARD19,9.339,8.767999999999999,9.697000000000001,8.651
LINC02298,0.8290000000000001,0.631,0.47600000000000003,0.447
FCF1P7,0.0,0.133,0.0,0.0
AC034232.1,0.0,0.0,0.0,0.0
AC078883.2,0.9620000000000001,0.532,0.251,0.708
NDUFB9,60.93,56.917,56.813,57.496
KLHDC7B,0.0,0.0,0.0,0.013999999999999999
GABPB1,4.907,4.564,5.24,5.276
AC009509.1,0.0,0.0,0.0,0.0
SUMO2P5,0.0,0.0,0.0,0.0
ZNF816-ZNF321P,0.591,0.381,0.624,0.473
SSMEM1,0.0,0.0,0.153,0.0
RNA5SP71,0.0,0.0,0.0,0.0
TMEM161B,1.982,2.011,2.1069999999999998,2.195
AL592494.1,0.158,0.0,0.0,0.0
LINC01544,0.0,0.0,0.0,0.0
AL158066.2,1.818,0.77,0.726,0.27399999999999997
AC007786.1,0.0,0.091,0.086,0.161
LAMTOR3P2,0.0,0.0,0.0,0.0
AC009506.2,0.261,0.486,0.583,0.235
OPN4,0.0,0.0,0.0,0.0
AC007614.1,0.0,0.0,0.0,0.0
OR52Q1P,0.0,0.0,0.0,0.0
PPIAP54,0.0,0.0,0.0,0.0
IL17RA,3.866,3.8939999999999997,3.76,3.883
TMOD2,0.105,0.109,0.09699999999999999,0.114
AL354950.1,0.0,0.0,0.0,0.0
ADH6,0.0,0.0,0.0,0.0
USP33,8.392000000000001,8.767000000000001,9.217,9.097000000000001
MATK,0.035,0.07200000000000001,0.135,0.032
NAV2-AS2,0.0,0.0,0.0,0.0
IMPDH1P11,0.26,0.34600000000000003,0.27899999999999997,0.35
RN7SKP70,0.81,0.9590000000000001,0.6459999999999999,1.093
MIR3127,0.0,0.0,0.0,0.0
THAP12P7,0.107,0.13,0.245,0.086
ZNF555,0.6629999999999999,0.6779999999999999,0.672,0.7709999999999999
KRT8P21,0.0,0.0,0.0,0.0
AC009945.1,0.0,0.0,0.0,0.0
GAS5-AS1,0.24,0.638,0.774,0.5660000000000001
HLA-F,0.309,0.275,0.17800000000000002,0.264
AC093330.2,0.0,0.019,0.0,0.0
FAM131C,0.61,0.691,0.285,0.727
AC009487.4,0.0,0.0,0.0,0.0
CDC42P4,0.0,0.0,0.0,0.0
MAFG,16.919,16.368,15.544,16.417
GATC,11.075,11.25,10.455,11.874
CCDC153,0.324,0.37799999999999995,0.24600000000000002,0.258
SNORD107,0.0,0.0,0.0,0.0
AP000943.2,0.0,0.0,0.0,0.0
AC008543.3,0.0,0.0,0.0,0.0
AD000090.1,0.0,0.0,0.0,0.0
AC012488.2,14.254000000000001,14.36,13.065999999999999,15.222000000000001
RAB4A,9.691,8.175,9.134,9.507
GOLGA6A,0.0,0.0,0.0,0.0
STAT6,2.761,2.7569999999999997,2.676,2.67
RCOR3,1.465,1.568,1.37,1.6440000000000001
CYP2B7P,0.0,0.0,0.0,0.0
AC022148.1,0.015,0.045,0.0,0.02
SH2D3A,0.759,0.7040000000000001,0.7509999999999999,0.789
NDUFC2,21.783,19.817,20.203,19.547
AC124068.2,0.308,0.268,0.316,0.237
AC015689.2,0.47700000000000004,0.42700000000000005,0.201,0.22699999999999998
PRELID3BP10,3.676,3.8139999999999996,3.116,4.622
SNORA78,1.537,0.0,1.102,0.518
RN7SL720P,0.0,0.0,0.0,0.0
ARFIP2,11.645999999999999,11.235999999999999,10.672,10.98
RN7SKP146,0.0,0.0,0.0,0.0
CRYBA4,0.0,0.0,0.0,0.0
CDKN1A,21.274,21.42,20.491999999999997,20.289
AP002008.4,0.085,0.065,0.0,0.057999999999999996
RF00019,0.0,0.773,0.0,0.0
AC005670.2,5.7989999999999995,5.638999999999999,6.156000000000001,5.615
AC002044.1,1.8530000000000002,0.47,0.8859999999999999,2.083
ZNF711,0.361,0.401,0.47600000000000003,0.316
TEX261,30.97,29.569000000000003,30.269000000000002,30.289
AC108747.1,0.0,0.0,0.0,0.0
SNORA28,0.0,0.0,1.111,1.567
NPC1,9.003,8.751,9.253,8.879
AL391684.1,0.21899999999999997,0.204,0.132,0.21
BNC2-AS1,0.684,0.0,0.491,0.769
THUMPD1,6.709,7.36,7.353,6.906000000000001
NPM1P24,0.16399999999999998,0.166,0.157,0.368
TMEM181,26.348000000000003,25.866,26.346,28.445999999999998
ATXN1,2.306,2.322,2.267,2.2430000000000003
RPL12P16,24.099,25.491999999999997,23.611,23.266
MRPS10,30.585,31.569000000000003,29.761999999999997,30.941
RNU6-1056P,0.0,0.0,0.654,0.0
NDRG3,22.776999999999997,23.296,22.906999999999996,23.829
POLR1C,14.870999999999999,14.145999999999999,14.799000000000001,14.578
AC087276.2,0.18600000000000003,0.0,0.35600000000000004,0.0
PRKAR1B,8.222999999999999,7.885,7.8389999999999995,7.989
SCAMP3,39.976,38.518,40.655,37.311
XKR7,0.133,0.106,0.136,0.111
OTUB1,18.455,17.947,19.242,18.42
RAD51AP1,37.849000000000004,39.296,37.936,40.406
RF00019,0.0,0.0,0.0,0.0
AC128709.3,0.0,0.0,0.0,0.0
GPRC5A,7.084,7.617000000000001,7.492000000000001,7.831
AC068580.2,0.0,0.0,0.0,0.0
LINC01765,0.0,0.0,0.0,0.0
AC068769.1,0.0,0.0,0.0,0.0
VPS36,6.273,6.712999999999999,7.2829999999999995,6.877000000000001
PPM1E,2.945,3.0669999999999997,3.275,2.75
MIR6881,0.0,0.0,0.0,0.0
AC022916.1,0.121,0.053,0.05,0.07
CDCA4P4,0.0,0.109,0.0,0.0
RRH,0.013999999999999999,0.0,0.01,0.018000000000000002
ATRIP,4.24,4.75,4.607,4.752
DCC,0.0,0.0,0.0,0.0
AC112497.1,0.0,0.0,0.0,0.0
PPIAP76,0.0,0.0,0.0,0.0
RN7SL377P,0.0,0.0,0.0,0.0
NARS,88.38600000000001,88.182,86.64299999999999,86.40899999999999
SLC33A1,2.296,2.096,2.339,2.239
AL049758.1,0.0,0.187,0.17600000000000002,0.0
AC068831.5,0.0,0.0,0.0,0.0
FYN,5.47,5.3389999999999995,5.506,5.072
AC009027.1,0.0,0.0,0.0,0.0
MLST8,10.317,10.029,10.105,10.825999999999999
MIR6790,2.71,2.3569999999999998,4.444,2.612
MTCO2P17,0.0,0.0,0.0,0.0
PWAR5,0.0,0.0,0.0,0.0
NDUFB10P2,0.0,0.0,0.0,0.0
HMGN2P41,0.0,0.0,0.17,0.0
GADD45GIP1,87.34200000000001,84.85600000000001,84.588,81.277
KIF9,2.068,2.576,2.381,2.037
NBPF11,0.9840000000000001,1.111,1.153,1.03
MRPS16P2,0.0,0.0,0.0,0.0
AL390726.3,1.364,1.101,0.8909999999999999,1.685
AC004076.2,0.073,0.022000000000000002,0.063,0.079
AC020765.2,0.565,0.8590000000000001,0.972,0.61
MKX,0.903,0.85,0.8009999999999999,1.138
LINC02501,0.0,0.0,0.0,0.0
AC018529.3,0.0,0.033,0.0,0.0
NWD1,0.175,0.2,0.157,0.207
PAK6,0.004,0.034,0.016,0.015
PAPPA,0.038,0.057999999999999996,0.012,0.045
AC092106.2,0.0,0.0,0.0,0.0
PPP1R12C,6.471,7.1739999999999995,7.327999999999999,6.707000000000001
AC027281.1,0.0,0.0,0.0,0.0
AL021808.1,0.0,0.0,0.0,0.0
AC010542.1,0.0,0.0,0.0,0.0
AC015921.1,0.0,0.0,0.0,0.0
MIR548AV,0.0,0.0,0.0,0.0
ITFG2-AS1,0.228,0.547,0.25,0.35700000000000004
HNRNPA1P39,0.0,0.0,0.0,0.0
NRADDP,0.0,0.043,0.081,0.038
CEACAM19,1.585,1.5119999999999998,1.439,1.695
RN7SL678P,0.0,0.0,0.23399999999999999,0.0
AL354740.1,0.159,0.179,0.11,0.135
ZNF146,89.054,89.405,86.921,88.46
CLDN10,0.20199999999999999,0.19699999999999998,0.26899999999999996,0.214
AC021785.1,0.0,0.0,0.0,0.0
WAC,9.587,9.776,9.613,10.047
AC117373.1,0.0,0.0,0.0,0.0
COL14A1,0.0,0.006999999999999999,0.0,0.0
MIR29C,0.0,0.0,0.0,0.0
AC009133.5,47.343,45.045,43.651,44.051
CBY1,7.584,6.608,7.242999999999999,6.841
AL157827.2,0.046,0.023,0.022000000000000002,0.021
GAPLINC,0.0,0.0,0.067,0.0
OAS1,0.01,0.045,0.0,0.027000000000000003
IQANK1,0.36200000000000004,0.268,0.309,0.21100000000000002
HNRNPUP1,33.99,43.696000000000005,36.361,43.098
MORF4,0.0,0.0,0.0,0.0
CCKBR,0.0,0.0,0.0,0.0
RNU4-91P,0.0,0.0,0.0,0.0
OR7E145P,0.0,0.0,0.0,0.0
LINC02634,0.0,0.0,0.0,0.0
SH3TC2,0.573,0.516,0.5820000000000001,0.551
TXLNA,47.108000000000004,44.102,45.012,43.305
PCNPP3,0.932,0.7879999999999999,1.04,0.8390000000000001
AL024509.2,0.0,0.0,0.0,0.0
AC111000.3,0.0,0.0,0.0,0.0
TSPAN33,2.778,3.428,3.034,2.7039999999999997
DNPEP,9.863999999999999,10.168,10.455,10.595999999999998
AL136531.1,2.287,3.093,2.114,2.469
AL132639.2,0.07200000000000001,0.055,0.361,0.29100000000000004
MAPK8IP2,3.2680000000000002,3.64,3.431,3.5
PKHD1,0.003,0.009000000000000001,0.02,0.008
CHIA,0.0,0.0,0.0,0.0
AC092999.1,0.0,0.0,0.036000000000000004,0.0
AGR2,0.035,0.188,0.025,0.0
FAHD2P1,0.0,0.0,0.0,0.0
SUN1,29.336,28.496,29.747,29.833000000000002
ZNF192P1,0.345,0.29100000000000004,0.275,0.284
RAB6C,0.048,0.048,0.046,0.086
AC010889.1,0.0,0.0,0.0,0.0
AL133351.4,0.23,0.0,0.0,0.0
SALL2,0.272,0.428,0.35100000000000003,0.379
SNORA25,4.915,5.263,5.223,5.159
LINC01996,0.0,0.0,0.0,0.0
AC108002.2,0.0,0.0,0.0,0.0
AC087284.1,0.047,0.0,0.0,0.0
AC110772.2,0.0,0.06,0.0,0.0
HSD11B1L,2.6830000000000003,2.259,2.89,2.333
AC107015.1,0.0,0.0,0.0,0.0
AC003986.3,0.071,0.107,0.10099999999999999,0.095
AC007991.3,0.0,0.0,0.0,0.0
RN7SL270P,0.0,0.0,0.0,0.0
NDUFB4P2,0.0,0.0,0.0,0.0
RPL7P43,0.0,0.0,0.0,0.0
AC007068.1,19.885,18.208,18.160999999999998,18.408
AC025181.1,0.0,0.0,0.168,0.0
AMPD3,0.09300000000000001,0.18600000000000003,0.14400000000000002,0.155
AL645568.1,0.406,0.586,0.736,0.433
AC002064.3,0.0,0.0,0.0,0.0
BCAP31,47.641000000000005,46.417,49.961000000000006,48.0
SLC25A52,0.0,0.0,0.0,0.0
AC044839.2,0.0,0.0,0.0,0.0
AC114930.1,0.0,0.0,0.0,0.0
AL591888.1,0.0,0.0,0.0,0.0
LINC02636,0.0,0.0,0.0,0.0
PDE6A,0.0,0.0,0.0,0.0
CENPN,29.644000000000002,29.025,26.462,27.971999999999998
CACNA2D2,0.015,0.0,0.0,0.0
AC016396.2,0.0,0.0,0.0,0.0
AC004449.1,0.225,0.171,0.0,0.456
MASTL,10.292,10.918,10.64,10.969000000000001
TMEM170B,1.921,2.154,1.716,2.1319999999999997
SNORD45A,1.742,1.768,2.083,3.135
MIR614,6.234,3.299,5.055,4.388999999999999
AC092849.2,1.172,0.78,1.3659999999999999,1.087
RPL31P3,0.0,0.0,0.0,0.0
AP001625.2,0.0,0.0,0.0,0.0
PDE4B,0.257,0.233,0.235,0.19899999999999998
MAP2K3,92.995,92.60700000000001,86.04799999999999,87.81200000000001
GPR45,0.0,0.0,0.0,0.0
LINC01994,0.0,0.0,0.0,0.0
FAM78B,0.0,0.0,0.013000000000000001,0.0
RNU6-1262P,0.0,0.0,0.0,0.0
AL355310.2,0.0,0.10800000000000001,0.0,0.0
WASHC2C,6.1770000000000005,5.494,5.376,5.6339999999999995
THRAP3,41.924,42.121,42.26,42.791000000000004
AL049833.1,0.0,0.0,0.0,0.0
AC006557.5,0.0,0.0,0.0,0.0
AC008147.2,0.10400000000000001,0.126,0.07400000000000001,0.07
RN7SL716P,0.0,0.0,0.0,0.0
AC136621.1,0.0,0.0,0.0,0.0
AL357552.1,0.0,0.0,0.0,0.0
AC025271.4,0.0,0.0,0.040999999999999995,0.0
CHRDL1,0.13699999999999998,0.057,0.036000000000000004,0.05
ARMH3,5.766,5.395,5.529,5.492000000000001
SLC6A18,0.0,0.0,0.0,0.0
AL009031.1,0.0,0.0,0.0,0.0
AC025034.1,0.057,0.043,0.040999999999999995,0.038
AC058823.1,0.0,0.0,0.0,0.0
SERAC1,1.986,2.05,2.0540000000000003,2.057
AC092709.1,0.0,0.0,0.0,0.126
KRT5,0.012,0.0,0.0,0.0
AC005520.4,0.0,0.0,0.0,0.0
TRIM60P15,0.0,0.0,0.0,0.0
AC021106.1,1.153,1.298,0.794,1.182
DDX46,26.299,27.086,25.011,26.250999999999998
AL355312.6,6.531000000000001,6.496,6.921,6.801
FTH1P15,0.174,0.0,0.0,0.235
MCOLN1,6.761,6.752000000000001,6.675,7.327000000000001
AC069257.2,0.0,0.0,0.0,0.425
AC099554.1,0.0,0.0,0.0,0.115
AC009831.1,0.524,0.516,0.31,0.624
TSPAN12,2.825,3.0639999999999996,2.5980000000000003,3.01
AC009108.4,0.0,0.0,0.0,0.0
AC022414.1,0.077,0.04,0.096,0.052000000000000005
AC138207.2,0.198,0.754,0.8540000000000001,0.535
RAB40AL,0.0,0.0,0.0,0.0
AC010320.5,0.0,0.0,0.0,0.0
FGF10-AS1,0.0,0.0,0.0,0.0
HMGN3-AS1,1.0759999999999998,1.058,0.9740000000000001,0.9159999999999999
AC010099.1,0.0,0.0,0.0,0.0
AASS,8.404,9.425,9.862,10.343
SLC7A6OS,6.278,6.331,6.249,6.055
GATA6-AS1,1.015,0.889,0.816,1.0170000000000001
RPS24P7,0.0,0.0,0.0,0.0
KXD1,37.397,36.794000000000004,38.101,37.207
AL132639.1,0.0,0.0,0.0,0.0
VAMP9P,0.0,0.0,0.0,0.0
AL161669.1,0.0,0.0,0.0,0.0
KCNQ5-AS1,0.0,0.0,0.0,0.0
CDK5R2,0.09699999999999999,0.08900000000000001,0.027999999999999997,0.079
GEM,20.948,21.896,19.532,19.491
PRRG1,2.131,1.736,2.061,1.912
DUSP8P3,0.0,0.0,0.04,0.0
AL121983.2,0.253,0.128,0.363,0.171
CFAP58,0.293,0.255,0.12,0.264
BNIP3P11,0.0,0.0,0.0,0.0
COASY,22.741999999999997,22.877,24.171,22.973000000000003
MIR3617,0.0,0.0,0.0,0.0
AL049870.2,0.0,0.0,0.0,0.0
MIR7976,0.0,1.125,0.0,0.0
LARGE-AS1,0.0,0.0,0.0,0.0
LINC02654,0.0,0.0,0.0,0.0
AL356806.1,0.0,0.0,0.0,0.0
AC005261.5,0.0,0.0,0.0,0.0
AL137071.1,0.0,0.0,0.0,0.0
MTATP6P27,0.0,0.0,0.0,0.0
VN1R20P,0.0,0.0,0.0,0.0
AMOTL2,60.853,61.788999999999994,57.901,59.183
RBFA,2.7230000000000003,2.588,2.969,3.076
IFNW1,0.0,0.0,0.0,0.0
AC006600.1,0.0,0.0,0.0,0.0
SLC26A6,2.327,2.1959999999999997,2.8939999999999997,2.815
AC104393.1,0.0,0.0,0.0,0.0
HSD17B11,14.937000000000001,14.724,14.075999999999999,14.524000000000001
MTMR12,9.169,9.826,9.745,9.834
SNORD116-18,0.0,0.0,0.0,0.0
AC010368.1,0.0,0.0,0.0,0.0
RN7SL864P,0.0,0.0,0.0,0.0
TAGLN,1.034,0.872,0.8220000000000001,0.8909999999999999
RUNX3,7.227,8.74,7.582000000000001,7.692
RPH3AL,0.298,0.36700000000000005,0.265,0.315
MIR5587,4.603,7.004,7.922999999999999,4.968999999999999
TAF10,3.487,3.552,3.752,3.682
IGBP1P1,0.242,0.368,0.34700000000000003,0.196
AEBP2,13.522,14.530999999999999,13.470999999999998,13.695
AC008403.2,14.592,12.569,16.088,13.82
CFAP126,0.0,0.192,0.0,0.0
AC092941.2,0.0,0.0,0.0,0.0
VN1R108P,0.0,0.08900000000000001,0.0,0.079
NRBF2P2,0.0,0.0,0.0,0.0
AL121928.1,0.0,0.142,0.134,0.379
RN7SKP134,0.0,0.0,0.0,0.0
CLK2,4.455,4.445,5.396,4.715
MAPKAPK5,4.776,4.79,5.033,4.985
AC011479.3,0.026000000000000002,0.039,0.07400000000000001,0.07
AC025588.1,0.071,0.107,0.10099999999999999,0.064
RPL7AP33,0.0,0.0,0.0,0.0
RPL21P17,0.0,0.313,0.295,0.0
DLG3,0.37799999999999995,0.33,0.34700000000000003,0.34299999999999997
AC126614.1,0.0,0.0,0.128,0.0
CR559946.2,0.0,0.0,0.0,0.0
PCNPP5,4.869,4.939,4.22,4.38
AVPR1A,0.008,0.0,0.0,0.0
HNRNPA1P27,0.051,0.155,0.073,0.207
LINC00470,2.2569999999999997,2.065,2.515,2.349
TNKS,3.3110000000000004,3.3489999999999998,3.3739999999999997,3.466
ST20,2.6,2.208,2.168,2.325
AC074250.1,0.0,0.0,0.0,0.0
BTBD18,0.0,0.0,0.0,0.0
CERS4,0.637,0.53,0.586,0.535
Z95331.1,0.21,0.16399999999999998,0.179,0.157
LOH12CR2,0.982,1.157,0.909,1.1540000000000001
AL121992.2,0.0,0.0,0.0,0.0
PLK2,6.446000000000001,6.726,4.895,4.93
ERCC5,1.234,1.203,1.37,1.47
AC008764.7,0.045,0.0,0.032,0.0
PHBP6,0.0,0.094,0.0,0.0
AP001469.1,0.0,0.0,0.0,0.0
CORO1B,21.6,21.894000000000002,21.389,21.998
SMIM10L2B,0.035,0.0,0.025,0.023
CISH,0.248,0.247,0.21899999999999997,0.21899999999999997
AC087641.1,0.0,0.0,0.0,0.0
TAX1BP1,16.534000000000002,16.808,15.999,16.722
AC034205.3,0.0,0.0,0.0,0.0
AC061975.1,0.0,0.027000000000000003,0.026000000000000002,0.0
AC108488.1,1.815,2.302,1.9869999999999999,1.9340000000000002
ZNF43,3.486,3.9139999999999997,3.5610000000000004,3.593
AL109933.1,0.0,0.0,0.0,0.0
AURKA,68.781,68.229,68.148,68.441
FAM111A,6.553999999999999,6.796,6.252000000000001,6.792000000000001
COL9A2,0.0,0.0,0.0,0.0
AC127035.1,0.0,0.0,0.0,0.0
AC247036.1,0.0,0.0,0.0,0.0
TLK2P1,0.871,0.9540000000000001,0.767,0.99
CERCAM,5.185,4.877,5.579,4.965
AC010336.1,0.32899999999999996,0.266,0.222,0.292
SNORA16A,1.6880000000000002,1.831,2.245,3.4139999999999997
RIC1,3.7710000000000004,3.992,3.8939999999999997,4.069
AC007878.1,0.121,0.207,0.17300000000000001,0.163
SMC1B,0.826,0.768,0.625,0.604
TTPA,1.021,0.59,1.113,0.8540000000000001
AC010422.5,12.968,13.345999999999998,12.442,12.847999999999999
AC005498.2,0.177,0.26899999999999996,0.063,0.23800000000000002
KLRD1,0.0,0.0,0.004,0.0
NEUROD4,0.0,0.0,0.0,0.0
NOXA1,0.37799999999999995,0.221,0.209,0.706
RN7SL214P,0.0,0.0,0.0,0.0
RLN3,0.0,0.0,0.0,0.0
TRMO,3.389,3.215,3.3139999999999996,3.3989999999999996
IFI27L1,4.079,2.9930000000000003,3.2680000000000002,3.8
AC009078.2,0.0,0.0,0.0,0.0
MIR3135A,0.0,0.0,0.0,0.0
AC108752.1,0.0,0.0,0.0,0.0
ADAM3B,0.0,0.0,0.0,0.0
AQR,6.053,5.643,5.992999999999999,6.205
ENPP7P1,0.0,0.0,0.0,0.0
SNRPCP19,0.0,0.0,0.152,0.28600000000000003
FUT3,0.0,0.0,0.0,0.0
PNMA1,41.535,41.18899999999999,40.453,38.915
ABHD17AP6,0.0,0.0,0.0,0.0
SNORA81,1.8719999999999999,1.806,1.443,2.404
DDX20,8.246,8.467,7.82,7.968
AC009480.1,0.11800000000000001,0.0,0.0,0.0
SGF29,4.548,4.649,4.513999999999999,4.479
RF02271,0.13,0.0,0.0,0.17600000000000002
AL136295.5,4.127,4.069,4.4830000000000005,4.128
AC110011.1,0.0,0.0,0.0,0.0
AC008549.2,0.0,0.0,0.0,0.0
AL353653.1,0.0,0.0,0.0,0.0
TMEM52B,0.0,0.0,0.0,0.0
KRT32,0.223,0.233,0.44,0.414
AC104964.1,0.461,0.35,0.33,0.57
LINC01553,0.0,0.0,0.0,0.0
ACTR3,37.854,37.874,36.415,38.148
AC092953.1,0.0,0.0,0.129,0.0
CCL3L1,0.0,0.0,0.0,0.0
AC023509.2,0.0,0.0,0.0,0.0
RNA5SP242,0.0,0.0,0.0,0.0
POM121B,0.11800000000000001,0.27,0.255,0.37200000000000005
AF241726.2,0.256,0.233,0.6970000000000001,0.483
KCNJ9,0.012,0.0,0.0,0.0
MIR4787,1.162,2.209,0.41700000000000004,0.784
DUSP12,18.579,20.012999999999998,18.55,18.942999999999998
LINC02485,0.0,0.0,0.0,0.0
RIIAD1,0.0,0.0,0.0,0.0
TMC5,0.409,0.38299999999999995,0.406,0.557
RPS27AP2,0.0,0.0,0.151,0.0
GRIA2,0.0,0.025,0.039,0.006999999999999999
RNF216-IT1,0.145,0.22,0.0,0.0
LINC01247,0.0,0.0,0.0,0.0
ANXA2P1,1.686,1.203,1.814,1.848
RPL17P36,0.444,0.27,0.51,0.24
UBE2QL1,0.0,0.0,0.0,0.0
AC006960.1,0.0,0.0,0.0,0.0
SDCBP,42.077,43.218999999999994,41.565,42.653
AL359715.1,0.41700000000000004,0.635,0.7490000000000001,0.81
AC104078.2,0.09,0.0,0.129,0.122
LINC01826,0.0,0.0,0.0,0.0
LINC01117,0.037000000000000005,0.16699999999999998,0.053,0.049
SLC38A8,0.027000000000000003,0.0,0.0,0.0
IAH1,4.294,4.4110000000000005,4.336,4.112
FRAS1,0.02,0.008,0.026000000000000002,0.01
ZNF511-PRAP1,7.64,7.4670000000000005,8.312999999999999,8.261000000000001
ANKK1,0.0,0.0,0.0,0.0
AC130469.1,0.0,0.0,0.0,0.0
IL9R,0.0,0.0,0.0,0.026000000000000002
MTCO3P5,0.0,0.0,0.0,0.0
AL109936.6,0.0,0.0,0.0,0.0
MTOR-AS1,0.0,0.0,0.0,0.0
RNU6-697P,0.0,0.0,0.0,0.0
AC091074.1,0.0,0.0,0.0,0.0
FAM110D,0.0,0.0,0.0,0.0
AC018563.1,0.0,0.0,0.0,0.0
AHCYP8,0.0,0.0,0.0,0.0
HLA-DRB5,0.0,0.0,0.0,0.0
AC106782.7,0.0,0.075,0.0,0.0
AC025572.1,0.0,0.0,0.0,0.0
AC004023.1,0.0,0.043,0.04,0.038
LY6H,0.0,0.0,0.0,0.0
SNRK-AS1,0.063,0.096,0.03,0.085
AC009704.1,0.0,0.0,0.0,0.0
RN7SL155P,0.0,0.0,0.0,0.0
Z98752.4,0.249,0.126,0.23800000000000002,0.0
LINC00283,0.0,0.0,0.0,0.0
TUT4,3.7769999999999997,3.84,4.191,3.702
SCARB2,4.593999999999999,4.925,4.7989999999999995,4.729
AC105074.1,0.0,0.0,0.0,0.0
DUTP5,0.0,0.0,0.0,0.0
RUNDC1,4.338,4.323,3.972,4.055
AC017007.1,0.0,0.0,0.0,0.0
FAXC,1.0190000000000001,1.0170000000000001,0.935,0.845
PKD1L2,0.008,0.02,0.015,0.004
AC096649.2,0.0,0.18899999999999997,0.17800000000000002,0.0
TRIQK,4.702,4.494,4.486000000000001,5.4239999999999995
OR56A3,0.0,0.0,0.0,0.0
AC024901.1,0.0,0.10300000000000001,0.0,0.0
DSCR4,0.843,0.7170000000000001,1.119,0.727
MGAT2,28.596999999999998,27.518,27.61,28.127
CBARP,2.944,2.668,3.156,2.61
SNAP23P1,0.595,0.0,0.0,0.0
NANOGP7,0.0,0.0,0.0,0.0
KIAA1586,9.101,9.193,8.611,9.793
TECTA,0.07200000000000001,0.057999999999999996,0.046,0.031
CXorf49,0.0,0.0,0.0,0.0
FBXO22,4.2669999999999995,4.465,4.091,3.9930000000000003
AC010655.4,8.396,8.908,10.543,9.258
PNMA8C,0.0,0.0,0.0,0.0
NPIPB3,0.27899999999999997,0.18899999999999997,0.20800000000000002,0.237
C2orf16,0.0,0.0,0.0,0.0
